# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L3213	［ファル］：そう、覚えていないのね‥‥。
>>	그렇다면‥‥‥‥.
L3881	第１次もある訳か‥‥‥‥。
>>	제１차도 있다는 뜻인가‥‥‥‥.
L3884	ファルたちは、さしずめ第３次調査隊、というところだろうか‥‥‥‥。
>>	파르 일행은, 말하자면 제３차 조사대, 쯤 되는 걸까‥‥‥‥.
L3887	何の調査なんだろうな‥‥。
>>	무슨 조사인 걸까‥‥.
L3890	ドアの前にやってくると、私は手を差し伸べた。少し、緊張する。
>>	문 앞에 이르자, 나는 손을 뻗었다. 조금, 긴장된다.
L3893	ウィーン‥‥。
>>	위잉‥‥.
L3896	意に反して、ドアはすんなりと外への出口を呈示した。
>>	예상과 달리, 문은 순순히 바깥으로 나갈 길을 내주었다.
L3900	［コウジ］：（考え過ぎ、だったか‥‥‥‥。）
>>	［코우지］：（지나친 생각, 이었나‥‥‥‥.）
L3903	私は、ドアを開けると、部屋を後にした‥‥。
>>	나는, 문을 열고, 방을 뒤로했다‥‥.
L3906	少し、休んだ方がいいかもしれない。
>>	조금, 쉬는 편이 좋을지도 모른다.
L3909	まだ疑問点は数多くあった‥‥。
>>	아직 의문점은 수없이 많았다‥‥.
L3912	それを考察するのもいいが、しかしとりあえず、ゆっくり休むのも１つの方向性だろう。
>>	그것을 따져 보는 것도 좋지만, 우선은, 푹 쉬는 것도 하나의 방향이겠지.
L3915	そう考えると、私は再びベッドへ仰向けに倒れ込み、手を頭の後ろで組んで天井を見つめた。
>>	그렇게 생각하고, 나는 다시 침대에 반듯이 드러누워, 머리 뒤로 깍지를 끼고 천장을 바라보았다.
L3918	自然と、まぶたが重くなってくる。
>>	자연스레, 눈꺼풀이 무거워져 온다.
L3922	［コウジ］：（これから、どうなるんだろう‥‥‥‥。）
>>	［코우지］：（앞으로, 어떻게 되는 걸까‥‥‥‥.）
L3925	目をつぶりながら、私は自問した。
>>	눈을 감은 채, 나는 자문했다.
L3928	自分の名前は判明したし、ここがどこなのかも、だいたいわかった‥‥。
>>	내 이름은 밝혀졌고, 여기가 어디인지도, 대충은 알았다‥‥.
L3931	しかし、分かっているのはそれだけだった。私は自分の素性も覚えていないし、何故ここにいるのかも分からなかった‥‥。
>>	하지만, 아는 것은 그뿐이었다. 나는 내 내력도 기억하지 못했고, 어째서 여기 있는지도 알 수 없었다‥‥.
L3934	目をつぶりながら、そんなことを考えていたとき‥‥‥‥。
>>	눈을 감은 채, 그런 것을 생각하고 있을 때‥‥‥‥.
L3938	［コウジ］：（‥‥ん？）
>>	［코우지］：（‥‥응?）
L3942	［コウジ］：（何かいま、音がしたようだが‥‥‥‥。）
>>	［코우지］：（방금, 무슨 소리가 난 것 같은데‥‥‥‥.）
L3945	部屋を見回してみる。しかし、誰もいない‥‥‥‥。
>>	방을 둘러본다. 하지만, 아무도 없다‥‥‥‥.
L3949	［コウジ］：（気のせいか‥‥？）
>>	［코우지］：（기분 탓인가‥‥?）
L3952	そう思って、再び目を閉じかけたとき‥‥‥‥。
>>	그렇게 여기고, 다시 눈을 감으려던 때‥‥‥‥.
L3956	［コウジ］：（気のせいじゃない‥‥！？）
>>	［코우지］：（기분 탓이 아니야‥‥!?）
L3960	［コウジ］：（外か‥‥？）
>>	［코우지］：（밖인가‥‥?）
L3963	以前も、こんな事があったような気がする‥‥既視感覚、というものだろうか。
>>	전에도, 이런 일이 있었던 것 같다‥‥기시감각이라는 걸까.
L3966	私は不安を抱きながら、ドアへ歩いていった。
>>	나는 불안을 안은 채, 문으로 걸어갔다.
L3970	［コウジ］：（誰か、いるのか‥‥？）
>>	［코우지］：（누군가, 있는 건가‥‥?）
L3973	やはり、室外は暑いな‥‥‥‥。
>>	역시, 실외는 덥군‥‥‥‥.
L3976	恒星付近という位置上、室内には冷房が効いているというのが、どうやら正解らしかった。
>>	항성 부근이라는 위치상, 실내에 냉방이 들어와 있다는 게, 아무래도 정답인 듯했다.
L3979	あたりは、シンと静まっている‥‥‥‥。
>>	주위는, 쥐 죽은 듯 고요하다‥‥‥‥.
L3982	右手のドアからは、何か重々しい異音が聞こえてくる‥‥‥‥。
>>	오른쪽 문에서는, 뭔가 묵직한 이상한 소리가 들려온다‥‥‥‥.
L3985	　◆ このまま通路を進んでみようか。
>>	　◆ 이대로 통로를 나아가 볼까.
L3988	　◆ 右手のドアに入ってみよう。
>>	　◆ 오른쪽 문으로 들어가 보자.
L3991	　◆ やはり、自室に戻った方がいいかも知れない。
>>	　◆ 역시, 내 방으로 돌아가는 편이 좋을지도 모른다.
L3994	このまま通路を進んでみようか。
>>	이대로 통로를 나아가 볼까.
