# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L11	　◆ 先に進む　　
>>	란파라고 이름을 밝힌 소녀를 찾아, 여기저기 헤매는 사이, 묘한 장소로 나와 버린 것 같은데‥‥.
L743	（ここは‥‥‥‥？）
>>	（여기는‥‥‥‥?）
L746	妙な場所だった。
>>	묘한 장소였다.
L749	目の前には、何に使うのか用途不明なカプセル状の機材が数体、置いてあった。
>>	눈앞에는, 어디에 쓰는지 용도 불명인 캡슐 모양 기재가 몇 대, 놓여 있었다.
L752	もっとも、メカニカルな診療台が数台置いてある手術室、と考えられなくもない。
>>	하기야, 기계적인 진료대가 몇 대 놓인 수술실이라고 못 볼 것도 없다.
L755	（最新の医療設備、というヤツだろうか‥‥‥‥？）
>>	（최신 의료 설비라는 건가‥‥‥‥?）
L758	重々しいサウンドが、頭に響きわたる。私は再び、頭痛に見舞われてきた。
>>	묵직한 소리가, 머릿속에 울려 퍼진다. 나는 다시, 두통에 시달리기 시작했다.
L761	ふと、目の前の装置を見てみると、なにやらランプが点滅している。私はそれに若干の興味を抱いた。
>>	문득, 눈앞의 장치를 보니, 웬 램프가 점멸하고 있다. 나는 거기에 약간의 흥미를 느꼈다.
L764	　◆ もっとよく見てみよう。
>>	　◆ 좀 더 자세히 살펴보자.
L767	　◆ この頭痛は耐え難い。部屋を早く出よう。
>>	　◆ 이 두통은 견디기 힘들다. 얼른 방을 나가자.
L770	もっとよく見てみよう。
>>	좀 더 자세히 살펴보자.
L773	この頭痛は耐え難い。部屋を早く出よう。
>>	이 두통은 견디기 힘들다. 얼른 방을 나가자.
L776	私が部屋を早々に立ち去ろうした時‥‥‥‥。
>>	내가 서둘러 방을 떠나려 했을 때‥‥‥‥.
L779	（あっ‥‥‥‥。）
>>	（앗‥‥‥‥.）
L782	ドアは無情にも、私の目の前で退路をふさいでしまった‥‥。
>>	문은 무정하게도, 내 눈앞에서 퇴로를 막아 버렸다‥‥.
L785	（どういうことだ‥‥私を、閉じこめるつもりか‥‥？）
>>	（어떻게 된 거지‥‥나를, 가둘 셈인가‥‥?）
L788	ドンドンドン、ドンドンドン！
>>	쾅쾅쾅, 쾅쾅쾅!
L791	無駄とはわかっていても、言い様のない不安と緊張が、私の手を動かし続けた。
>>	소용없는 줄 알면서도, 형언할 수 없는 불안과 긴장이, 내 손을 계속 움직이게 했다.
L794	意に反して、ドアは冷然と私の前に立ちふさがっている。
>>	뜻과는 달리, 문은 싸늘하게 내 앞을 가로막고 있다.
L797	私の拳で、どうこうなる硬さではないらしい。私は、赤く腫れた拳をさすりながら、
>>	내 주먹으로 어떻게 될 단단함이 아닌 모양이다. 나는, 빨갛게 부은 주먹을 문지르면서,
L800	（ダメか‥‥‥‥。）
>>	（틀렸나‥‥‥‥.）
L803	部屋の中は相変わらず寒々としていて、静寂の音を醸し出しているようだった。
>>	방 안은 여전히 으스스하게 추웠고, 정적의 소리를 자아내고 있는 듯했다.
L806	私が嘆息して部屋をぐるりと見回すと、ふと目に入ってくるものがあった。
>>	내가 탄식하며 방을 빙 둘러보자, 문득 눈에 들어오는 것이 있었다.
L809	先ほどの、チカチカと点滅しているランプだった。
>>	아까 그, 깜박깜박 점멸하고 있는 램프였다.
L812	何か気になる‥‥大きな球面状のガラスに覆われたカプセル状の機械は、私に、その中にまで興味を抱かせた。
>>	뭔가 신경 쓰인다‥‥커다란 구면 유리로 덮인 캡슐 모양 기계는, 나에게, 그 안까지 흥미를 품게 했다.
L815	近くへ寄ってみると、点滅しているものを確認することはできた。
>>	가까이 다가가 보니, 점멸하고 있는 것을 확인할 수는 있었다.
L818	（何だ‥‥？）
>>	（뭐지‥‥?）
L821	側面下方に付いてある、小さなコンソールパネルが点滅している。そこから、ピッ、ピッ、という電子音が、断続的に鳴っているようだ。
>>	측면 아래쪽에 달린, 작은 콘솔 패널이 점멸하고 있다. 거기서, 삑, 삑 하는 전자음이, 단속적으로 울리고 있는 듯하다.
