# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L13684	［涼子］：くやしい！　もっと、涼子を突いて！　愛して！！
L14372	コンコン‥‥。
>>	똑똑‥‥.
L14375	［涼子］：来たわ‥‥ウフフ、何だか、楽しみ。
>>	［료코］：왔네요‥‥우후후, 왠지 기대되네요.
L14378	［涼子］：よく来たわね、舞。
>>	［료코］：잘 왔구나, 마이.
L14381	［舞］：あの‥‥重大な用事があるからって、来たんですけど‥‥。
>>	［마이］：저기‥‥중대한 용무가 있다고 해서 왔는데요‥‥.
L14385	［コウジ］：うむ、極めて重大だ。人が死ぬか生きるかの問題だからな。
>>	［코우지］：음, 극히 중대하다. 사람이 죽느냐 사느냐의 문제니까.
L14388	［舞］：な、なんでしょうか‥‥。
>>	［마이］：무, 무슨 일인가요‥‥.
L14392	［コウジ］：涼子。
>>	［코우지］：료코.
L14395	［涼子］：はい。
>>	［료코］：네.
L14398	［舞］：きゃっ、な、何を‥‥あっ‥‥あぁぁ‥‥。
>>	［마이］：꺅, 무, 무슨 짓을‥‥앗‥‥아아아‥‥.
L14401	舞は低い嗚咽をもらすと、ベッドへと倒れ込んだ。涼子の手にある針状のものに、首筋をさされたせいか。
>>	마이는 낮은 흐느낌을 흘리며 침대로 쓰러졌다. 료코의 손에 있는 바늘 모양의 것에 목덜미를 찔린 탓인가.
L14404	［涼子］：さぁ、舞。
>>	［료코］：자, 마이.
L14407	［舞］：りょ、涼子ねえひゃん‥‥は、はれ‥‥？
>>	［마이］：료, 료코 어니‥‥어, 어떠케‥‥?
L14410	［涼子］：ウフフーン‥‥。
>>	［료코］：우후후응‥‥.
L14413	［舞］：お、おねえひゃん‥‥いっはい、はひほ‥‥。
>>	［마이］：어, 어니‥‥도데체, 무흘‥‥.
L14417	［涼子］：ご免なさいねー、筋肉強化弛緩剤を使ったの。宏治様の命令なのよン。
>>	［료코］：미안하구나ー, 근육 강화 이완제를 썼단다. 코지 님의 명령이야ー.
L14420	私はそんな事は命令していないが、とりあえず黙殺する。
>>	나는 그런 명령을 한 적이 없지만, 일단 묵살한다.
L14423	意地悪そうに微笑む涼子を見て、舞はコイのように口をパクパクさせて何かを言おうとしていたが、うまく言葉にはならないようだった。
>>	심술궂게 미소 짓는 료코를 보며, 마이는 잉어처럼 입을 뻐끔거리며 뭔가 말하려 했지만 제대로 말이 되지 않는 듯했다.
L14426	目からは涙が溢れ、口の端からはよだれが大量に流れ出ている。完全に虚脱状態だ。
>>	눈에서는 눈물이 넘치고, 입가에서는 침이 잔뜩 흘러나오고 있다. 완전히 허탈 상태다.
L14429	［舞］：あぅ‥‥あぅ‥‥。
>>	［마이］：아으‥‥아으‥‥.
L14433	［涼子］：フフ、なにアシカみたいな声を出してるのよ。さっ、宏治様。
>>	［료코］：후후, 무슨 바다사자 같은 소리를 내는 거니. 자, 코지 님.
L14437	［コウジ］：フン、まず姉のお前がたっぷりとしてやれ。その方が緊張もほぐれるだろう。
>>	［코우지］：흥, 우선 언니인 네가 충분히 해줘라. 그편이 긴장도 풀리겠지.
L14440	［涼子］：えっ、わ、私が？
>>	［료코］：어, 저, 제가요?
L14443	途端、涼子の顔に淫らな炎がチロチロと燃え出した。
>>	그 순간, 료코의 얼굴에 음란한 불꽃이 치로치로 타오르기 시작했다.
L14446	［涼子］：そういう訳だから、舞。
>>	［료코］：그런 이유니까, 마이.
L14449	涼子は舞の唇を、自分のそれでふさぐと、ゆっくりと胸を揉み始めた。
>>	료코는 마이의 입술을 자신의 것으로 막고, 천천히 가슴을 주무르기 시작했다.
L14452	［舞］：んっ‥‥んんんっ‥‥。
>>	［마이］：읍‥‥으음음음‥‥.
L14455	口腔で何が行われているのかは、ここからではわからない。ときどき２人の口の間に見えかくれする２枚の舌が、いんびに蠢いている。
>>	구강에서 무슨 일이 벌어지고 있는지는 여기서 알 수 없다. 때때로 두 사람의 입 사이에 보였다 사라졌다 하는 두 개의 혀가 음탕하게 꿈틀거리고 있다.
L14458	［舞］：んぐ、んんんっ‥‥んぐ、ゴク。
>>	［마이］：읍, 으음음‥‥읍, 꿀꺽.
L14461	［涼子］：フフ、やっぱり若いっていいわよねぇ、ほら、こんなに肌に張りがあって‥‥。
>>	［료코］：후후, 역시 젊다는 건 좋네, 봐, 이렇게 피부에 탄력이 있어서‥‥.
L14464	［舞］：んあぁぁ‥‥ら、らめぇ‥‥。
>>	［마이］：으아아아‥‥아, 안 돼‥‥.
L14467	［涼子］：もう憎たらしいわ。妹のくせに姉の私をさしおいてぇ‥‥。
>>	［료코］：정말 얄밉네. 여동생 주제에 언니인 나를 무시하다니‥‥.
L14470	［舞］：ら、らめよぉぉっ！
>>	［마이］：아, 안 돼애애!
L14473	［涼子］：んま、こんな下着を着ていたの？　妹ながらあなどれないわ。
>>	［료코］：어머, 이런 속옷을 입고 있었어? 여동생이라지만 무시하면 못써.
L14476	涼子は舞の両足を開くと、太股の内側を指先でなぞりはじめた。
>>	료코는 마이의 양다리를 벌리고, 허벅지 안쪽을 손가락 끝으로 훑기 시작했다.
L14479	［涼子］：スベスベしてるわ、若いっていいわよねぇ。ううん、私だって、まだ切り捨てれば二十歳よ。もうっ！
>>	［료코］：매끈매끈하네, 젊다는 건 좋네. 아니, 나도 아직 떼어버리면 스무 살이라고. 정말!
L14482	涼子は不条理な怒りをあらわにしながらも、舞の太股をさする手はあくまで優しく、情熱的だった。
>>	료코는 불합리한 분노를 드러내면서도, 마이의 허벅지를 어루만지는 손길은 한없이 부드럽고 열정적이었다.
L14485	だんだん上へはい上がってくる涼子のいんびな手におびえるように、舞の身体はビクッ、ビクッと断続的に痙攣する。
>>	료코의 음란한 손이 점점 위로 올라오는 것에 겁을 먹은 듯, 마이의 몸은 움찔, 움찔하며 단속적으로 경련했다.
L14488	［舞］：おねえひゃん‥‥もう、らめへ‥‥おえふぁい‥‥あっ！
>>	［마이］：언니야‥‥아, 안 돼‥‥으읏‥‥아!
L14491	涼子の指先が、小さな布地に隠された足の間にやってきたとき、舞はひときわ大きな声で叫んだ。
>>	료코의 손가락 끝이 작은 천에 가려진 다리 사이에 닿았을 때, 마이는 그 어느 때보다 큰 소리로 비명을 질렀다.
L14494	［舞］：そ、そこは‥‥あぁぁぁっ！！
>>	［마이］：거, 거기는‥‥아아아악!!
L14497	［涼子］：昔はよく一緒にお医者さんごっこをしたじゃない、もう一度、やりましょう、ね？
>>	［료코］：예전에는 같이 의사 놀이 자주 했었잖아, 다시 한번 해보자, 응?
L14500	［舞］：いやよぉ、いやぁぁ。
>>	［마이］：싫어, 싫어어.
