# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L8014	［沙夜香］：なにやってんのじゃないわよじゃ‥‥‥‥。
L8699	［トレイシー］：私は、夢や現実にあまりこだわらない方だと思います。
>>	［트레이시］：저는 꿈이든 현실이든 그다지 얽매이지 않는 편이라고 생각합니다.
L8702	［トレイシー］：現実であれ、非現実であれ‥‥‥‥。
>>	［트레이시］：현실이든, 비현실이든‥‥‥‥.
L8705	［トレイシー］：私はそこに自分という意識・思念が存在する限りは、そこでの人生を精一杯生きてみようと思っています。
>>	［트레이시］：저는 거기에 자신이라는 의식·사념이 존재하는 한, 그곳에서의 인생을 힘껏 살아 보려고 합니다.
L8708	［トレイシー］：フフ、これはプロフェッサの受け売りですのよ。
>>	［트레이시］：후후, 이건 프로페서의 말을 그대로 옮긴 거예요.
L8712	［コウジ］：ファルの‥‥。
>>	［코우지］：파르의‥‥.
L8715	［トレイシー］：自分という存在に確信が持てないのは、むしろ当然だって、彼女はいつも言ってましたわ。
>>	［트레이시］：자신이라는 존재에 확신을 갖지 못하는 건 오히려 당연하다고, 그녀는 늘 말했어요.
L8719	［コウジ］：むしろ当然、か‥‥‥‥。
>>	［코우지］：오히려 당연인가‥‥‥‥.
L8722	私は腕を頭の後ろで組むと、天井をじっと見つめた。
>>	나는 팔을 머리 뒤로 깍지 끼고, 천장을 가만히 바라보았다.
L8725	ふと、胸の部分に腕があたると、堅い感触がかえってくる。
>>	문득, 가슴 부분에 팔이 닿자 딱딱한 감촉이 되돌아온다.
L8729	［コウジ］：（あっ‥‥‥‥。）
>>	［코우지］：（앗‥‥‥‥.）
L8732	胸のポケットには、私が第２次調査隊のシップで見つけた、あの映像記録用ＭＤが忍ばせてあった。
>>	가슴 주머니에는, 내가 제２차 조사대 함선에서 찾아낸 그 영상 기록용 ＭＤ가 숨겨져 있었다.
L8736	［コウジ］：（どうやら、これだけは夢じゃないらしい‥‥。）
>>	［코우지］：（아무래도 이것만은 꿈이 아닌 모양이다‥‥.）
L8739	さっと部屋の中を見回す。あった。どうも端末横の装置が、プレイヤーらしい。
>>	재빨리 방 안을 둘러본다. 있었다. 아무래도 단말 옆의 장치가 플레이어인 듯하다.
L8742	［トレイシー］：どうしました？
>>	［트레이시］：무슨 일입니까?
L8746	［コウジ］：あぁ‥‥ええと、水を一杯もらえないかな。
>>	［코우지］：아아‥‥음, 물 한 잔 받을 수 있을까.
L8749	［トレイシー］：水ですか、ハイ。
>>	［트레이시］：물이요, 네.
L8752	トレイシーは、横にあったサイドテーブルから、水が満たされたグラスを私に手渡した。
>>	트레이시는 옆에 있던 사이드 테이블에서, 물이 채워진 유리잔을 나에게 건넸다.
L8756	［コウジ］：いや、水ではなくて‥‥んー、そうだな。
>>	［코우지］：아니, 물이 아니라‥‥음-, 그렇지.
L8759	怪訝そうに私を見つめるトレイシーを、いかに煙に巻こうかと考えていると、ベッド脇のコンパネが鳴り出した。
>>	의아한 듯 나를 바라보는 트레이시를 어떻게 얼버무릴까 생각하고 있는데, 침대 옆의 컨트롤 패널이 울리기 시작했다.
L8762	ピーピッ‥‥ピーピッ。
>>	삐삑‥‥삐삑.
L8765	［トレイシー］：ブリッジからだわ‥‥‥‥。
>>	［트레이시］：브리지에서군요‥‥‥‥.
L8768	［トレイシー］：はい、なんでしょうか？
>>	［트레이시］：네, 무슨 일이신가요?
L8771	［ファル］：トレイシー、そこにいる？
>>	［파르］：트레이시, 거기 있어?
L8774	［トレイシー］：はい、どうかなさいましたか？
>>	［트레이시］：네, 무슨 일 있으세요?
L8778	［ファル］：コウジは‥‥？
>>	［파르］：코우지는‥‥?
L8781	［トレイシー］：ここにいますが‥‥。
>>	［트레이시］：여기 있는데요‥‥.
L8784	［ファル］：磁気嵐が去って、本部と連絡が取れるようになったわ。
>>	［파르］：자기 폭풍이 지나가서, 본부와 연락이 닿게 됐어.
L8787	［トレイシー］：それはよかったですね。
>>	［트레이시］：그거 다행이네요.
L8790	［ファル］：至急、ブリッジにあがって欲しいの。
>>	［파르］：급히 브리지로 올라와 줬으면 해.
L8793	［トレイシー］：どうなさったんですか？　プロフェッサ‥‥お顔の色がすぐれませんけど‥‥。
>>	［트레이시］：무슨 일이신가요?　프로페서‥‥안색이 좋지 않으신데‥‥.
L8796	［ファル］：すぐに来て頂戴。
>>	［파르］：당장 와 줘.
L8799	［トレイシー］：どうしたのかしら‥‥。
>>	［트레이시］：무슨 일일까‥‥.
L8803	［コウジ］：行ってきたら？　もう大丈夫だから‥‥。
>>	［코우지］：다녀오지 그래?　이제 괜찮으니까‥‥.
L8806	［トレイシー］：そうですか‥‥では、しばらくしたら、また戻ってきますね。
>>	［트레이시］：그런가요‥‥그럼, 조금 있다가 다시 돌아올게요.
L8809	そう言い残すと、トレイシーは部屋からいそいそと出ていってしまった‥‥。
>>	그렇게 말을 남기고, 트레이시는 방에서 총총히 나가 버렸다‥‥.
L8813	［コウジ］：（しかし、ファル‥‥何だか、様子が変だったけど‥‥。）
>>	［코우지］：（그런데, 파르‥‥어쩐지 상태가 이상했는데‥‥.）
L8817	［コウジ］：（まあ、いいさ。）
>>	［코우지］：（뭐, 됐어.）
L8820	さっそく胸ポケットから、映像記録用のＭＤを取り出す。端末横の再生装置に入れようとすると、
>>	당장 가슴 주머니에서 영상 기록용 ＭＤ를 꺼낸다. 단말 옆 재생 장치에 넣으려 하자,
L8824	［コウジ］：（電源が、来ていないじゃないか‥‥。）
>>	［코우지］：（전원이 안 들어와 있잖아‥‥.）
