# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L14503	［涼子］：さぁ、生まれたままの姿になりましょうね。
L15171	再びエレベータへ向かう私の後ろから、遠慮がちに声がかかってくる。
>>	다시 엘리베이터로 향하는 내 뒤에서, 조심스러운 목소리가 들려온다.
L15175	［涼子］：宏治様。
>>	［료코］：코지 님.
L15179	［コウジ］：何だ、ここにいたのか‥‥。
>>	［코우지］：뭐냐, 여기 있었나‥‥.
L15182	［涼子］：舞は、見つかりません。
>>	［료코］：마이는, 못 찾았어요.
L15186	［コウジ］：見つけるのが貴様の役目だ。役立たずめ。
>>	［코우지］：찾아내는 것이 네놈의 역할이다. 쓸모없는 것.
L15189	［涼子］：そんなぁ、私だってね、一生懸命‥‥。
>>	［료코］：너무해요, 저도 나름대로 열심히‥‥.
L15193	［コウジ］：ジロッ。
>>	［코우지］：째릿.
L15196	［涼子］：アハハ‥‥その、もうちょっとがんばって捜してみようかしら。
>>	［료코］：아하하‥‥그, 조금만 더 힘내서 찾아볼까요.
L15199	［涼子］：その、やっぱり舞を？
>>	［료코］：그, 역시 마이를요?
L15203	［コウジ］：あたりまえだ。
>>	［코우지］：당연하다.
L15206	［涼子］：いちおう、あれでも私の妹なんです。あの子に害があるような事は‥‥。
>>	［료코］：일단, 저래 봬도 제 동생이에요. 그 애한테 해가 되는 일은‥‥.
L15210	［コウジ］：舞は無事だ。あくまで触媒なのだからな‥‥。
>>	［코우지］：마이는 무사하다. 어디까지나 촉매니까 말이다‥‥.
L15213	［涼子］：ホッ‥‥。
>>	［료코］：휴우‥‥.
L15217	［コウジ］：だが急がねばならんな‥‥速くしなければ、私の肉体が‥‥。
>>	［코우지］：허나 서둘러야 한다‥‥빨리 하지 않으면, 내 육체가‥‥.
L15220	［涼子］：ど、どうなっちゃうんですか？
>>	［료코］：어, 어떻게 되는 건가요?
L15224	［コウジ］：ムチでビシビシ叩かれて、黒こげになる。
>>	［코우지］：채찍으로 사정없이 맞아서, 새까맣게 탄다.
L15227	［涼子］：は、はい‥‥。
>>	［료코］：네, 네‥‥.
L15231	［コウジ］：コンピュータ・ルームへ入るにはどうしたらいい？
>>	［코우지］：컴퓨터 룸에 들어가려면 어떻게 하면 되지?
L15234	［涼子］：一応、沙夜香女史がキーを持っているから‥‥。
>>	［료코］：일단, 사야카 여사가 키를 갖고 있으니까요‥‥.
L15238	［コウジ］：では、それを奪ってこい。
>>	［코우지］：그럼, 그걸 빼앗아 와라.
L15241	［涼子］：そんなぁ、私、クビになっちゃいますよぉ‥‥。
>>	［료코］：그런 게 어딨어요, 저 잘리고 만다고요‥‥.
L15245	［コウジ］：私が養ってやる。
>>	［코우지］：내가 먹여 살려 주지.
L15248	［涼子］：えっ？　そ、それってもしかして‥‥。
>>	［료코］：엣?　그, 그건 혹시‥‥.
L15252	［コウジ］：私は、後で自室へ戻る。それまでに連れてこい！
>>	［코우지］：나는, 나중에 내 방으로 돌아간다. 그때까지 데려와라!
L15255	［涼子］：はーい。
>>	［료코］：네에.
L15259	［コウジ］：フン、さてと、これからどうするか‥‥。
>>	［코우지］：흥, 자 그럼, 이제부터 어떻게 할까‥‥.
L15262	あたりはもう暗くなり、人影は全くといっていいほど見えない。どうやら、予想以上に時間の進み方が速いらしい。
>>	주위는 이미 어두워져, 사람 그림자는 거의 보이지 않는다. 아무래도, 예상 이상으로 시간이 빠르게 흐르는 모양이다.
L15266	［コウジ］：確か、自転周期は約８万６４００秒だったな‥‥。
>>	［코우지］：분명, 자전 주기는 약 ８만 ６４００초였지‥‥.
L15269	私の時代では、すでに６０進法は廃れている。よりデジタルに、６４進法が用いられているのだ。
>>	내 시대에는, 이미 ６０진법은 사라졌다. 보다 디지털하게, ６４진법이 쓰이고 있다.
L15272	次にすべき事を思案していたとき、突然それはやってきた。
>>	다음에 해야 할 일을 궁리하고 있을 때, 갑자기 그것은 찾아왔다.
L15276	［コウジ］：むっ、どうしたことだ‥‥。
>>	［코우지］：윽, 어찌 된 일이지‥‥.
L15280	［コウジ］：ライトは点いている‥‥とすると‥‥。
>>	［코우지］：조명은 켜져 있다‥‥그렇다면‥‥.
L15283	三半規管に、急激な失調感が訪れた。地面が揺れたと思ったら、片膝を床についていた。
>>	세반고리관에, 급격한 실조감이 밀려왔다. 지면이 흔들렸나 싶더니, 한쪽 무릎을 바닥에 대고 있었다.
