# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L29334	［トレイシー］：そ、そんな‥‥‥‥くぅぅぅ！
>>	［코우지］：무슨 소리지?
L30089	［コウジ］：まさか、アソコの音ではないだろうな。
>>	［코우지］：설마, 거기서 나는 소리는 아니겠지.
L30092	［トレイシー］：ち、違うわ、違うわ。
>>	［트레이시］：아, 아니야, 아니야.
L30096	［コウジ］：じゃあ、指でアソコを開いて見せるんだ。
>>	［코우지］：그럼, 손가락으로 거기를 벌려서 보여 주는 거야.
L30099	［トレイシー］：そ、そんな‥‥‥‥。
>>	［트레이시］：그, 그런‥‥‥‥.
L30103	［コウジ］：濡れていないのなら、大丈夫だろう？
>>	［코우지］：젖어 있지 않다면, 괜찮잖아?
L30106	［トレイシー］：で、でも‥‥そんな‥‥。
>>	［트레이시］：하, 하지만‥‥그런‥‥.
L30110	［コウジ］：トレイシー、君の綺麗なアソコを、見てみたいんだよ。
>>	［코우지］：트레이시, 네 예쁜 거기를, 보고 싶단 말이야.
L30113	［トレイシー］：わ、私のを？
>>	［트레이시］：내, 내 걸?
L30117	［コウジ］：そうだ。君のを、いま、ここで。
>>	［코우지］：그래. 네 걸, 지금, 여기서.
L30120	［トレイシー］：見たいの‥‥私のが、見たいの？
>>	［트레이시］：보고 싶은 거야‥‥내 걸, 보고 싶은 거야?
L30124	［コウジ］：あぁ、早く指で開いて、僕に見せてくれ。
>>	［코우지］：아아, 어서 손가락으로 벌려서, 내게 보여 줘.
L30127	［トレイシー］：あぁぁ、そんなことって‥‥。
>>	［트레이시］：아아, 그런 짓을‥‥.
L30131	［コウジ］：さっ、腰を浮かせて‥‥そのまま両手を使って、そうだ、アソコを思いきり両側に引っ張って‥‥。
>>	［코우지］：자, 허리를 들고‥‥그대로 양손을 써서, 그래, 거기를 힘껏 양옆으로 벌려‥‥.
L30134	くちゃっ‥‥。
>>	질척‥‥.
L30137	［トレイシー］：（あぁぁ、こんなことって‥‥。）
>>	［트레이시］：（아아, 이런 짓을‥‥.）
L30140	［トレイシー］：（死ぬほど恥ずかしいわ‥‥。）
>>	［트레이시］：（죽을 만큼 부끄러워‥‥.）
L30143	［トレイシー］：（男性の顔の前に、腰を突き出して‥‥‥‥。）
>>	［트레이시］：（남자 얼굴 앞에, 허리를 내밀고‥‥‥‥.）
L30146	［トレイシー］：（アソコを、両手の指で一杯に開いて‥‥。）
>>	［트레이시］：（거기를, 양손 손가락으로 한껏 벌리고‥‥.）
L30149	［トレイシー］：（しかもアソコは、もうあんなに‥‥‥‥。）
>>	［트레이시］：（게다가 거기는, 벌써 저렇게‥‥‥‥.）
L30153	［トレイシー］：（あぁぁ、コウジが見ている‥‥‥‥。）
>>	［트레이시］：（아아, 코우지가 보고 있어‥‥‥‥.）
L30156	［トレイシー］：（私の濡れたアソコを‥‥両側一杯に開いた膣内を‥‥。）
>>	［트레이시］：（내 젖은 거기를‥‥양옆으로 한껏 벌린 안쪽을‥‥.）
L30160	［コウジ］：トレイシー、なぜ君のココは、こんなに濡れているんだ？
>>	［코우지］：트레이시, 어째서 네 여기는, 이렇게 젖어 있는 거지?
L30163	［トレイシー］：そ、それは‥‥。
>>	［트레이시］：그, 그건‥‥.
