# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L15287	［コウジ］：くっ‥‥大宇宙海賊たる、この私が‥‥。
L16008	［沙夜香］：な、なんですって‥‥あの女も‥‥？
>>	［사야카］：뭐, 뭐라고‥‥그 여자도‥‥?
L16012	［コウジ］：最近の役人は、コールガールのような事も行うらしい。文字どおり公僕という訳か。
>>	［코우지］：요즘 관리는, 콜걸 같은 짓도 하는 모양이군. 문자 그대로 국민의 종이라는 건가.
L16015	さすがに、沙夜香の顔はみるみる紅潮していった。
>>	과연, 사야카의 얼굴은 순식간에 붉게 물들어 갔다.
L16018	［沙夜香］：わ、私だってね、仕事でなければ、誰があんたなんかと‥‥。
>>	［사야카］：나, 나도 말이야, 일이 아니었으면, 누가 너 따위랑‥‥.
L16021	沙夜香は言ってから、しまったという顔をした。手で口元を抑えるが、音声は既に空気を媒介として、私の鼓膜に達している。
>>	사야카는 말하고 나서, 아차 하는 얼굴을 했다. 손으로 입을 막지만, 음성은 이미 공기를 매개로, 내 고막에 닿아 있다.
L16024	この女は意外にウブだったようだ。色仕掛けなど、最初からやめればよかったものを。
>>	이 여자는 의외로 숫된 모양이었다. 미인계 따위, 처음부터 그만뒀으면 좋았을 것을.
L16028	［コウジ］：フン、仕事の為か。ポリシーも何もないヤツがよく言う詭弁だな。
>>	［코우지］：흥, 일 때문인가. 신념도 뭣도 없는 놈이 잘 쓰는 궤변이군.
L16031	［沙夜香］：ちくしょう！
>>	［사야카］：젠장!
L16034	沙夜香がコブシを私に叩きつけてきた。私は手のひらで、それをスポっと受けとめる。
>>	사야카가 주먹을 나에게 내리쳤다. 나는 손바닥으로, 그것을 툭 받아냈다.
L16038	［コウジ］：ほぉ、勇ましいな。
>>	［코우지］：호오, 용감하군.
L16041	［沙夜香］：あのマシンはね、政府が搾取するわ、必ずね！
>>	［사야카］：그 머신은 말이야, 정부가 차지할 거야, 반드시!
L16045	［コウジ］：私が、だろう？　一人称と三人称をきちんと使い分けろ。
>>	［코우지］：내가, 겠지?　일인칭과 삼인칭을 제대로 구분해 써라.
L16048	［沙夜香］：この恨み、はらさないでおかないからっ！
>>	［사야카］：이 원한, 반드시 갚아 주겠어!
L16052	［コウジ］：マタロウか、お前は。
>>	［코우지］：마타로냐, 너는.
L16056	［コウジ］：それよりも、舞の方だ。触媒がいなくては、シンクロすることも、ままならん。
>>	［코우지］：그보다도, 마이 쪽이다. 촉매가 없으면, 싱크로하는 것도, 뜻대로 안 된다.
L16060	［コウジ］：向こうの宏治には、５時間後と言っておいたが‥‥やつがビアンカに黒コゲにされるのは明らかだ。
>>	［코우지］：저쪽 코지에게는, ５시간 후라고 말해 뒀지만‥‥그놈이 비앙카 손에 새까맣게 타 버리는 건 뻔하다.
L16064	［コウジ］：はやいところ、行動をおこさなくては‥‥。
>>	［코우지］：서둘러, 행동을 개시해야 한다‥‥.
L16067	　◆ コンピュータ・ルームへ行ってみよう‥‥。
>>	　◆ 컴퓨터・룸으로 가 보자‥‥.
L16070	　◆ ここでじっとしている方が、いいだろう‥‥。
>>	　◆ 여기서 가만히 있는 편이, 좋겠지‥‥.
L16073	　◆ ウルトラスーパーマグナム・キックの練習をしよう。
>>	　◆ 울트라 슈퍼 매그넘・킥 연습을 하자.
L16076	フン、そうだな。コンピュータ・ルームへ行ってみよう。
>>	흥, 그렇군. 컴퓨터・룸으로 가 보자.
L16079	確か、キーは、あの沙夜香が持っていたはずだが‥‥。
>>	분명, 열쇠는, 그 사야카가 가지고 있었을 텐데‥‥.
L16083	［コウジ］：フッフッフ‥‥。
>>	［코우지］：훗훗훗‥‥.
L16086	私は、枕の下から一束のキーを取り出した。無論、沙夜香からさきほどくすねたヤツである。
>>	나는, 베개 밑에서 열쇠 뭉치를 꺼냈다. 물론, 아까 사야카에게서 슬쩍한 것이다.
L16090	［コウジ］：格の違いだな。他愛のない‥‥。
>>	［코우지］：격이 다르군. 시시한‥‥.
L16093	私が部屋を出ようとした、そのとき‥‥‥‥。
>>	내가 방을 나서려던, 그때‥‥‥‥.
L16096	トゥルルルル‥‥‥‥トゥルルルル‥‥‥‥。
>>	뚜르르르르‥‥‥‥뚜르르르르‥‥‥‥.
L16100	［コウジ］：電話、か‥‥。
>>	［코우지］：전화인가‥‥.
L16103	ガチャッ。
>>	철컥.
L16107	［女の声］：‥‥宏治？
>>	［여자 목소리］：‥‥코지?
L16111	［コウジ］：そうだが、貴様は？
>>	［코우지］：그렇다만, 네년은?
L16114	［女の声］：私よ、恵よ‥‥イタタ‥‥。
>>	［여자 목소리］：나야, 메구미야‥‥아야야‥‥.
L16117	［恵］：ねぇ、ちょっと聞いてるの？
>>	［메구미］：저기, 듣고 있는 거야?
L16121	［コウジ］：うむ、聞こえている。
>>	［코우지］：음, 들리고 있다.
L16124	［女の子］：今から、２階の‥‥きゃぁっ！
>>	［여자아이］：지금부터, ２층의‥‥꺄앗!
L16127	［コウジ］：‥‥‥<$0C>‥‥‥<$0C>‥‥‥‥。
>>	［코우지］：‥‥‥<$0C>‥‥‥<$0C>‥‥‥‥.
L16131	［恵］：イタタ‥‥ねぇ、宏治聞いてるの？
>>	［메구미］：아야야‥‥저기, 코지 듣고 있어?
L16134	［恵］：２階の一番奥に、大きな部屋があって‥‥。
>>	［메구미］：２층 제일 안쪽에, 큰 방이 있는데‥‥.
L16138	［コウジ］：コンピュータ・ルームか？
>>	［코우지］：컴퓨터・룸 말인가?
L16141	［恵］：そうよっ！　そこに、至急来て！
>>	［메구미］：맞아!　거기로, 급히 와 줘!
L16144	［恵］：あ痛っ‥‥んもう、やんなっちゃうっ、なんで私がこんなめに‥‥。
>>	［메구미］：아 아파‥‥아 진짜, 짜증 나, 왜 내가 이런 꼴을‥‥.
