# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L21913	［ランファ］：コウジ様っ、その涼子せんせって、いったい誰なんですか？
>>	［코지］：얼굴이랑 입, 어느 쪽이 좋은지, 말해 봐!
L22514	［ファル］：顔よっ！　顔にかけてもらうのが、一番いいのっ！！
>>	［파르］：얼굴이야!　얼굴에 뿌려 주는 게, 제일 좋아!!
L22518	［宏治］：このぉぉ！
>>	［코지］：이거어어!
L22521	オレは目の前でヒクヒクと痙攣しているアヌスに、小指をあてがい押し入れた。しっとりと濡れていたそこに、オレの指はたやすく根本まで呑み込まれる。
>>	나는 눈앞에서 씰룩씰룩 경련하는 항문에, 새끼손가락을 대고 밀어 넣었다. 촉촉이 젖어 있던 그곳에, 내 손가락은 쉽게 뿌리까지 삼켜진다.
L22524	こいつ、後ろも経験あるな‥‥。
>>	이 년, 뒤에도 경험 있구나‥‥.
L22527	［ファル］：あっいやぁぁ、お尻はダメぇぇぇっ！！
>>	［파르］：앗 싫어아아, 엉덩이는 안 돼에에엑!!
L22531	［宏治］：ウソつけ！　２本だっていけるだろ！？
>>	［코지］：거짓말!　２개도 들어가잖아!?
L22534	ずりゅぅぅっっ！！
>>	쭈우우욱!!
L22537	［ファル］：あぐぁぁ‥‥き、キツ過ぎるわ‥‥本当に‥‥あぁぁぁっ！！！
>>	［파르］：아그아아‥‥조, 너무 조여‥‥정말‥‥아아아악!!!
L22540	小指と薬指をアヌスに埋没させたまま、オレは腰の前後運動を次第に速めていった。
>>	새끼손가락과 약지를 항문에 박아 둔 채, 나는 허리의 왕복 운동을 점점 빠르게 해 갔다.
L22543	指を中で蠢かすたびに、ファルの肉壁はオレのモノを中でしごき、締め上げる。もうそろそろ限界だ‥‥。
>>	손가락을 안에서 꿈틀거릴 때마다, 파르의 살벽이 내 것을 안에서 훑고, 조여 온다. 이제 슬슬 한계다‥‥.
L22547	［宏治］：顔だったな‥‥。
>>	［코지］：얼굴이었지‥‥.
L22550	［ファル］：あぁぁ、そうよっ。射精しそうなの？　あぁぁ、早く欲しい‥‥早く！
>>	［파르］：아아아, 그래. 사정할 것 같아?　아아아, 빨리 줘‥‥빨리!
L22554	［宏治］：いま、たっぷりとかけてやるよ、くっ‥‥。
>>	［코지］：지금, 잔뜩 뿌려 줄게, 윽‥‥.
L22557	［ファル］：あぁぁぁ、かけて‥‥私の顔に！　いまぁっっ！！
>>	［파르］：아아아아, 뿌려‥‥내 얼굴에!　지금이야앗!!
L22561	［宏治］：も、もう出る！！
>>	［코지］：이, 이제 나온다!!
L22564	オレは夢中でアソコから引き抜くと、ファルの顔の上に馬乗りになり、荒い息を吐く可愛らしい口に、オレのモノを突き入れた。
>>	나는 정신없이 그곳에서 빼내고는, 파르의 얼굴 위에 올라타, 거친 숨을 내쉬는 귀여운 입에, 내 것을 밀어 넣었다.
L22567	舌をだらしなく垂れさせ、恍惚とした表情をしているファルの顔が美しく歪む。眉間にシワをよせ、それでもオレのものを夢中で吸い出した。
>>	혀를 축 늘어뜨리고, 황홀한 표정을 한 파르의 얼굴이 아름답게 일그러진다. 미간을 찌푸리면서도, 내 것을 정신없이 빨아냈다.
L22570	［ファル］：出して‥‥あぁぁ、出して！　コウジのミルクを沢山、私の顔に‥‥‥‥<$0C>うっ！！
>>	［파르］：싸줘‥‥아아아, 싸줘!　코우지의 밀크를 잔뜩, 내 얼굴에‥‥‥‥<$0C>윽!!
L22573	［ファル］：んあぁ‥‥すごっ‥‥あはぁぁぁ‥‥。
>>	［파르］：응아아‥‥굉장해‥‥아하아아아‥‥.
L22576	オレはファルの顔にたっぷりとこびり付いた精液を、自分のモノで顔中に塗りたくる。
>>	나는 파르의 얼굴에 잔뜩 들러붙은 정액을, 내 것으로 얼굴 전체에 바르고 문지른다.
L22579	［ファル］：あぁぁぁ、精液が沢山‥‥私の顔に‥‥んんっ。
>>	［파르］：아아아아, 정액이 잔뜩‥‥내 얼굴에‥‥으응.
L22582	オレは再びファルの頭を抑え、オレのモノを彼女の口腔に押し込む。まだ十分な硬度を保っているそれは、ファルの喉奥にまで到達した。
>>	나는 다시 파르의 머리를 누르고, 내 것을 그녀의 구강에 밀어 넣는다. 아직 충분히 단단한 그것은, 파르의 목구멍 깊숙이까지 닿았다.
L22585	［ファル］：んぐ‥‥ゲホッ、んんんっ‥‥んっ、んっ。
>>	［파르］：응극‥‥콜록, 으으응‥‥응, 응.
L22588	ゆっくりと腰を前後に動かし始めた。ファルはたっぷりと舌を使い、口腔でオレのまだ硬いモノを、浄めている。
>>	천천히 허리를 앞뒤로 움직이기 시작했다. 파르는 혀를 잔뜩 써서, 구강 안에서 아직 단단한 내 것을, 깨끗이 핥고 있다.
L22591	オレは彼女の舌を感じながら、心地よい虚脱感に浸っていった‥‥。
>>	나는 그녀의 혀를 느끼며 기분 좋은 허탈감에 잠겨 갔다‥‥.
L22595	［宏治］：ファルネリア、君はいったいどういう人間なんだい？
>>	［코지］：파르네리아, 넌 도대체 어떤 인간이야?
L22598	［ファル］どういう意味よ、それって。
>>	［파르］어떤 뜻이야, 그게.
L22602	［宏治］：‥‥言葉通りの意味なんだけど。
>>	［코지］：‥‥말 그대로의 뜻인데.
L22605	［ファル］：あなた、私がどういう人間か知らないでさらってきたわけ？
>>	［파르］：당신, 내가 어떤 인간인지도 모르고 납치해 온 거야?
L22609	［宏治］：すまない、どういう訳かオレは、君をさらってきた事なんて全く知らないし、記憶にもない。
>>	［코지］：미안, 어째선지 난 너를 납치해 온 일 따윈 전혀 모르고 기억에도 없어.
L22612	［ファル］：しらばくれる気？
>>	［파르］：시치미 뗄 셈이야?
L22616	［宏治］：違う。本当に知らない。
>>	［코지］：아니야. 정말로 몰라.
L22620	［宏治］：説明は難しいんだが、オレは宏治であってコウジではないんだよ。
>>	［코지］：설명하긴 어렵지만, 난 코지이지 코우지가 아니야.
L22623	［ファル］：さっきも、そんなことを言っていたわよね。よく理解できなかったけど。
>>	［파르］：아까도 그런 말을 했었지. 잘 이해는 못 했지만.
L22627	［宏治］：じゃあ、こうしよう。宇宙海賊コウジとやらは、トイレで転んで頭を打って、記憶が喪失状態である。
>>	［코지］：그럼 이렇게 하자. 우주 해적 코우지인지 뭔지는 화장실에서 넘어져 머리를 부딪쳐 기억을 잃은 상태다.
L22630	［ファル］：本気なの？
>>	［파르］：진심이야?
L22634	［宏治］：厳密に言うと正確じゃない。でも、今の状況に一番近い設定だと思う。
>>	［코지］：엄밀히 말하면 정확하진 않아. 하지만 지금 상황에 가장 가까운 설정이라고 봐.
L22638	［宏治］：信じられないかも知れないが、オレは宇宙海賊のコウジとやらじゃないんだ。本当だ。
>>	［코지］：믿기 힘들겠지만 난 우주 해적 코우지인지 뭔지가 아니야. 정말이야.
L22641	［ファル］：深刻の色を発しているわ‥‥本当なの？
>>	［파르］：심각한 색을 내고 있네‥‥정말이야?
L22645	［宏治］：オレにだって信じられないんだから、他人の君に信じろと言う方が無理ってもんだよな。
>>	［코지］：나조차 못 믿는데 남인 너더러 믿으라는 게 무리지.
L22648	［ファル］：ううん、少なくともあなたは嘘は言っていないようよ。そういう色が出ているもの。
>>	［파르］：아니, 적어도 당신은 거짓말은 안 하는 것 같아. 그런 색이 나오고 있으니까.
L22652	［宏治］：色？
>>	［코지］：색?
L22655	［ファル］：ええ、これが何かの茶番だとしたら、あなた自身はそう確信していて、なおかつ事実は違うという場合だけね。
>>	［파르］：응, 이게 무슨 촌극이라면 당신 자신은 그렇게 확신하고 있고, 게다가 사실은 다른 경우뿐이겠지.
L22659	［宏治］：それって、オレの気が狂ってるってこと？
>>	［코지］：그건 내가 미쳤다는 뜻이야?
L22662	［ファル］：可能性の話。
>>	［파르］：가능성 얘기야.
L22666	［宏治］：‥‥それよりさ、さっきから何色とかってよく聞くけど、どいういうこと？
>>	［코지］：‥‥그보다 아까부터 무슨 색이니 뭐니 하는데, 그게 무슨 소리야?
L22669	［ファル］：‥‥いいわ、完全に信用した訳じゃないけど、質問には答えて上げる。
>>	［파르］：‥‥좋아, 완전히 믿은 건 아니지만 질문에는 답해 줄게.
L22673	［宏治］：そりゃ、助かるね。ありがとう、ファルネリア。
>>	［코지］：그거 다행이군. 고마워, 파르네리아.
L22676	［ファル］：それから、今後私のことはファルでいいわ。
>>	［파르］：그리고 앞으로 날 파르라고 불러도 돼.
L22680	［宏治］：ファルね、オーケー、ファル。
>>	［코지］：파르 말이지, 오케이, 파르.
L22683	［ファル］：私は、触媒としてあなたに連れてこられたのよ。
>>	［파르］：난 촉매로서 당신에게 끌려온 거야.
L22687	［宏治］：触媒？
>>	［코지］：촉매?
L22690	［ファル］：エンコーダを動作させるには、一定レベル以上のテレパスが必要なの。
>>	［파르］：인코더를 작동시키려면 일정 레벨 이상의 텔레파스가 필요해.
L22694	［宏治］：テレパス‥‥。
>>	［코지］：텔레파스‥‥.
L22697	［ファル］：私がその役割を担っていたのだけど‥‥。
>>	［파르］：내가 그 역할을 맡고 있었는데‥‥.
L22701	［宏治］：テレパスって、テレパシーが使える人？
>>	［코지］：텔레파스라면 텔레파시를 쓸 수 있는 사람?
L22704	［ファル］：そう。私は、人の感情を色によって判別する能力があるの。それも結構強い、ね。
>>	［파르］：그래. 난 사람의 감정을 색으로 판별하는 능력이 있어. 그것도 꽤 강한 편이지.
L22708	［宏治］：色でねぇ‥‥。
>>	［코지］：색으로 말이지‥‥.
L22711	［ファル］：怒りは濃い赤、戸惑いはブラウン、悲しみはブルーという具合にね、感情によって発する色が違うのよ。
>>	［파르］：분노는 진한 빨강, 당혹은 브라운, 슬픔은 블루 하는 식으로 감정마다 내는 색이 달라.
L22715	［宏治］：ふーん、じゃあ、怒りながらも戸惑っていて、悲しみを表す人がいたら、何色に見えるの？
>>	［코지］：흐응, 그럼 화내면서도 당혹스러워하고 슬픔을 드러내는 사람이 있으면 무슨 색으로 보여?
L22718	［ファル］：なっ‥‥そんな人いるわけないでしょっ！
>>	［파르］：뭐‥‥그런 사람이 있을 리 없잖아!
L22722	［宏治］：いるかもしれないぞ。オレなんてよく、泣きながら笑ったもんだ。
>>	［코지］：있을지도 모르지. 난 자주 울면서 웃곤 했다고.
