# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L26854	レロっ！
>>	［파르］：응하아아‥‥침을 더 마시게 해 줘!
L27651	［ファル］：んぐっ、ゴクゴク、ゴクッ‥‥。
>>	［파르］：읍, 꿀꺽꿀꺽, 꿀꺽‥‥.
L27655	［宏治］：もうイクぜ！
>>	［코지］：이제 간다!
L27658	［ファル］：あン、膣内に出して構わない‥‥あっ、今日は‥‥んっ！　膣内でも大丈夫なのっ！
>>	［파르］：앙, 안에 싸도 괜찮아‥‥앗, 오늘은‥‥읏!　안에 해도 괜찮아!
L27662	［宏治］：いくぜ、ファル！！
>>	［코지］：간다, 파르!!
L27665	［ファル］：きてぇぇぇぇぇぇぇぇぇぇぇっっっ！！！
>>	［파르］：와 줘어어어어어어어어어어엇!!!
L27668	ドクドクドクッ！　ドクッ、ドクッ‥‥‥‥。
>>	울컥울컥울컥!　울컥, 울컥‥‥‥‥.
L27671	［ファル］：いっくぅぅぅぅぅぅぅぅぅぅぅぅぅっっっ！！！！
>>	［파르］：가아아아아아아아아아아아앗!!!!
L27674	　　　　　というような毎日を、過ごしましたとさ‥‥‥‥。
>>	　　　　　이런 나날을 보냈답니다‥‥‥‥.
L27681	［トレイシー］：あぁぁ、コウジ様‥‥凄く太くて、たまくしい‥‥。
>>	［트레이시］：아아아, 코우지 님‥‥굉장히 굵고, 늠름해요‥‥.
