# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L16148	［コウジ］：どうしたのだ。
L16760	［恵］：宏治、なんだか、すっごくたくましくなって‥‥。
>>	［메구미］：코지, 어쩐지 엄청 늠름해져서‥‥.
L16764	［コウジ］：‥‥言葉遣いに気をつけろ。
>>	［코우지］：‥‥말투에 조심해라.
L16767	［恵］：はーい。こ・う・じ・さ・ま！　これでいい？
>>	［메구미］：네에. 코・지・님!　이제 됐어?
L16771	［恵］：ね、宏治さま、もう１回しよっか？
>>	［메구미］：저기, 코지 님, 한 번 더 할까?
L16775	［コウジ］：そんなことより、恵、貴様に聞きたいことがある。
>>	［코우지］：그런 것보다, 메구미, 네놈에게 묻고 싶은 것이 있다.
L16778	［恵］：そんなことって、ずいぶんよね～。
>>	［메구미］：그런 것이라니, 너무하네～.
L16781	［恵］：きゃっ、ごめんなちゃーい。何でもお聞き下さいませ。
>>	［메구미］：꺅, 죄송해여～. 무엇이든 물어보세요.
L16785	［コウジ］：ふん、私が聞きたいことというのはだな。
>>	［코우지］：흥, 내가 묻고 싶은 것은 말이다.
L16788	［恵］：わかった、私の星座でしょう？　相性をみるとか？
>>	［메구미］：알았다, 내 별자리지?　궁합 보려고?
L16792	［コウジ］：せいざ？　姿勢正しく座ることが、なぜ必要なのだ。
>>	［코우지］：별자리?　자리를 바르게 잡고 앉는 것이, 왜 필요하다는 거냐.
L16795	［恵］：ばっかねぇ～。
>>	［메구미］：바보네에～.
L16798	［恵］：う、ウソウソ、うそでーす。星座というのはですね、空に瞬く星々の芸術のことです。
>>	［메구미］：거, 거짓말 거짓말, 농담이에요～. 별자리라는 건요, 하늘에 반짝이는 별들의 예술이에요.
L16802	［コウジ］：‥‥なんだ、それは？
>>	［코우지］：‥‥뭐냐, 그건?
L16805	［恵］：本当に知らないの？　もう、星と星を線でつないで、動物とか人間にみたてることよ。
>>	［메구미］：정말 몰라?　참, 별과 별을 선으로 이어서 동물이나 사람에 빗대는 거야.
L16808	［恵］：ほらぁ、３つ並ぶ星はオリオン座とかぁ、柄杓のような大熊座とかぁ‥‥。
>>	［메구미］：있잖아, 나란히 늘어선 별 ３개는 오리온자리라든가, 국자 같은 큰곰자리라든가‥‥.
L16812	［コウジ］：‥‥ああ、なるほど。恒星の配置を便宜的な形象に見立てるヤツか。
>>	［코우지］：‥‥아아, 그렇군. 항성의 배치를 편의적인 형상에 빗대는 그것인가.
L16815	［恵］：そうそう、それよ、それ。
>>	［메구미］：맞아 맞아, 그거야, 그거.
L16819	［コウジ］：フン、恒星の配置などその惑星を出れば当然変化するからな。惑星から一歩も外へ出たことのない土着民が考えそうな事だ。
>>	［코우지］：흥, 항성의 배치 따위 그 행성을 벗어나면 당연히 변한다. 행성 밖으로 한 발짝도 나가 본 적 없는 토착민이나 생각할 법한 일이군.
L16822	［恵］：それってどういうことよぉ、まるで宇宙にでも行ったことがあるような口振り。
>>	［메구미］：그게 무슨 소리야, 꼭 우주에라도 가 본 것 같은 말투네.
L16826	［コウジ］：フン、まぁいい‥‥それよりも、話が外れた。貴様に聞きたいことはな。
>>	［코우지］：흥, 뭐 됐다‥‥그보다, 얘기가 샜군. 네놈에게 묻고 싶은 건 말이다.
L16829	［恵］：星座のことじゃないんだ。
>>	［메구미］：별자리 얘기가 아니었구나.
L16833	［コウジ］：当たり前だ。貴様の父親は、確か政治家でこの医療センターのスポンサーと言っていたな。
>>	［코우지］：당연하지. 네놈의 아버지는, 분명 정치가이고 이 의료 센터의 스폰서라고 했었지.
L16836	［恵］：それが、どうかしたの？
>>	［메구미］：그게, 뭐 어떻다는 거야?
L16839	［恵］：んもう‥‥コホン、どうかなさったのですか？
>>	［메구미］：아 참‥‥크흠, 그게 어떻다는 말씀이신가요?
L16843	［コウジ］：うむ、その真偽のほどを知りたくてな。
>>	［코우지］：음, 그 진위를 알고 싶어서 말이다.
L16847	［恵］：宏治さまの言う通りで、私の父は政治家でーす。
>>	［메구미］：코지 님 말씀대로, 제 아버지는 정치가예요～.
L16851	［コウジ］：フン、そうか。
>>	［코우지］：흥, 그런가.
L16854	私が満足そうに頷くのを、恵はそばで怪訝そうに眺めている。
>>	내가 만족스럽게 고개를 끄덕이는 것을, 메구미는 옆에서 의아한 듯 바라보고 있다.
L16858	［コウジ］：確か今は西暦‥‥２０世紀の末、ここは日本国というところだな。
>>	［코우지］：분명 지금은 서기‥‥２０세기 말, 여기는 일본국이라는 곳이렷다.
L16861	［恵］：そ、それが‥‥？
>>	［메구미］：그, 그게‥‥?
L16865	［コウジ］：貴様は、今から私の妻だ。
>>	［코우지］：네놈은, 지금부터 내 아내다.
L16868	［恵］：えぇ～～！？
>>	［메구미］：에에～～!?
L16871	［恵］：ほ、本気なの？
>>	［메구미］：지, 진심이야?
L16874	［恵］：本気‥‥ですか？
>>	［메구미］：진심‥‥이신가요?
L16878	［コウジ］：あたりまえだ。冗談は、イカの頭の次に嫌いだ。
>>	［코우지］：당연하지. 농담은, 오징어 대가리 다음으로 싫어한다.
L16881	［恵］：だ、だってぇ‥‥。
>>	［메구미］：하, 하지만‥‥.
L16885	［恵］：ううん、そんなこと‥‥ないけど‥‥宏治、何だかすっごく頼もしくなったし‥‥以前まではちょっと、アレだったけど‥‥。
>>	［메구미］：아니, 그런 건‥‥아니지만‥‥코지, 어쩐지 엄청 듬직해졌고‥‥예전엔 좀, 그랬지만‥‥.
L16889	［コウジ］：ブツブツ文句の多いやつだ。どうなんだ？
>>	［코우지］：투덜투덜 불평이 많은 놈이군. 어떻다는 거냐?
L16892	［恵］：でもぉ、私のお父様が許さないと思うわよぉ。
>>	［메구미］：하지만, 우리 아버님이 허락하지 않으실 거야.
L16896	［コウジ］：なぜ、貴様の父親がそんなことを言えるのだ。
>>	［코우지］：어째서, 네놈의 아버지가 그런 말을 할 수 있다는 거냐.
L16899	［恵］：だって、私の父親だし‥‥。
>>	［메구미］：그야, 내 아버지니까‥‥.
L16903	［コウジ］：この時代のこの国では、自由恋愛によって成人同士が婚姻することを、法によって保証していたはずだ。
>>	［코우지］：이 시대의 이 나라에서는, 자유연애로 성인끼리 혼인하는 것을 법으로 보장하고 있을 터인데.
L16906	［恵］：そりゃあ、そうだけどさ‥‥。
>>	［메구미］：그야, 그렇긴 하지만‥‥.
L16910	［コウジ］：なにをニヤニヤ笑っている。
>>	［코우지］：뭘 히죽히죽 웃고 있는 거냐.
L16914	［恵］：エヘヘ、宏治が私のことをさらって行ってくれるなら、結婚してもいいかな。
>>	［메구미］：에헤헤, 코지가 나를 채 가 준다면, 결혼해도 괜찮으려나.
L16918	［コウジ］：さらう？　なぜ、さらう必要がある。
>>	［코우지］：채 간다?　어째서, 채 갈 필요가 있지.
L16921	［恵］：女はみんな、自分をさらって行ってくれる白馬の王子様を待っているの！
>>	［메구미］：여자는 다들, 자기를 채 가 줄 백마 탄 왕자님을 기다리고 있다고!
L16925	［コウジ］：フン、くだらん願望にかまけている暇はないな。よし、では貴様は今から私の妻で奴隷だ。
>>	［코우지］：흥, 시시한 소망에 매달릴 틈은 없다. 좋아, 그럼 네놈은 지금부터 내 아내이자 노예다.
L16928	［恵］：じゃあ、奴隷妻ってこと？
>>	［메구미］：그럼, 노예 아내라는 거야?
L16932	［コウジ］：うむ、そういうことになる。
>>	［코우지］：음, 그렇게 되는군.
L16935	［恵］：なんだか、そそられるフレーズよね、奴隷妻って。
>>	［메구미］：어쩐지 끌리는 말이네, 노예 아내라니.
L16939	［コウジ］：フン、まぁいい。貴様が妻になれば、その権力者の力を利用できるというモノだ。
>>	［코우지］：흥, 뭐 됐다. 네놈이 아내가 되면, 그 권력자의 힘을 이용할 수 있는 셈이지.
L16942	［恵］：かっくいい！
>>	［메구미］：멋있어!
L16945	［女の声］：そんな事はさせないわよっ！
>>	［여자 목소리］：그런 짓은 하게 두지 않겠어!
L16948	［恵］：あっ！！
>>	［메구미］：앗!!
