# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L27685	［宏治］：もっともっと、擦り付けて。
>>	［코지］：이, 이런. 이봐!
L28454	両肩を持って前後に振るが、頭がカクカクとワンテンポずれて前後に動くだけで、返答は全くなかった。
>>	양어깨를 잡고 앞뒤로 흔들지만, 머리가 한 박자 늦게 덜컥덜컥 앞뒤로 움직일 뿐, 대답은 전혀 없었다.
L28457	オレは無我夢中でランファの口に自分のそれを重ねた。鼻を指で押さえて、口腔へと空気を送り込む。
>>	나는 정신없이 란파의 입에 내 입을 포갰다. 코를 손가락으로 막고, 입 안으로 공기를 불어넣는다.
L28461	［宏治］：フーーーッッ。ランファ、気づけよぉ～。
>>	［코지］：후우우웃. 란파, 정신 차려어~.
L28464	［ランファ］：んっ‥‥‥‥。
>>	［란파］：응‥‥‥‥.
L28468	［宏治］：おっ、いい感じだ。もういっちょ、フーーーーーッッ！！
>>	［코지］：오, 반응이 좋은데. 한 번 더, 후우우우웃!!
L28472	［ランファ］：あン、コウジ様‥‥そんな、大胆ですぅ‥‥。
>>	［란파］：아앙, 코우지 님‥‥그런, 대담하세요오‥‥.
L28476	［宏治］：よかったぁ‥‥ちょ、ちょっと‥‥。
>>	［코지］：다행이다아‥‥자, 잠깐‥‥.
L28479	気付いたと思ったら、オレのことを情熱的に抱きしめてきた。何か勘違いをしているらしい。
>>	정신이 들었나 싶더니, 나를 정열적으로 끌어안아 왔다. 뭔가 착각하고 있는 모양이다.
L28482	柔らかい舌がオレの口腔へと差し込まれてきた。口内をなぞりまくり、オレの舌へねっとりと絡みついてくる。
>>	부드러운 혀가 내 입 안으로 밀려 들어왔다. 입속을 마구 훑고는, 내 혀에 끈적하게 휘감겨 온다.
L28485	年齢はわからないが、目の前にいるのは、どうみても少女だった。それがかえって、オレのインモラルな欲情を掻き立てていった‥‥。
>>	나이는 모르지만, 눈앞에 있는 건 어떻게 봐도 소녀였다. 그게 오히려 내 인모럴한 욕정을 돋우어 갔다‥‥.
L28488	［ランファ］：んっ‥‥もっと、もっとぉ‥‥。
>>	［란파］：응‥‥더, 더어‥‥.
L28491	しばらくオレたちは、狭いロッカーの中でお互いの口腔をむさぼりあった。
>>	한동안 우리는, 좁은 로커 안에서 서로의 입속을 탐했다.
L28494	しかし首に手をまわされ、情熱的に抱きしめられていると、次第に呼吸が困難になってくる。
>>	하지만 목에 팔이 감기고, 정열적으로 끌어안겨 있자니, 점점 숨쉬기가 힘들어진다.
L28498	［宏治］：ぶはぁぁぁっ！
>>	［코지］：푸하아아앗!
L28501	［ランファ］：あン、もっとぉ‥‥。
>>	［란파］：아앙, 더어‥‥.
L28505	［宏治］：よく、苦しくないね。
>>	［코지］：용케 숨이 안 막히네.
L28508	［ランファ］：肺活量、４千ですからねっ。
>>	［란파］：폐활량이 ４천이거든요.
L28512	［宏治］：ちょっと違うような気が‥‥。
>>	［코지］：뭔가 좀 다른 것 같은 기분이‥‥.
L28516	［ランファ］：ああン、コウジ様ぁ、早くぅ‥‥。
>>	［란파］：아아앙, 코우지 니임, 빨리이‥‥.
L28520	［宏治］：ちょ、ちょっ‥‥そ、そうだ、そういえばさ。
>>	［코지］：자, 잠깐‥‥그, 그래, 그러고 보니 말이야.
L28523	オレは煩悩を振り払うように、話題転換をする。この雰囲気は非常にヤバい。
>>	나는 번뇌를 떨쳐 내듯 화제를 돌린다. 이 분위기는 굉장히 위험하다.
L28527	［宏治］：ビアンカのこと、何だか詳しそうだけど、彼女のことを知ってるの？
>>	［코지］：비앙카에 대해 꽤 잘 아는 것 같은데, 그녀를 알고 있어?
