# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L2441	［宏治］：もう、限界だよ‥‥。
L3092	私は、壁に手を当てて、めまいを押さえた。と、その時‥‥‥‥。
>>	나는, 벽에 손을 대고, 현기증을 억눌렀다. 그런데, 그때‥‥‥‥.
L3095	ウィーーン‥‥‥‥。
>>	위이잉‥‥‥‥.
L3098	（タッチセンサー、だったのか‥‥‥‥。）
>>	（터치 센서, 였던 건가‥‥‥‥.）
L3101	今は、一刻も早くこの騒音から逃れたかった。
>>	지금은, 한시라도 빨리 이 소음에서 벗어나고 싶었다.
L3104	私は、おぼつかない足どりで、この場を立ち去った‥‥‥‥。
>>	나는, 위태로운 걸음으로, 그 자리를 떠났다‥‥‥‥.
L3107	蒸し暑さは変わらなかったが、息苦しさから解放された為か、幾分気分が良くなったようだ。
>>	무더위는 그대로였지만, 답답함에서 풀려난 덕인지, 다소 기분이 나아진 듯했다.
L3110	あの耳障りな騒音も、かなり静かになっていた。
>>	그 거슬리던 소음도, 꽤 잦아들어 있었다.
L3113	（ここには、誰も人がいないのだろうか‥‥‥‥。）
>>	（여기에는, 아무도 없는 걸까‥‥‥‥.）
L3116	ふと、そんな考えも頭をよぎった。そのくらい、人の気配というものが欠如していたのだ。
>>	문득, 그런 생각도 머리를 스쳤다. 그만큼, 인기척이라곤 전혀 없었다.
L3119	（そういえば‥‥‥‥。）
>>	（그러고 보니‥‥‥‥.）
L3122	以前、ここで出会った少女‥‥名はなんといったか‥‥。
>>	전에, 여기서 만난 소녀‥‥이름이 뭐였더라‥‥.
L3125	そうだ、確かラン‥‥ランファといったな‥‥。
>>	그래, 분명 란‥‥란파라고 했지‥‥.
L3128	また、会えないだろうか、彼女に‥‥‥‥。
>>	다시, 만날 수 없을까, 그녀를‥‥‥‥.
L3131	そう考えたとき‥‥‥‥。
>>	그렇게 생각했을 때‥‥‥‥.
L3134	以前にも、こんな状況があったような‥‥‥‥。
>>	전에도, 이런 상황이 있었던 것 같은‥‥‥‥.
L3137	［目の前の女］：部屋にいなくなっていたから、どこへ行ったのかと思ったけど‥‥。
>>	［눈앞의 여자］：방에 없길래, 어디 갔나 했더니‥‥.
L3140	［私］：そうか、君は確か‥‥何か、棺桶のような機械に‥‥。
>>	［나］：그래, 당신은 분명‥‥무슨, 관 같은 기계에‥‥.
L3142	［目の前の女］：棺桶‥‥‥‥<$0C>あぁ、エンコーダのことね。
>>	［눈앞의 여자］：관‥‥‥‥<$0C>아아, 인코더 말이구나.
L3145	目の前の女性はクスッと笑みを洩らすと、頬に垂れ掛かる赤い髪の毛をかき上げた。
>>	눈앞의 여성은 피식 웃음을 흘리더니, 뺨에 드리운 붉은 머리카락을 쓸어 올렸다.
L3148	［私］：エンコーダ？
>>	［나］：인코더?
L3151	［目の前の女］：最新の、サイコロジカル・マシーンよ。
>>	［눈앞의 여자］：최신형, 사이코로지컬 머신이야.
L3153	［私］：サイコ‥‥‥‥<$0C>なんだって？
>>	［나］：사이코‥‥‥‥<$0C>뭐라고?
L3156	多少なりとも混乱するのは、仕方がなかった。目の前の女性は、私の知らない単語を、次から次へと呈示してくる。
>>	다소나마 혼란스러운 것은, 어쩔 수 없었다. 눈앞의 여성은, 내가 모르는 단어를, 잇달아 꺼내 놓는다.
L3159	彼女は溜息を１つ吐いて、しょうがない、という表情をすると、
>>	그녀는 한숨을 한 번 내쉬고, 어쩔 수 없다는 표정을 짓더니,
L3162	［目の前の女］：サイコロジカル・マシーンよ。サイキックプログラム・エンコーダ、がその名称。
>>	［눈앞의 여자］：사이코로지컬 머신이야. 사이킥 프로그램 인코더, 그게 정식 명칭이야.
L3165	［私］：‥‥‥‥‥‥。
>>	［나］：‥‥‥‥‥‥.
L3168	［目の前の女］：‥‥‥‥‥‥。
>>	［눈앞의 여자］：‥‥‥‥‥‥.
L3171	［私］：‥‥君は‥‥‥‥。
>>	［나］：‥‥당신은‥‥‥‥.
L3174	［目の前の女］：‥‥えっ？
>>	［눈앞의 여자］：‥‥엣?
L3177	［私］：だいたい、君はいったい何者なんだ？
>>	［나］：애초에, 당신은 대체 누구지?
L3180	［目の前の女］：本来なら、それは私のセリフなんだけどね‥‥まぁ、いいわ。
>>	［눈앞의 여자］：원래라면, 그건 내가 할 말인데‥‥뭐, 됐어.
L3184	［目の前の女］：私は、ファル‥‥ファルネリアよ、コウジさん。
>>	［눈앞의 여자］：나는 파르‥‥파르네리아야, 코우지 씨.
L3187	私は、ファルと名乗る目の前の女性を、改めて見つめてみた。
>>	나는, 파르라고 이름을 밝힌 눈앞의 여성을, 새삼 바라보았다.
L3190	透き通るような赤い髪、大きくキリっとした目、薄く笑みがこぼれる口元‥‥。
>>	비칠 듯 투명한 붉은 머리, 크고 또렷한 눈, 옅은 미소가 새어 나오는 입가‥‥.
L3193	左耳上に付けているのは何だろうか‥‥アクセサリか、あるいは無線のレシーバか何かだろうか。
>>	왼쪽 귀 위에 달고 있는 건 뭘까‥‥액세서리인가, 아니면 무선 리시버 같은 건가.
L3197	［私］：そういえば、いま私のことをコウジって‥‥？
>>	［나］：그러고 보니, 방금 나를 코우지라고‥‥?
L3200	［ファル］：あなたの名前じゃない。
>>	［파르］：당신 이름이잖아.
L3203	［私］：私の、名前？
>>	［나］：내, 이름?
L3206	［ファル］：そうよ。
>>	［파르］：그래.
L3210	［私］：（コウジ‥‥コウジというのか‥‥。）
>>	［나］：（코우지‥‥코우지라고 하는 건가‥‥.）
