# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L21066	［ファル］：私は出てってと言ったのよ。
L21829	［宏治］：な、なんだ、どうした！？
>>	［코지］：무, 뭐야, 무슨 일이야!?
L21832	［ランファ］：難しいこと考えたんで、頭が爆発しちゃいそうですぅ。
>>	［란파］：어려운 걸 생각했더니 머리가 폭발할 것 같아요.
L21835	［ランファ］：頭が痛い、痛いぃぃっ！
>>	［란파］：머리가 아파, 아파아앗!
L21839	［宏治］：わかったよ、じゃあオレはそれを、どうやって使用していた？
>>	［코지］：알았어, 그럼 난 그걸 어떻게 사용하고 있었지?
L21842	［ランファ］：あ、それだったら。
>>	［란파］：아, 그거라면.
L21846	［宏治］：わかる？
>>	［코지］：알아?
L21849	［ランファ］：はい。んーとですね、確かファルネリア様を触媒にするとか、言っていました。
>>	［란파］：네. 으음 그게요, 분명 파르네리아 님을 촉매로 삼는다고 하셨어요.
L21852	［ランファ］：確か、触媒の女性って、言っていました。
>>	［란파］：분명, 촉매가 되는 여성이라고 하셨어요.
L21855	［ランファ］：ですからぁ、触媒って言ってましたよ。
>>	［란파］：그러니까요, 촉매라고 하셨다니까요.
L21859	［宏治］：なんだよ、その触媒ってさ。
>>	［코지］：뭐야, 그 촉매라는 게.
L21863	［ランファ］：コウジ様が言ったことですぅ、ランファは知りませんっ！
>>	［란파］：코우지 님이 하신 말이에요, 란파는 몰라요!
L21867	［宏治］：むぅ‥‥あ、そういえば‥‥。
>>	［코지］：으음‥‥아, 그러고 보니‥‥.
L21870	［ランファ］：どうしたんですか？
>>	［란파］：무슨 일인가요?
L21874	［宏治］：いや、もしかしたら変なカプセルの中にいた、赤毛の女の子？
>>	［코지］：아니, 혹시 이상한 캡슐 안에 있던 빨간 머리 여자애?
L21877	［ランファ］：そうです。あのカプセルこそが、大宇宙海賊‥‥。
>>	［란파］：맞아요. 그 캡슐이야말로 대우주 해적‥‥.
L21881	［ランファ］：コウジ様の事ですぅ。
>>	［란파］：코우지 님에 관한 거예요.
L21885	［宏治］：オレ？
>>	［코지］：나?
L21888	［ランファ］：はいっ。
>>	［란파］：네!
L21892	［宏治］：冗談だろ？
>>	［코지］：농담이지?
L21895	［ランファ］：冗談は好きですけど、冗談じゃありませんっ。
>>	［란파］：농담은 좋아하지만, 농담이 아니에요.
L21899	［ランファ］：もちろんですぅ。コウジ様こそ、私の愛しい‥‥。
>>	［란파］：물론이죠. 코우지 님이야말로 제가 사랑하는‥‥.
L21903	［宏治］：じゃなくて！
>>	［코지］：그게 아니라!
L21906	［ランファ］：大宇宙海賊様ですぅ。
>>	［란파］：대우주 해적님이세요.
L21909	［ランファ］：‥‥？
>>	［란파］：‥‥?
