# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L22725	［ファル］：何を訳のわからない事を言ってるのよ。
>>	［코지］：알아, 내가 해야 할 일은 따로 있어. 그건‥‥.
L23488	［宏治］：誰もいないな‥‥。
>>	［코지］：아무도 없군‥‥.
L23491	ブリッジには、誰もいなかった。トレイシーがいれば、状況を訊くことができたかもしれないが‥‥。
>>	브리지에는 아무도 없었다. 트레이시가 있었다면 상황을 물을 수 있었을지도 모르지만‥‥.
L23494	誰もいない以上、ここでボーっとしているのはバカらしい。オレがきびすを返してブリッジを退去しようと思ったとき‥‥。
>>	아무도 없는 이상 여기서 멍하니 있어 봐야 바보 같다. 내가 발길을 돌려 브리지를 나서려던 때‥‥.
L23497	ふと、コンパネが点滅しているのに気付く。それは、船内の平面図を映し出し、盛んに警告を発していた。
>>	문득, 콘솔 패널이 깜박이는 것을 알아챈다. 거기엔 선내 평면도가 비치며 연신 경고를 발하고 있었다.
L23500	この反転している場所は‥‥‥‥エンコーダがある部屋だ。
>>	이 반전되어 있는 장소는‥‥‥‥인코더가 있는 방이다.
L23503	灼熱の拷問部屋、という感じだった。
>>	작열하는 고문실, 그런 느낌이었다.
L23506	確か、ランファの担当だったよな、このエンジンルームは‥‥こんな所でよく働ける。
>>	분명 란파 담당이었지, 이 엔진 룸은‥‥이런 데서 용케도 일하는군.
L23510	［宏治］：ランファ！　いないのかい？
>>	［코지］：란파!　없는 거야?
L23513	念のために、ハシゴのところから身を乗り出して、下へ呼びかけてみる。が、返事は無い。
>>	혹시나 해서 사다리 쪽에서 몸을 내밀어 아래로 불러 본다. 하지만 대답은 없다.
L23517	［宏治］：‥‥ランファ、いないようだな。
>>	［코지］：‥‥란파, 없는 모양이군.
L23520	何者かが侵入したのは確かなんだ。いったいどこに‥‥。
>>	누군가 침입한 것은 확실하다. 대체 어디에‥‥.
L23524	［宏治］：だがあのナイスバデーは、犯罪的ですらあるな。
>>	［코지］：하지만 저 끝내주는 몸매는 범죄적이기까지 하군.
L23527	ヒンヤリとして、静かな部屋だった。ここでは、警報の音があまりうるさくはない。
>>	서늘하고 조용한 방이었다. 여기서는 경보음이 그리 시끄럽지 않다.
L23530	オレは室内を見回した。エンコーダはその質感と色彩により、まるで墓石のように、暗闇の中でその存在を誇示している。
>>	나는 실내를 둘러보았다. 인코더는 그 질감과 색채로 인해, 마치 묘비처럼 어둠 속에서 존재를 과시하고 있다.
L23533	誰もいないのだろうか‥‥。
>>	아무도 없는 걸까‥‥.
L23536	オレがドアへ戻りかけたとき‥‥。
>>	내가 문 쪽으로 되돌아가려던 때‥‥.
L23540	［女の声］：久しぶりだな、コウジ‥‥。
>>	［여자의 목소리］：오랜만이군, 코우지‥‥.
L23544	［宏治］：だ、誰だお前は。
>>	［코지］：누, 누구냐 너는.
L23547	［女］：誰だとはご挨拶だな、私の顔を忘れたか。
>>	［여자］：누구냐니 섭섭한 소리를 하는군, 내 얼굴을 잊었나.
L23551	［宏治］：誰だっけ？
>>	［코지］：누구였더라?
L23554	［女］：フン、相変わらず人の神経を逆撫でするのが上手いが、その手は喰わんぞ。
>>	［여자］：흥, 여전히 남의 신경을 긁는 데는 능하군. 그 수엔 안 넘어간다.
L23558	［宏治］：あっ、もしかして、ビアンカって人？
>>	［코지］：아, 혹시 비앙카라는 사람?
L23561	［ビアンカ］：とぼけるのもそこまでだ。既に《クワドラ》は、我が手中にある。
>>	［비앙카］：시치미 떼는 것도 거기까지다. 이미 《콰드라》는 내 손안에 있다.
L23565	［宏治］：ふーん、そうなんだ。
>>	［코지］：흐응, 그렇구나.
L23568	［ビアンカ］：貴様の機動シップは、既に私の手中にある、とこう言っているのだぞ。
>>	［비앙카］：네놈의 기동함은 이미 내 손안에 있다고, 그렇게 말하고 있는 거다.
