# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L6394	［ファル］：じゃあコウジは‥‥。
L7017	ゴゴゴゴッッッ！
>>	우르르르릉!
L7021	［コウジ］：な、なんだ‥‥！？
>>	［코우지］：뭐, 뭐지‥‥!?
L7025	［ファル］：コウジ、聞こえて？　コウジ！
>>	［파르］：코우지, 들려?　코우지!
L7029	［コウジ］：ファル‥‥どこから‥‥。
>>	［코우지］：파르‥‥어디서‥‥.
L7032	やや声の調子がおかしい。それが放送の声だと気付くまで、私はあたりを見回してしまった。
>>	목소리 상태가 조금 이상하다. 그것이 방송 소리라는 걸 깨달을 때까지, 나는 주위를 두리번거리고 말았다.
L7035	ガガーーーンッッ！！！
>>	콰가아아앙!!!
L7038	突然、天井と地面が反転したかと思うと、私は腰を床に、したたか打ちつけていた。
>>	갑자기, 천장과 바닥이 뒤집힌 듯싶더니, 나는 허리를 바닥에 세게 부딪히고 있었다.
L7041	明らかに床は傾斜していた。机の上の端末が、不自然に横へと傾いている。
>>	분명 바닥은 기울어져 있었다. 책상 위의 단말기가, 부자연스럽게 옆으로 기울어 있다.
L7044	構造的に、重力はシップの下方へと常に向かっているはずだった。
>>	구조상, 중력은 언제나 함선의 아래쪽으로 향하고 있어야 했다.
L7047	船が傾くと感じるのは、重力制御に何か異常が起きたのかもしれない‥‥。
>>	배가 기울었다고 느껴지는 건, 중력 제어에 뭔가 이상이 생긴 탓인지도 모른다‥‥.
L7051	［ファル］：いい、コウジ。今現在このシップは、動力の異常出力によって、ナーズへと引き寄せられているの。
>>	［파르］：잘 들어, 코우지. 지금 이 함선은, 동력의 이상 출력 때문에, 나즈로 끌려가고 있어.
L7055	［コウジ］：（‥‥ナーズというと、あの恒星のことか！？）
>>	［코우지］：（‥‥나즈라면, 그 항성 말인가!?）
L7058	［ファル］：良く聞いて頂戴。時間が無いわ、今からすぐに格納庫のシャトルへ来て。脱出するのよ‥‥。
>>	［파르］：잘 들어 줘. 시간이 없어, 지금 당장 격납고의 셔틀로 와. 탈출하는 거야‥‥.
L7061	［ファル］：恒星の重力に完全に捉えられるまで、あと３分しかないわ。急いで‥‥‥‥。
>>	［파르］：항성의 중력에 완전히 붙잡히기까지, 앞으로 ３분밖에 없어. 서둘러‥‥‥‥.
L7064	そこで、放送は途切れてしまった‥‥放送システムにも、恐らく何らかの異常が起きたのかもしれない。
>>	거기서, 방송은 끊기고 말았다‥‥방송 시스템에도, 아마 무언가 이상이 생긴 건지도 모른다.
L7068	［コウジ］：と、とりあえずここを出なくては‥‥。
>>	［코우지］：이, 일단 여기를 나가야 한다‥‥.
L7072	［女の声］：コウジさん‥‥‥‥。
>>	［여자 목소리］：코우지 씨‥‥‥‥.
L7075	振り向いた場所には、彼女がたたずんでいた‥‥。
>>	돌아본 곳에는, 그녀가 우두커니 서 있었다‥‥.
L7078	他の部屋も、調べてみた方がいいだろう。
>>	다른 방도, 조사해 보는 편이 좋겠다.
L7081	私は、船長室を後にした‥‥‥‥。
>>	나는, 선장실을 뒤로했다‥‥‥‥.
L7084	ズラリと並んでいるドアを見ると、１部屋ずつ見ていくのは意外に大変そうだ。
>>	죽 늘어선 문들을 보니, 방을 하나씩 살펴보는 건 의외로 큰일일 듯하다.
L7088	［コウジ］：（時間は、大丈夫なのかな‥‥。）
>>	［코우지］：（시간은, 괜찮은 걸까‥‥.）
L7092	［コウジ］：（そうだ、格納庫のシャトルの所で、ファルたちと待ち合わせをしていたな。）
>>	［코우지］：（그렇지, 격납고의 셔틀 앞에서, 파르 일행과 만나기로 했었지.）
L7095	ふと、エンジンルームの大きなドアが目にとまる。エンジンの稼働音が、振動とともに伝わってきた。
>>	문득, 엔진 룸의 커다란 문이 눈에 들어온다. 엔진 가동음이, 진동과 함께 전해져 왔다.
L7099	［コウジ］：（ランファ、まだいるのかな‥‥‥‥。）
>>	［코우지］：（란파, 아직 있을까‥‥‥‥.）
L7102	私が、手すり脇のハシゴを見ようとしたとき‥‥‥‥。
>>	내가, 난간 옆의 사다리를 보려던 때‥‥‥‥.
L7105	ゴゴゴゴッッ！！
>>	우르르르릉!!
L7109	［コウジ］：な、なんだ！？
>>	［코우지］：뭐, 뭐지!?
L7112	明らかに床は傾斜していた。パネルの上の小物が、不自然に横へと傾いている。
>>	분명 바닥은 기울어져 있었다. 패널 위의 자잘한 물건들이, 부자연스럽게 옆으로 기울어 있다.
L7115	けたたましい音が、エンジンルーム内に響きわたっている。反射的に、目の前のパネルに目がいく。
>>	요란한 소리가, 엔진 룸 안에 울려 퍼지고 있다. 반사적으로, 눈앞의 패널로 눈이 간다.
L7119	［コウジ］：（電源は、きていないじゃないか‥‥。）
>>	［코우지］：（전원은, 들어와 있지 않잖아‥‥.）
L7123	［コウジ］：（どういうことだ‥‥。）
>>	［코우지］：（어찌 된 일이지‥‥.）
L7127	［コウジ］：そうだ、ランファは‥‥‥‥。
>>	［코우지］：그렇지, 란파는‥‥‥‥.
L7130	もしかしたら、まだ下にいるのかもしれない‥‥私は手すり脇のハシゴに手を掛けると、無我夢中で降りていった。
>>	어쩌면, 아직 아래에 있을지도 모른다‥‥나는 난간 옆의 사다리에 손을 걸고, 정신없이 내려갔다.
L7134	［コウジ］：ランファ！　いるのか、ランファ！！
>>	［코우지］：란파!　있는 거냐, 란파!!
L7137	下へ呼びかけるが、帰ってくる声はない‥‥。
>>	아래로 불러 보지만, 돌아오는 목소리는 없다‥‥.
L7141	［コウジ］：（まさか、あの衝撃で‥‥！？。）
>>	［코우지］：（설마, 그 충격에‥‥!?.）
L7144	下へ降り立つと、私はもう１度、彼女を呼んでみた。
>>	아래로 내려서자, 나는 다시 한 번, 그녀를 불러 보았다.
L7148	［コウジ］：ランファ‥‥ランファ！
>>	［코우지］：란파‥‥란파!
L7152	［コウジ］：ら、ランファ‥‥ぶ、無事だったんだ。
>>	［코우지］：라, 란파‥‥무, 무사했구나.
L7156	［コウジ］：何をやっているんだ。今がどういう状況か‥‥。
>>	［코우지］：뭘 하고 있는 거야. 지금이 어떤 상황인지‥‥.
L7159	［ランファ］：まだ、わからないのですか？
>>	［란파］：아직도, 모르시겠어요?
L7163	［コウジ］：え‥‥な、何を‥‥？
>>	［코우지］：어‥‥뭐, 뭘‥‥?
L7166	思わぬ切り返され方に、こっちが困惑してしまった。何を言っているんだ、彼女は‥‥。
>>	뜻밖의 반문에, 이쪽이 당황하고 말았다. 무슨 말을 하는 거지, 그녀는‥‥.
L7170	［コウジ］：ランファ‥‥？
>>	［코우지］：란파‥‥?
L7174	［ランファ］：コウジさん、あなたはまだ、記憶を無くしているのですね‥‥。
>>	［란파］：코우지 씨, 당신은 아직, 기억을 잃은 채로군요‥‥.
L7178	［コウジ］：ど、どういうことだ。
>>	［코우지］：무, 무슨 말이지.
L7181	［ランファ］：夢を、思い出して下さい。
>>	［란파］：꿈을, 떠올려 주세요.
L7185	［コウジ］：夢？
>>	［코우지］：꿈?
L7188	［ランファ］：夢の中で、見たこと聞いたことを、思い出すんです。
>>	［란파］：꿈속에서, 보고 들은 것을, 떠올리는 거예요.
L7192	［コウジ］：な、何の事を言っている。
>>	［코우지］：무, 무슨 소리를 하는 거야.
L7195	ランファは私の事を黙って見つめていた‥‥私は思いあまって、彼女の肩に手を掛けて、問いただしていた。
>>	란파는 나를 말없이 바라보고 있었다‥‥나는 참다못해, 그녀의 어깨에 손을 얹고, 따져 묻고 있었다.
L7198	［ランファ］：あっ‥‥痛っ‥‥。
>>	［란파］：앗‥‥아파‥‥.
