# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L20268	［ランファ］：クスッ、変なコウジ様っ。
>>	좁은 문을 지나자, 세면실이 나왔다. 좁은 세면대에는 미안한 듯이 수도꼭지가 달려 있어서, 마치 내가 사는 원룸 같았다. 좁다.
L20937	このまま真っ直ぐ進むと、曇りガラスで覆われたドアがある。甲高い音は、中から聞こえてくる‥‥。
>>	이대로 곧장 나아가면, 불투명 유리로 덮인 문이 있다. 새된 소리는, 그 안에서 들려온다‥‥.
L20940	ふと横の壁を見ると、丸い小さな窓が付いていることに気付いた。洗面所に窓‥‥？
>>	문득 옆 벽을 보니, 둥글고 작은 창이 달려 있는 걸 깨달았다. 세면실에 창‥‥?
L20943	小さく丸い窓は、縁を何かの金属で補強してあった。窓を良く見ると、かなり分厚い。１０センチはくだらないかも‥‥。
>>	작고 둥근 창은, 테두리가 무슨 금속으로 보강되어 있었다. 창을 잘 보니, 꽤 두껍다. １０센티는 족히 될지도‥‥.
L20946	さらにその先を見ると‥‥。
>>	그 너머를 더 들여다보니‥‥.
L20950	［宏治］：何だ、あれは‥‥。
>>	［코지］：뭐야, 저건‥‥.
L20953	外は真っ暗だった。いや、良く見るとキラキラと輝く光の粒を、そこかしこに見ることができる。
>>	밖은 새카맸다. 아니, 잘 보니 반짝반짝 빛나는 빛의 알갱이를, 여기저기서 볼 수 있다.
L20956	オレはすぐに窓から目線を外すと、嫌な考えを振り払った。まったく、良くできた仕掛けだよ。
>>	나는 곧바로 창에서 시선을 떼고, 언짢은 생각을 떨쳐냈다. 정말이지, 잘도 만든 장치로군.
L20960	［宏治］：‥‥ん？
>>	［코지］：‥‥응?
L20963	オレは、足下に絡み付く布地に気付くと、それを拾い上げてみる。
>>	나는, 발치에 감기는 천 조각을 알아채고, 그것을 주워 들어 본다.
L20966	小さな布きれだったが、ゴムによる弾力に富んでいた。淡いピンク色の布地は、オレの手の中で思うように変形している。
>>	작은 천 조각이었지만, 고무의 탄력이 넘쳤다. 연분홍색 천은, 내 손안에서 마음대로 모양을 바꾸고 있다.
L20969	小さな穴が２つ、比較的大きな穴が１つ‥‥？
>>	작은 구멍이 ２개, 비교적 큰 구멍이 １개‥‥?
L20972	女性用の下着だと気付いて良かった。危うく、匂いを嗅ぐところだった。
>>	여성용 속옷이란 걸 눈치채서 다행이다. 하마터면, 냄새를 맡을 뻔했다.
L20975	すると、この先には‥‥。
>>	그렇다면, 이 앞에는‥‥.
L20978	狭い通路だったので、オレは身体をやや斜めに傾けて進まなければならなかった。
>>	좁은 통로였기에, 나는 몸을 다소 비스듬히 기울여 나아가야만 했다.
L20981	必然的に、どこかに身体が引っかかる確率は高くなるわけで、それが脚だとしても別に不思議はない。
>>	필연적으로, 어딘가에 몸이 걸릴 확률은 높아지는 셈이고, 그게 다리라 해도 별로 이상할 건 없다.
L20984	オレは不可抗力という文字を頭に浮かべながら、正面の曇りガラスに覆われたドアに、勢い良く倒れ込んでいった。
>>	나는 불가항력이라는 글자를 머리에 떠올리면서, 정면의 불투명 유리로 덮인 문으로 힘차게 쓰러져 들어갔다.
L20987	［ファル］：きゃっ！！
>>	［파르］：꺄악!!
L20991	［宏治］：どわわわっ！？
>>	［코지］：우와아앗!?
L20994	［ファル］：あ、あ、あ、あなたは‥‥。
>>	［파르］：다, 다, 다, 당신은‥‥.
L20998	［宏治］：や、やあ、君がファルネリア？
>>	［코지］：아, 안녕, 네가 파르네리아?
L21001	［ファル］：こ、ここでなにを‥‥何をしているの！？
>>	［파르］：여, 여기서 뭘‥‥뭘 하고 있는 거야!?
L21005	［宏治］：な、何って‥‥いやね、不可抗力というやつでさ‥‥。
>>	［코지］：뭐, 뭘 하냐니‥‥아니 그게, 불가항력이란 거지‥‥.
L21008	［ファル］：出てって‥‥出てって頂戴！！
>>	［파르］：나가‥‥나가 줘!!
L21012	［宏治］：わ、わかったよ、でも脚がちょっと‥‥。
>>	［코지］：아, 알겠어, 그런데 다리가 좀‥‥.
L21015	もつれそうだった。立とうとしたがうまくいかず、オレはおっとっとをしながら前につんのめり、彼女の下半身に抱きついてしまう。
>>	다리가 엉킬 것 같았다. 일어서려 했지만 잘되지 않아, 나는 휘청거리며 앞으로 고꾸라져, 그녀의 하반신에 매달리고 말았다.
L21018	ガバッ。
>>	와락.
L21021	［ファル］：なっ‥‥あ、あ、あ‥‥。
>>	［파르］：뭐‥‥아, 아, 아‥‥.
L21025	［宏治］：だから、不可抗力‥‥。
>>	［코지］：그러니까, 불가항력‥‥.
L21028	ガキーンッ！
>>	까앙!
L21031	目から火花が散りそうな、容赦ない一撃だった。シャワーの取っ手を手にした彼女が、ブルブルと震えているのが分かる。
>>	눈에서 불꽃이 튈 것 같은, 사정없는 일격이었다. 샤워기 손잡이를 쥔 그녀가, 부들부들 떨고 있는 게 느껴진다.
L21034	オレは額を抑えながら、フラフラしながら、しどろもどろで弁明した。
>>	나는 이마를 감싸 쥔 채, 비틀거리면서, 횡설수설 변명했다.
L21038	［宏治］：‥‥ご、誤解なんだって。イテテ‥‥。
>>	［코지］：‥‥오, 오해라니까. 아야야‥‥.
L21041	［ファル］：すぐにここから、出ていかないと‥‥。
>>	［파르］：당장 여기서, 나가지 않으면‥‥.
L21045	［宏治］：わ、わかったってば‥‥たくぅ。
>>	［코지］：아, 알았다니까‥‥거참.
L21048	［ファル］：何なら、たたき出してあげましょうかっ？
>>	［파르］：뭣하면, 두들겨서 쫓아내 줄까?
L21052	［宏治］：で、出る出る、すぐに出る。
>>	［코지］：나, 나가 나가, 당장 나갈게.
L21056	［宏治］：ふぅ、何て凶暴な女なんだ‥‥噂通りじゃないか。
>>	［코지］：휴, 뭐 저리 흉포한 여자야‥‥소문 그대로잖아.
L21060	［宏治］：でも良い身体してたよなぁ‥‥。
>>	［코지］：그래도 몸매는 좋았지‥‥.
L21063	［ファル］：なによ、まだいるじゃない‥‥。
>>	［파르］：뭐야, 아직 있잖아‥‥.
