# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L25212	［宏治］：何が、お願いなんだい？
L25892	［宏治］：そうだ、思い出した。コウジじゃないって話だよ。
>>	［코지］：맞다, 생각났다. 코우지가 아니라는 얘기야.
L25896	［宏治］：君には、謝らなくちゃならないんだ。
>>	［코지］：너한테는, 사과해야만 해.
L25899	［ランファ］：‥‥何を、ですか？
>>	［란파］：‥‥뭘, 말인가요?
L25903	［宏治］：オレは宏治だけど、君らが言う海賊コウジじゃあない。
>>	［코지］：난 코지지만, 너희가 말하는 해적 코우지가 아니야.
L25906	［ランファ］：どういう‥‥ことですか？
>>	［란파］：무슨‥‥말씀이세요?
L25910	［宏治］：上手く言えないけど、別人なんだ。
>>	［코지］：잘 설명은 못 하겠지만, 다른 사람이야.
L25913	［ランファ］：記憶を無くしてるから、なんですか？
>>	［란파］：기억을 잃으셔서, 그런 건가요?
L25917	［宏治］：違う。性格、人格、意識、全て別と思った方がいい。というか、全然別なんだよ、実際。
>>	［코지］：아니. 성격, 인격, 의식, 전부 다르다고 보는 게 나아. 그보다, 실제로 완전히 다른 존재야.
L25920	［ランファ］：よくわかりません‥‥。
>>	［란파］：잘 모르겠어요‥‥.
L25924	［宏治］：んー‥‥意外に難しいな。
>>	［코지］：으음‥‥의외로 어렵군.
L25927	［ランファ］：ランファのことが、嫌いなんですか？
>>	［란파］：란파가, 싫으신 건가요?
L25931	［宏治］：違うよ。
>>	［코지］：아니야.
L25934	［ランファ］：じゃあ、好き？
>>	［란파］：그럼, 좋아해요?
L25938	［宏治］：何でそうなるかなぁ‥‥。
>>	［코지］：왜 그렇게 되는 걸까‥‥.
L25941	［ランファ］：じゃあ、嫌い？
>>	［란파］：그럼, 싫어해요?
L25944	［ランファ］：嫌いなんですねっ、やっぱり‥‥。
>>	［란파］：싫어하는 거군요, 역시‥‥.
L25948	［宏治］：ち、違うってば。
>>	［코지］：아, 아니라니까.
L25951	［ランファ］：ランファ、童顔だし胸だってトレイシーほどないし、どっちかというとペッタンコだし‥‥。
>>	［란파］：란파, 동안이고 가슴도 트레이시만큼 없고, 굳이 말하자면 납작하고‥‥.
L25955	［宏治］：そういうことじゃないんだけど‥‥。
>>	［코지］：그런 얘기가 아닌데‥‥.
L25958	［ランファ］：じゃあ、どういうことですか？
>>	［란파］：그럼, 무슨 얘긴가요?
L25962	［宏治］：だから、オレは宏治であって、コウジじゃない‥‥あぁ、もういいよ。オレも混乱しそうだ。
>>	［코지］：그러니까, 난 코지지, 코우지가 아니야‥‥아아, 이제 됐어. 나도 헷갈리겠다.
L25966	［ランファ］：クスクスッ、コウジ様はコウジ様です。それでいいんじゃないですか？
>>	［란파］：킥킥, 코우지 님은 코우지 님이에요. 그걸로 된 거 아닌가요?
L25970	［宏治］：（もしかしてランファ、気付いているんじゃないかな‥‥。）
>>	［코지］：（혹시 란파, 눈치채고 있는 거 아닐까‥‥.）
L25974	［宏治］：（暗に、言うなってこと？）
>>	［코지］：（넌지시, 말하지 말라는 건가?）
L25977	［ランファ］：えっ、どうしたんですか？　急に‥‥。
>>	［란파］：엣, 무슨 일이에요?　갑자기‥‥.
L25981	［宏治］：あの時の君は、その、本当にラブリィだったよ‥‥。（げっ！）
>>	［코지］：그때의 너는, 그, 정말 러블리했어‥‥.（윽!）
L25985	［ランファ］：な、何故ですか？　コウジ様‥‥‥‥。
>>	［란파］：어, 어째서죠?　코우지 님‥‥‥‥.
L25989	［宏治］：何故って‥‥‥。
>>	［코지］：어째서라니‥‥‥.
L25992	［ランファ］：あの時の事は、忘れろって‥‥。
>>	［란파］：그때 일은, 잊으라고‥‥.
L25995	［宏治］：んなこと言ったの、しょうがねぇなぁ、アイツ‥‥<$0C>ランファ？
>>	［코지］：그런 말을 했다고, 못 말리겠군, 그 녀석‥‥<$0C>란파?
L25998	両目に涙をためたランファが、胸の前で両手を硬く握りしめ、首を小刻みに振りながらイヤイヤをしていた。
>>	두 눈에 눈물이 그렁그렁한 란파가, 가슴 앞에 두 손을 꼭 맞잡고, 싫다는 듯 고개를 잘게 젓고 있었다.
