# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L1637	［涼子］：‥‥宏治クン、どうもあなた、言っていることに矛盾があるようだわ。
>>	나는 잠자코, 마이의 다음 말을 기다렸다.
L2298	［舞］：それよりも、宏治サン。
>>	［마이］：그보다, 코지 상.
L2301	［舞］：どんな夢を見たの？
>>	［마이］：어떤 꿈을 꿨어요?
L2305	［宏治］：夢って‥‥夢のこと？
>>	［코지］：꿈이라니‥‥그 꿈 말이야?
L2308	［舞］：はい。
>>	［마이］：네.
L2312	［宏治］：ハハ、いつもの悪夢だよ‥‥。
>>	［코지］：하하, 늘 꾸던 악몽이야‥‥.
L2315	少し突き放したような言い方になってしまった。よほど、自分自身にイライラしていたのかも知れない。
>>	조금 쌀쌀맞은 말투가 되어 버렸다. 어지간히 나 자신에게 짜증이 나 있었나 보다.
L2318	舞の様子をうかがってみる‥‥良かった、気分を害した様子はない。
>>	마이의 표정을 살펴본다‥‥다행이다, 기분이 상한 기색은 없다.
L2321	［舞］：今度‥‥。
>>	［마이］：다음에‥‥.
L2325	［宏治］：えっ？
>>	［코지］：응?
L2328	［舞］：今度、夢のお話を聞かせて下さい。
>>	［마이］：다음에, 꿈 이야기를 들려주세요.
L2332	［宏治］：夢って‥‥アレを？
>>	［코지］：꿈이라니‥‥그걸?
L2336	［宏治］：そりゃあ別に構わないけど‥‥面白い事なんて、何もないよ。
>>	［코지］：뭐 상관은 없지만‥‥재미있는 건 하나도 없어.
L2339	［舞］：夢にはメッセージが込められているんです、１つ１つに‥‥。
>>	［마이］：꿈에는 메시지가 담겨 있어요, 하나하나에‥‥.
L2342	［舞］：それを、ほとんどの人が気付かないまま、忘れ去ってしまうんです。
>>	［마이］：그걸 대부분의 사람은 알아채지 못한 채, 잊어버리고 말죠.
L2346	［宏治］：僕の例の夢にも、何か理由があるってこと？
>>	［코지］：내 그 꿈에도, 뭔가 이유가 있다는 거야?
L2349	［舞］：はい、きっと、あります。
>>	［마이］：네, 분명, 있어요.
L2353	［宏治］：（確か、涼子先生も、そんなことを言っていたな‥‥‥‥。）
>>	［코지］：（분명, 료코 선생님도 그런 말을 했었지‥‥‥‥.）
L2356	いつの間にか、廊下には僕らだけになっていた。
>>	어느새, 복도에는 우리 둘만 남아 있었다.
L2359	あたりはシンと静まり返っていて、舞の息づかいさえも、僕の耳にとどいてきそうだった‥‥。
>>	주위는 쥐 죽은 듯 고요해서, 마이의 숨소리마저 내 귀에 닿을 것 같았다‥‥.
L2362	［舞］：‥‥‥‥‥‥。
>>	［마이］：‥‥‥‥‥‥.
L2366	［宏治］：あの‥‥。
>>	［코지］：저기‥‥.
L2369	［舞］：そろそろ‥‥。
>>	［마이］：슬슬‥‥.
L2373	［舞］：そろそろ自室に戻った方が、いいと思いますよ、宏治サン‥‥。
>>	［마이］：슬슬 방으로 돌아가는 게 좋을 거예요, 코지 상‥‥.
L2377	［宏治］：え、あぁ、そうだね。
>>	［코지］：어, 아아, 그래야겠네.
L2380	舞はクスッと笑みをこぼすと、軽快な足取りで、僕の前から去っていった。
>>	마이는 살짝 미소를 흘리더니, 가벼운 발걸음으로 내 앞에서 떠나갔다.
L2383	後には、僕が１人だけ、長い廊下にたたずんでいるだけだった‥‥。
>>	그 뒤에는 나 혼자만이, 긴 복도에 우두커니 서 있을 뿐이었다‥‥.
L2387	［宏治］：（部屋に、戻るかな‥‥。）
>>	［코지］：（방으로, 돌아갈까‥‥.）
L2390	頭も足も重かった。今は、ベッドの上に早く倒れ込みたいという欲求が、僕の身体を動かしている‥‥。
>>	머리도 다리도 무거웠다. 지금은 어서 침대에 쓰러지고 싶다는 욕구가 내 몸을 움직이고 있다‥‥.
L2393	静かなロビーだった。空調設備としての、レトロな扇風機が天井で回っていた。
>>	조용한 로비였다. 공조 설비랍시고, 구식 선풍기가 천장에서 돌고 있었다.
L2396	人は少なく無機質な空間。そこに咲く一輪の花という形容が、舞には相応しい気がした。
>>	사람은 적고 삭막한 공간. 그곳에 핀 한 송이 꽃이라는 표현이 마이에게 어울리는 것 같았다.
L2399	いつの間にか、ロビーには僕らだけになっていた。
>>	어느새, 로비에는 우리 둘만 남아 있었다.
L2402	後には、僕が１人だけ、シンと静まったロビーにたたずんでいるだけだった‥‥。
>>	그 뒤에는 나 혼자만이, 쥐 죽은 듯 고요한 로비에 우두커니 서 있을 뿐이었다‥‥.
L2406	［宏治］：（そういえば‥‥‥‥。）
>>	［코지］：（그러고 보니‥‥‥‥.）
L2410	［宏治］：（舞さんに夢のことなんて、いつ話したかな‥‥。）
>>	［코지］：（마이 씨한테 꿈 얘기를, 언제 했었지‥‥.）
L2414	［宏治］：（‥‥‥‥‥‥。）
>>	［코지］：（‥‥‥‥‥‥.）
L2418	［宏治］：（まあいいさ‥‥部屋に、戻るかな。）
>>	［코지］：（뭐 됐어‥‥방으로, 돌아갈까.）
L2421	ふと、エレベータの表示パネルを見る。今は、最上階の部分が点灯していた。
>>	문득, 엘리베이터 표시판을 본다. 지금은 최상층 부분에 불이 들어와 있었다.
L2425	［宏治］：（階段を利用するか‥‥。）
>>	［코지］：（계단을 이용할까‥‥.）
L2428	ここからだと、３階分の階段をあがらなければならない。しかし‥‥。
>>	여기서라면 계단을 세 층 올라가야 한다. 하지만‥‥.
L2431	僕は黙々と、階段を昇り始めた。
>>	나는 묵묵히 계단을 오르기 시작했다.
L2434	ここは僕の自室だ‥‥。
>>	여기는 내 방이다‥‥.
L2437	見慣れたこの場も、今はベッドしか視界に入ってこない。ベッドがこれほど恋しく思ったことは無かった。
>>	눈에 익은 이곳도, 지금은 침대밖에 보이지 않는다. 침대가 이토록 그리웠던 적은 없었다.
