# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L24412	［トレイシー］：んっ‥‥んあぅ‥‥あぁぁぁぁぁぁぁぁっっ！！
>>	［트레이시］：그렇네요, 대략 Ｇ 정도의 사이즈로 환산될 것 같아요.
L24987	［宏治］：じ、Ｇ！？
>>	［코지］：지, Ｇ!?
L24990	［トレイシー］：失礼ですわ、私はジジィではありません。
>>	［트레이시］：실례예요, 저는 지지 영감이 아니에요.
L24994	［宏治］：バキッ。
>>	［코지］：퍽.
L24997	いけない、こんな事をしている場合ではない。早くここから出て、ファルを助けに行かねばならないのだ。
>>	안 돼, 이런 짓을 하고 있을 때가 아니다. 얼른 여기서 나가, 파르를 구하러 가야만 한다.
L25001	［宏治］：と、トレイシー、聞いてくれ。
>>	［코지］：트, 트레이시, 들어 줘.
L25004	［トレイシー］：あン。
>>	［트레이시］：아앙.
L25008	［宏治］：‥‥あ、あん？
>>	［코지］：‥‥아, 아앙?
L25012	［トレイシー］：コウジ様のたくましい手が、私の胸を‥‥。
>>	［트레이시］：코우지 님의 억센 손이, 제 가슴을‥‥.
L25016	［宏治］：えっ‥‥んあっ！　ご、ゴメン‥‥。
>>	［코지］：엇‥‥으앗!　미, 미안‥‥.
L25019	なんとか緊張感を高めようとリキむオレの手に、包みきれないほどの大きな乳房が、形を変えて吸い付いていた。
>>	어떻게든 긴장감을 높이려고 힘을 준 내 손에, 다 감싸지지 않을 만큼 큰 유방이 형태를 바꾸며 빨려들 듯 달라붙어 있었다.
L25022	［トレイシー］：そんな、謝られるなんて恐れ多いですわ‥‥ちょっとびっくりしただけです。
>>	［트레이시］：그런, 사과하시다니 황송해요‥‥조금 놀랐을 뿐이에요.
L25026	［宏治］：痛かった？
>>	［코지］：아팠어?
L25029	ううん、と首を横に振りながら、トレイシーは微笑んでいた。
>>	아뇨, 하고 고개를 가로저으면서, 트레이시는 미소 짓고 있었다.
L25033	［トレイシー］：コウジ様に揉んで戴けるなら、痛さも愛に昇華しますわ。
>>	［트레이시］：코우지 님이 주물러 주신다면, 아픔도 사랑으로 승화하는걸요.
L25036	かーっ！　オレの頭からは湯気が噴きだしたかもしれない。こ、こんなに、こんなに‥‥。
>>	캬-!　내 머리에서는 김이 뿜어져 나왔을지도 모른다. 이, 이렇게, 이렇게‥‥.
L25039	もみもみもみ。
>>	주물주물주물.
L25042	［トレイシー］：あはぁぁ、いいですわ、すっごく。
>>	［트레이시］：아하아아, 좋아요, 엄청.
L25046	［宏治］：す、すっごく‥‥い、いいの？
>>	［코지］：어, 엄청‥‥조, 좋은 거야?
L25050	［トレイシー］：もちろんです、コウジ様に閉ざす胸はありませんわ。もっとお揉みになって下さい。
>>	［트레이시］：물론이죠, 코우지 님께 닫을 가슴은 없답니다. 더 주물러 주세요.
L25053	ニコッと微笑みながら胸を揉めという女も珍しいが、それを実行してしまう自分も我ながら凄いと思う。
>>	생긋 미소 지으며 가슴을 주무르라는 여자도 드물지만, 그걸 실행해 버리는 나도 스스로 생각해도 대단하다.
L25056	トレイシーは目をつぶって、オレに胸を突き出す。据え膳喰わぬは何とやらだ、オレは服の上から、量感あるバストを揉みしだいた。
>>	트레이시는 눈을 감고, 내게 가슴을 내민다. 차려진 밥상을 마다하는 건 뭐라던가. 나는 옷 위로, 양감 있는 버스트를 주물러 댔다.
L25059	ムニュッ、ムニュッ。
>>	몰캉, 몰캉.
L25063	［宏治］：柔らかいね。
>>	［코지］：부드럽네.
L25067	［トレイシー］：えぇ、コウジ様のモノですもの、お手入れも万全ですわ。
>>	［트레이시］：네, 코우지 님의 것인걸요, 손질도 만전이랍니다.
L25071	［宏治］：お、おトイレも万全‥‥？
>>	［코지］：화, 화장실도 만전‥‥?
L25074	［トレイシー］：フフ、面白くて素敵な方‥‥。
>>	［트레이시］：후후, 재미있고 멋진 분‥‥.
L25077	胸を揉まれながら目を細めて溜息をつくＧカップ美女に、オレはゾクゾクしてしまった。
>>	가슴을 주물리며 눈을 가늘게 뜨고 한숨짓는 Ｇ컵 미녀의 모습에, 나는 짜릿짜릿해지고 말았다.
L25080	トレイシーの胸は、オレの手の中で面白いように形を変えていった。鷲掴みにすると、指と指の間から肉がこぼれ落ちそうになる。
>>	트레이시의 가슴은, 내 손 안에서 재미있을 만큼 형태를 바꿔 갔다. 움켜쥐면, 손가락과 손가락 사이로 살이 흘러넘칠 것 같아진다.
L25084	［トレイシー］：あっ、コウジ様‥‥。
>>	［트레이시］：앗, 코우지 님‥‥.
L25087	邪魔な胸あてを外すとプルンという感じで、こぼれるように乳房が出てきた。重力の作用を無視し、全く垂れる気配を見せないトップはさすがだ。
>>	거추장스러운 가슴받이를 벗기자 푸룽 하는 느낌으로, 흘러나오듯 유방이 튀어나왔다. 중력의 작용을 무시하고, 전혀 처질 기색이 없는 톱은 역시 대단하다.
L25090	比較的大きめの乳首を優しく指でつまむ。それは硬くしこっていて、オレの指の間でコリコリと蠢く。
>>	비교적 큼직한 젖꼭지를 부드럽게 집는다. 딱딱하게 응어리진 그것이, 내 손가락 사이에서 오돌오돌 꿈틀댄다.
L25094	［トレイシー］：あはぁぁ、こ、コウジ様‥‥もっと、もっと乳首をしごいて‥‥あっ！
>>	［트레이시］：아하아아, 코, 코우지 님‥‥더, 더 젖꼭지를 훑어 주세요‥‥앗!
L25098	［宏治］：トレイシー‥‥こ、声が大きいよ。
>>	［코지］：트레이시‥‥모, 목소리가 커.
L25101	外では、コツコツと足音がそこかしこで聞こえてくる。どうやら、船内の検分がすでに始まっているらしかった。
>>	밖에서는, 또각또각 발소리가 여기저기서 들려온다. 아무래도, 선내 검문이 이미 시작된 모양이었다.
L25104	［トレイシー］：ん‥‥んんん‥‥。
>>	［트레이시］：응‥‥으응응‥‥.
L25107	手のひらをトレイシーの口に当てると、モゴモゴというこもった声が聞こえてくる。
>>	손바닥을 트레이시의 입에 대자, 우물우물하는 먹먹한 소리가 들려온다.
L25110	何だか、女性に乱暴をしているような感じがして、不謹慎ながら、それはそれでサディスティックな興奮を、オレから引き出しつつあった。
>>	어쩐지 여성에게 난폭한 짓을 하고 있는 느낌이 들어서, 온당치 못하지만 그건 그것대로 사디스틱한 흥분을 내게서 끌어내고 있었다.
L25113	い、いけない‥‥今がどういう場合か‥‥‥‥。
>>	아, 안 돼‥‥지금이 어떤 상황인데‥‥‥‥.
L25116	チロチロと、抑える手のひらを舐めるトレイシーの舌先を感じる。か、感じてしまうではないか。
>>	낼름낼름, 틀어막은 손바닥을 핥는 트레이시의 혀끝을 느낀다. 느, 느껴지고 마는 게 아닌가.
L25119	オレはトレイシーの口を、むさぼるように吸った。それに呼応するかのように彼女は、両手をオレの頭の後ろにまわし、情熱的に抱きしめてくる。
>>	나는 트레이시의 입을, 탐하듯 빨았다. 그에 호응하듯 그녀는, 두 손을 내 머리 뒤로 돌려, 정열적으로 끌어안아 온다.
L25122	唇が合わさった途端、トレイシーの硬くとがった舌が、すかさずオレの口腔へ深々と差し込まれてきた。
>>	입술이 겹쳐진 순간, 트레이시의 딱딱하게 뾰족해진 혀가, 지체 없이 내 입안으로 깊숙이 밀려 들어왔다.
L25125	［トレイシー］：ん、んっ‥‥‥‥。
>>	［트레이시］：응, 으읍‥‥‥‥.
L25128	この舌はあなたのモノよ、そんな風に彼女の心の声を聞いたような気がした。
>>	이 혀는 당신의 것이야, 그런 식으로 그녀의 마음의 소리를 들은 듯한 기분이 들었다.
L25131	望み通りに、たっぷりと舌をねぶる。横から舐め上げ、舌を絡ませ、唾液を大量に彼女の口へと流し込んだ。
>>	바라는 대로, 실컷 혀를 핥아 준다. 옆에서 핥아 올리고, 혀를 얽고, 타액을 대량으로 그녀의 입으로 흘려 넣었다.
L25134	［トレイシー］：んん、んぐ、ごくっ、ごくっ‥‥。
>>	［트레이시］：으응, 응그, 꿀꺽, 꿀꺽‥‥.
L25138	［宏治］：どうだ、うまいか？
>>	［코지］：어때, 맛있나?
L25141	［トレイシー］：はい、とってもおいしいですわ‥‥。
>>	［트레이시］：네, 아주 맛있어요‥‥.
L25144	涎をたらすトレイシーに欲情したオレは、胸元の衣服の間に、さらに強引に手を差し込む。
>>	침을 흘리는 트레이시에게 욕정한 나는, 가슴팍 옷 사이로, 더욱 억지로 손을 밀어 넣는다.
L25147	柔らかな肉の圧力を手のひらに感じる。硬くしこった乳首が、痛いくらいにオレの掌を押していた。
>>	부드러운 살의 압력을 손바닥에 느낀다. 딱딱하게 응어리진 젖꼭지가, 아플 만큼 내 손바닥을 밀고 있었다.
L25150	［トレイシー］：もっと‥‥ワタクシの胸を、もっと乱暴にして‥‥。
>>	［트레이시］：더‥‥저의 가슴을, 더 난폭하게 해 주세요‥‥.
L25154	［宏治］：こうか、こうかっ！？
>>	［코지］：이렇게, 이렇게 말이지!?
L25157	［トレイシー］：あぁぁ、そうよ、そう！　もっと乳首をひねりあげてぇぇっ！
>>	［트레이시］：아아아, 그래요, 그거!　더 젖꼭지를 비틀어 올려 주세요오!
L25160	ぎゅぅぅぅぅっ！！
>>	꽈아아아악!!
L25163	［トレイシー］：んあぁぁぁ！　い、痛い‥‥でも、気持ちいい‥‥。
>>	［트레이시］：흐아아아!　아, 아파‥‥하지만, 기분 좋아‥‥.
L25166	たまらずぐっと腰を引き寄せると、彼女も太股をオレの股の間に差し込んで、グリグリと股間のモノを刺激する、
>>	참지 못하고 꽉 허리를 끌어당기자, 그녀도 허벅지를 내 가랑이 사이에 밀어 넣어, 꾹꾹 사타구니의 물건을 자극한다,
L25169	オレもまけじと怒張したモノを、彼女の太股にこすりつけた。
>>	나도 질세라 잔뜩 부푼 물건을, 그녀의 허벅지에 문질렀다.
L25173	［トレイシー］：コウジ様のアソコ、熱くなっていますわ‥‥。
>>	［트레이시］：코우지 님의 거기, 뜨거워지고 있어요‥‥.
L25177	［宏治］：もうたまらないよ‥‥。
>>	［코지］：이제 못 참겠어‥‥.
L25180	［トレイシー］：先っぽが、ヌレヌレですのね。
>>	［트레이시］：끝부분이, 축축하네요.
L25184	［宏治］：あぁ、もう大洪水。
>>	［코지］：아아, 벌써 대홍수.
L25187	［トレイシー］：私も同じですわ、もうグッショリになってますの‥‥ほら‥‥。
>>	［트레이시］：저도 마찬가지예요, 벌써 흠뻑 젖어 있는걸요‥‥자, 봐요‥‥.
L25190	トレイシーはオレの手を取って、自分の股間へと導いた。
>>	트레이시는 내 손을 잡고, 자신의 사타구니로 이끌었다.
L25193	布地はすでにグッショリと湿っていて、放っておけば床を濡らすくらい滴りそうだった。
>>	천은 이미 흠뻑 젖어 있어서, 내버려 두면 바닥을 적실 만큼 흘러내릴 것 같았다.
L25196	［トレイシー］：あぁぁ、そう‥‥隙間から指を差し込んで‥‥あン！
>>	［트레이시］：아아아, 그래요‥‥틈새로 손가락을 넣어 주세요‥‥아앙!
L25199	差し込んだ指先は、ナマ暖かい感触を伝えてきた。下の方からなぞるだけで、暖かい蜜が滴り落ちそうだった。
>>	밀어 넣은 손가락 끝에, 미지근한 감촉이 전해져 왔다. 아래쪽에서 훑기만 해도, 따뜻한 꿀이 떨어질 것 같았다.
L25202	浅く差し込むだけで、キュッとアソコの肉が収縮し、オレの指を中へ中へと呑み込むように蠢動する。
>>	얕게 밀어 넣기만 해도, 꽉 하고 그곳의 살이 수축해, 내 손가락을 안으로 안으로 삼키듯 꿈틀거린다.
L25205	オレは、しばらくアソコのまわりに指を這わせ、彼女をじらした。こんな事をしてる場合でないのは、無論百も承知だが、身体が言うことを聞かない。
>>	나는, 한동안 그곳 주위에 손가락을 기어가게 하며, 그녀를 애태웠다. 이럴 때가 아닌 건, 물론 잘 알고 있지만, 몸이 말을 듣지 않는다.
L25208	［トレイシー］：お、お願いです‥‥あぁぁ、お願い‥‥お願いよ‥‥‥。
>>	［트레이시］：부, 부탁이에요‥‥아아아, 부탁‥‥부탁해요‥‥‥.
