# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L26002	［ランファ］：コウジ様、ランファ、あの時の事を忘れたこと、ありませんっ。
>>	［코지］：응, 무슨 짓일까.
L26673	［ビアンカ］：ふざけるなっ、貴様のしていることだろう！？
>>	［비앙카］：장난치지 마, 네놈이 하고 있는 짓이잖느냐!?
L26677	［宏治］：うん、そうなんだけど‥‥。
>>	［코지］：응, 그렇긴 한데‥‥.
L26681	［宏治］：《おい、コウジ‥‥何の真似だ？》
>>	［코지］：《이봐, 코우지‥‥무슨 짓이야?》
L26685	［コウジ］：《うむ、とっさに電撃ムチを避け、ビアンカの腕を取ったところまでは上々だったが‥‥。》
>>	［코우지］：《음, 순간적으로 전격 채찍을 피하고, 비앙카의 팔을 잡은 데까진 좋았는데‥‥.》
L26689	［コウジ］：《シンクロ時間が過ぎてしまったようだ。後は宏治、貴様にかかっている。》
>>	［코우지］：《싱크로 시간이 지나버린 모양이다. 나머지는 코지, 네게 달렸다.》
L26693	［宏治］：《んな、無茶苦茶な！》
>>	［코지］：《그, 그런 말도 안 되는!》
L26697	［コウジ］：《これが現実なのだ。現実から目を背けようとするな。》
>>	［코우지］：《이것이 현실이다. 현실에서 눈을 돌리려 하지 마라.》
L26701	［宏治］：《説教たれてるんじゃねぇ！　１秒で倒すというアレはどうした！？》
>>	［코지］：《설교 늘어놓지 마!　１초에 쓰러뜨린다던 건 어떻게 됐어!?》
L26705	［コウジ］：《通信時間が過ぎてしまった‥‥じゃ、後は頼んだぞ。》
>>	［코우지］：《통신 시간이 지나버렸다‥‥그럼, 나머진 부탁한다.》
L26709	［宏治］：《お、おいちょっと‥‥。》
>>	［코지］：《이, 이봐 잠깐‥‥.》
L26712	［ビアンカ］：フッ、こうして私の自尊心を傷つける訳か、相変わらず姑息なヤツよ。
>>	［비앙카］：훗, 이렇게 내 자존심을 짓밟겠다는 건가, 여전히 비열한 놈이군.
L26716	［宏治］：うん、確かに。コウジは姑息だぞ。
>>	［코지］：응, 확실히. 코우지는 비열하지.
L26719	［ビアンカ］：これで勝ったなどと思うな。私には大逆転のシナリオが用意してあるのだ！
>>	［비앙카］：이걸로 이겼다고 생각하지 마라. 내겐 대역전의 시나리오가 준비돼 있다!
L26723	［宏治］：な、なにそれ。
>>	［코지］：뭐, 뭔데 그게.
L26726	［ビアンカ］：フッ、聞いて驚け。私の奥歯の横にはな‥‥。
>>	［비앙카］：훗, 듣고 놀라라. 내 어금니 옆에는 말이지‥‥.
L26730	［宏治］：ま、まさか加速装置が‥‥。
>>	［코지］：서, 설마 가속 장치가‥‥.
L26733	［ビアンカ］：何だそれはっ！　私の奥歯の横にはな、このシップを爆破させる、自爆装置のスイッチが仕込まれているのだっ！
>>	［비앙카］：그건 또 뭐야!　내 어금니 옆에는 말이지, 이 함선을 폭파시키는 자폭 장치 스위치가 심어져 있다!
L26737	［宏治］：お、奥歯の横に、自爆装置ぃ～！？
>>	［코지］：어, 어금니 옆에, 자폭 장치이～!?
L26740	［ビアンカ］：フハハ、聞いて驚いたか。
>>	［비앙카］：후하하, 듣고 놀랐나.
L26744	［宏治］：飯を食ってる時に爆発でもしたら、どうするんだよ。
>>	［코지］：밥 먹을 때 폭발이라도 하면 어쩌려고.
L26747	［ビアンカ］：ご飯を食べる時は、ちゃんと外している。
>>	［비앙카］：밥 먹을 때는, 제대로 빼놓는다.
L26751	［宏治］：はぁ‥‥。
>>	［코지］：하아‥‥.
L26754	［ビアンカ］：舌先で、すぐにとれるような便利仕様なのだっ！
>>	［비앙카］：혀끝으로 바로 뺄 수 있는 편리한 사양이다!
L26758	［宏治］：（なに、舌先で簡単に取れるだと‥‥？）
>>	［코지］：（뭐, 혀끝으로 간단히 뺄 수 있다고‥‥?）
L26760	［ビアンカ］：フフ、ビビっているな、いい気味だ。この私が、どれだけ貴様の事を‥‥<$0C>な、なにをする！？
>>	［비앙카］：후후, 겁먹었군, 꼴좋다. 이 내가, 얼마나 네놈을‥‥<$0C>무, 무슨 짓이야!?
L26763	［ビアンカ］：んんっ‥‥！？
>>	［비앙카］：으응‥‥!?
L26767	［宏治］：（奥歯の横だったな‥‥どこだ‥‥？）
>>	［코지］：（어금니 옆이라고 했지‥‥어디지‥‥?）
L26770	レロレロ、むちゅむちゅ。
>>	낼름낼름, 쭈웁쭈웁.
L26773	［ビアンカ］：ん‥‥んんんっっ！？
>>	［비앙카］：응‥‥으으응!?
L26777	［宏治］：（この奥歯は違うな‥‥この横かな‥‥？）
>>	［코지］：（이 어금니는 아니군‥‥이 옆인가‥‥?）
L26780	［ビアンカ］：んっ‥‥んっ‥‥。
>>	［비앙카］：응‥‥응‥‥.
L26784	［宏治］：（上の奥歯かな‥‥。）
>>	［코지］：（위쪽 어금니인가‥‥.）
L26787	［ビアンカ］：んっ‥‥‥‥。
>>	［비앙카］：응‥‥‥‥.
L26791	［宏治］：（奥歯の、外側かな‥‥ここか？　ツンツン。）
>>	［코지］：（어금니의, 바깥쪽인가‥‥여긴가?　콕콕.）
L26795	［宏治］：（よーし、こうなったら、徹底的に調べてやる。）
>>	［코지］：（좋았어, 이렇게 된 거, 철저하게 조사해 주지.）
L26798	［ビアンカ］：んっ、んんんっ‥‥。
>>	［비앙카］：응, 으으응‥‥.
L26801	ツンツン、ペロペロ。
>>	콕콕, 할짝할짝.
L26804	［ビアンカ］：んんんんっ！
>>	［비앙카］：으으으응!
L26808	［宏治］：（じゃあ、今度は左下の奥歯かな‥‥。）
>>	［코지］：（그럼, 이번엔 왼쪽 아래 어금니인가‥‥.）
L26811	［ビアンカ］：んぐ、んぐ‥‥。
>>	［비앙카］：응그, 응그‥‥.
L26815	［宏治］：（ちょっと、さっきから邪魔だなぁ、ビアンカの舌は‥‥。）
>>	［코지］：（잠깐, 아까부터 방해되네, 비앙카의 혀는‥‥.）
L26819	［宏治］：（何で、必要以上にオレの舌に絡みついてくるんだ？）
>>	［코지］：（어째서, 필요 이상으로 내 혀에 휘감겨 오는 거야?）
L26823	［宏治］：（はっ、さては邪魔をしようと‥‥ちょこざいなっ。）
>>	［코지］：（앗, 그렇군, 방해할 속셈이‥‥건방지군.）
L26827	［宏治］：（こんな舌の妨害などに、オレは屈しないぞ！）
>>	［코지］：（이런 혀의 방해 따위에, 나는 굴하지 않는다!）
L26830	［ビアンカ］：んっ、んっ、んっ‥‥。
>>	［비앙카］：응, 응, 응‥‥.
L26833	［ビアンカ］：んあぁぁぁぁぁっ‥‥。
>>	［비앙카］：으아아아아앙‥‥.
L26837	［宏治］：（あった！　左下の奥歯だ！　し、舌先で取るのは‥‥んっ。）
>>	［코지］：（있다!　왼쪽 아래 어금니다!　혀, 혀끝으로 빼는 건‥‥응.）
L26840	［ビアンカ］：んんんんっっ！
>>	［비앙카］：으으으응!
L26844	［宏治］：（なかなか、どうして‥‥む、難しいぞ。）
>>	［코지］：（이거 참, 어째‥‥어, 어렵군.）
L26847	［ビアンカ］：んぐ、ごくっ、ごくっ。
>>	［비앙카］：응그, 꿀꺽, 꿀꺽.
L26851	［宏治］：（あと‥‥もうちょっと‥‥あと‥‥。）
>>	［코지］：（조금‥‥조금만 더‥‥조금‥‥.）
