# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L7202	［コウジ］：まさか君が、このシップを‥‥‥‥。
>>	이것만으로 결코 적지 않은 액수의 돈을, 나는 손에 넣을 수 있을 터였다‥‥.
L7875	恵の父親が、この医療センターの出資者ということで、そのコネを最大限に利用させてもらったという訳だ。
>>	메구미의 아버지가 이 의료 센터의 출자자라서, 그 연줄을 최대한 써먹었다는 얘기다.
L7878	だけど‥‥‥‥。
>>	하지만‥‥‥‥.
L7881	そう、ここに来てからというもの、どうも頭の調子がおかしい‥‥。
>>	그래, 여기 온 뒤로는, 아무래도 머리 상태가 이상하다‥‥.
L7884	頭の調子がおかしいという言い方は変だ。だけど、そう形容する他はないのも事実だった‥‥。
>>	머리 상태가 이상하다는 말은 이상하다. 하지만, 그렇게 형용할 수밖에 없는 것도 사실이었다‥‥.
L7887	第１に、記憶がはっきりとしない‥‥。
>>	첫째로, 기억이 또렷하지 않다‥‥.
L7890	ともすればほんの数時間、いや、ほんの数分前のことすら、忘れてしまうことも少なくなかった。
>>	자칫하면 불과 몇 시간, 아니, 불과 몇 분 전의 일조차, 잊어버리는 일이 적지 않았다.
L7893	涼子先生は、ごく普通であって、それほど思い悩むことでは無いと、僕に言ってきた。
>>	료코 선생님은, 지극히 평범한 일이며, 그리 고민할 일은 아니라고, 나에게 말했다.
L7896	しかし、ほんの数分前のことすら忘れるなんてことが、あるだろうか。
>>	하지만, 불과 몇 분 전의 일조차 잊는 일이, 있을 수 있을까.
L7899	そしてもう１つ、決して無視できない症状‥‥‥‥。
>>	그리고 또 하나, 결코 무시할 수 없는 증상‥‥‥‥.
L7902	例の悪夢だった‥‥‥。
>>	예의 그 악몽이었다‥‥‥.
L7905	涼子先生は気にする必要は無いと言っていた。特殊な環境に身を置くことによって、引き起こされる症状の１つに過ぎないと。
>>	료코 선생님은 신경 쓸 필요 없다고 했다. 특수한 환경에 몸을 두어서 일어나는 증상의 하나에 지나지 않는다고.
L7908	僕の願望充足ではないかと‥‥‥‥。
>>	내 소망 충족이 아니겠느냐고‥‥‥‥.
L7911	だが今では、この現実よりもむしろ、夢の内容の方がクリアに覚えている事の方が少なくなかった。
>>	하지만 지금은, 이 현실보다 오히려, 꿈의 내용 쪽을 선명히 기억하는 일이 적지 않았다.
L7914	そんなことが、あるかって‥‥？
>>	그런 일이, 있을 수 있느냐고‥‥?
L7917	じゃあ今は何月何日の何時だ？
>>	그럼 지금은 몇 월 며칠 몇 시지?
L7920	そう自問して、自答できない自分を発見するたびに、僕は自信が無くなっていく‥‥。
>>	그렇게 자문하고, 자답하지 못하는 자신을 발견할 때마다, 나는 자신감을 잃어 간다‥‥.
L7923	ここ数日は、そんな事の繰り返しだった。
>>	요 며칠은, 그런 일의 반복이었다.
L7926	そういえば、夢の中で目覚めろと言った女性がいなかったか‥‥？
>>	그러고 보니, 꿈속에서 깨어나라고 말한 여자가 있지 않았나‥‥?
L7929	そう、確か名前は‥‥‥‥。
>>	그래, 분명 이름이‥‥‥‥.
L7932	フッ、まあいいさ。夢の中で目覚めろか、フフ、どうもおかしな案配だ。
>>	훗, 뭐 됐어. 꿈속에서 깨어나라니, 후후, 아무래도 우스운 노릇이다.
L7935	夢の中で目覚めたら、じゃあ今この自分はいったいどうなるんだ？
>>	꿈속에서 깨어난다면, 그럼 지금 이 나는 대체 어떻게 되는 거지?
L7938	‥‥舞さん、荘子とかいう古人の引用をしていたな。
>>	‥‥마이 씨가, 장자라던가 하는 옛사람을 인용했었지.
L7941	確か夢を見た人がいて、自分の存在こそ夢じゃないかと懐疑する‥‥。
>>	분명 꿈을 꾼 사람이 있어서, 자기 존재야말로 꿈이 아닐까 의심한다는‥‥.
L7944	そんな事を考えているうちに、目的地へ着いたようだった。
>>	그런 생각을 하는 사이에, 목적지에 도착한 모양이었다.
L7947	僕は大きな扉の前で立ち止まると、傍らの開閉スイッチに手を置いた。
>>	나는 커다란 문 앞에서 멈춰 서서, 옆의 개폐 스위치에 손을 얹었다.
L7950	ドアが開くと同時に、空気がゴッという音を立てた。
>>	문이 열림과 동시에, 공기가 웅 하는 소리를 냈다.
L7953	室内は、常に一定温度に保たれているので、室外との温度差が大きいほど、気流が強くなる。
>>	실내는, 늘 일정 온도로 유지되기에, 실외와의 온도차가 클수록, 기류가 강해진다.
L7957	［宏治］：（誰も、いないみたいだが‥‥。）
>>	［코지］：（아무도, 없는 것 같은데‥‥.）
L7960	ここも、他の場所と同じく人の気配は無さそうだった。ただ唯一異なる点は、中央の大型ＣＰＵが稼働しているところだろう。
>>	여기도, 다른 곳과 마찬가지로 인기척은 없어 보였다. 단 하나 다른 점은, 중앙의 대형 ＣＰＵ가 가동 중이라는 점이겠지.
L7963	人気もなく、無機質な部屋だったが、なによりも動きを感じることができて、少しだけ安堵する。
>>	인기척도 없는 삭막한 방이었지만, 무엇보다 움직임을 느낄 수 있어서, 조금은 안도한다.
L7966	ここには静寂が無かった‥‥。
>>	여기에는 정적이 없었다‥‥.
L7969	ガタッ‥‥。
>>	덜컹‥‥.
L7973	［宏治］：だ、誰か‥‥いるのか？
>>	［코지］：누, 누구‥‥있는 거야?
L7977	［宏治］：誰だ！？
>>	［코지］：누구냐!?
L7980	その時、機器類の陰から、素早くドアへ向かう人影があった。僕は無我夢中で、その影に向かって体当たりをしていた。
>>	그때, 기기들 뒤에서, 재빨리 문으로 향하는 사람 그림자가 있었다. 나는 정신없이, 그 그림자를 향해 몸을 날리고 있었다.
L7983	ドカッ！！
>>	퍽!!
L7987	［女の声］：いったーい‥‥ちょっとぉー手加減してよネ、宏治クン。
>>	［여자 목소리］：아파아‥‥좀 살살 해 줘, 코지 군.
L7991	［宏治］：あれ？
>>	［코지］：어라?
L7994	［沙夜香］：あタタタ‥‥。
>>	［사야카］：아야야야‥‥.
L7998	［宏治］：さ、沙夜香さん‥‥こんなところで、なにやってんの？
>>	［코지］：사, 사야카 씨‥‥이런 데서, 뭐 하는 거예요?
L8001	沙夜香はこぶしで腰をトントンと叩きながら、比較的太い眉の間に１本のシワを刻んでいた。
>>	사야카는 주먹으로 허리를 툭툭 두드리며, 제법 굵은 눈썹 사이에 주름 한 줄을 새기고 있었다.
L8004	僕の視線に気付いたのか、スカートの丈を少しだけ下げると、
>>	내 시선을 눈치챘는지, 치마 자락을 조금 내리더니,
L8007	［沙夜香］：なにやってんのじゃないわよ。もう、腰が‥‥あタタ。
>>	［사야카］：뭐 하는 거냐니, 그게 할 소리야? 아유, 허리가‥‥아야야.
L8011	［宏治］：なにやってんのじゃないわよじゃないよ、沙夜香さん。
>>	［코지］：그게 할 소리야가 아니죠, 사야카 씨.
