# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L8828	［コウジ］：（どうしたらいいんだろうか‥‥。）
>>	［코지］：마이 씨는 이 상황이 이상하다고는 느끼지 않는 거야?
L9456	［舞］：‥‥変というのは、正常ではない、という意味ですよね？
>>	［마이］：‥‥이상하다는 건 정상이 아니라는 뜻이죠?
L9460	［宏治］：そ、そうだけど‥‥。
>>	［코지］：그, 그렇지만‥‥.
L9463	妙にポイントを外して質問してくる女性だった、舞は‥‥。なぜそんな事を聞いてくるのか、僕には不思議でもある。
>>	묘하게 요점을 벗어난 질문을 해 오는 여성이었다, 마이는‥‥. 왜 그런 것을 물어 오는지 나로서는 신기하기도 하다.
L9466	［舞］：この医療センターで、正常っていったいどういう状態を指すんでしょうか？
>>	［마이］：이 의료 센터에서 정상이란 도대체 어떤 상태를 가리키는 걸까요?
L9470	［宏治］：そ、それは‥‥こう、人がゴミゴミしていて、もう少し活気があるような感じかな‥‥。
>>	［코지］：그, 그건‥‥이렇게, 사람이 북적북적하고 좀 더 활기가 있는 느낌이랄까‥‥.
L9473	［舞］：でもそんな状態、私は見たことがありません。
>>	［마이］：하지만 그런 상태, 저는 본 적이 없어요.
L9477	［宏治］：そ、そうなの？
>>	［코지］：그, 그래?
L9481	［宏治］：じゃあ舞さんは、これこそが正常な状態だと言うわけ？
>>	［코지］：그럼 마이 씨는, 이것이야말로 정상적인 상태라는 거야?
L9484	僕は両手をしゃくりあげながら、舞に聞いてみた。
>>	나는 두 손을 치켜올리며 마이에게 물어보았다.
L9487	イライラしていたせいかもしれない。少し、雑な言い方に、彼女は驚いたような表情で僕をみていた。
>>	짜증이 나 있던 탓인지도 모른다. 조금 거친 말투에, 그녀는 놀란 듯한 표정으로 나를 보고 있었다.
L9491	［宏治］：ご、ゴメン‥‥‥‥。
>>	［코지］：미, 미안‥‥‥‥.
L9494	［舞］：ううん、構いません‥‥。
>>	［마이］：아뇨, 괜찮아요‥‥.
L9497	舞は少しだけ笑みをこぼすと、首を横に２、３度振ってみせた。
>>	마이는 조금 미소를 흘리고는, 고개를 옆으로 ２, ３번 저어 보였다.
L9500	個人の私的な感情を表に出して、彼女を批判するなんて言いがかりもいいところだった。
>>	개인의 사적인 감정을 겉으로 드러내며 그녀를 비판하다니, 생트집도 이만저만이 아니었다.
L9504	［宏治］：（話題を変えよう‥‥‥‥。）
>>	［코지］：（화제를 바꾸자‥‥‥‥.）
L9508	［宏治］：君はこの医療センターで、何をしているんだい？
>>	［코지］：너는 이 의료 센터에서 무엇을 하고 있는 거야?
L9511	［舞］：私、ですか？
>>	［마이］：저, 말인가요?
L9515	［宏治］：そう‥‥。
>>	［코지］：그래‥‥.
L9518	正直言って、僕は焦っていたのかも知れなかった。
>>	솔직히 말해, 나는 초조해하고 있었는지도 몰랐다.
L9521	釈然としない現状にいきどおりを感じ、確かな記憶が無い自分に、焦ると同時に怒りをも覚えていた。
>>	석연치 않은 현 상황에 분함을 느끼고, 확실한 기억이 없는 자신에게 초조함과 동시에 분노마저 느끼고 있었다.
L9524	彼女への純粋な好奇心が、この感情により疑惑の念へと変貌するのは、そう時間のかかることではなかったのだ‥‥。
>>	그녀를 향한 순수한 호기심이 이 감정으로 인해 의혹으로 변하는 데에는, 그리 시간이 걸리지 않았던 것이다‥‥.
L9527	僕のこの理不尽な感情は、恐らく舞にも伝わったに違いない。彼女は寂しそうな目を僕に向けて、押し黙っていた。
>>	나의 이 부당한 감정은 아마 마이에게도 전해졌음이 틀림없다. 그녀는 쓸쓸한 눈을 나에게 향한 채 입을 다물고 있었다.
L9531	［宏治］：僕はどうしても自信がないんだ‥‥。
>>	［코지］：난 아무래도 자신이 없어‥‥.
L9535	［宏治］：ここでこうして君と話しているのは、限りなく確かだと思っている。
>>	［코지］：여기서 이렇게 너와 이야기하고 있는 건, 한없이 확실하다고 생각해.
L9538	［舞］：はい‥‥。
>>	［마이］：네‥‥.
L9542	［宏治］：だけど、その確からしさに、根拠なんてない‥‥。
>>	［코지］：하지만 그 확실함에 근거 따위는 없어‥‥.
L9545	僕はかなり悲痛な顔をしていたのかもしれなかった。舞は僕の頬を両手でそっとはさむと、顔を近づけてきた。
>>	나는 꽤나 비통한 얼굴을 하고 있었는지도 몰랐다. 마이는 내 뺨을 두 손으로 살며시 감싸고는 얼굴을 가까이 가져왔다.
L9549	［宏治］：ま、舞さん‥‥‥‥。
>>	［코지］：마, 마이 씨‥‥‥‥.
L9552	舞はそっと僕に口づけをした。あまりに自然で何気ない動作だったので、僕はなす術もない。
>>	마이는 살며시 나에게 입을 맞췄다. 너무나 자연스럽고 무심한 동작이어서 나는 어찌할 도리가 없다.
L9555	心臓の動悸が強くなっていくのを、僕は舞の顔を見ながら感じていた‥‥。
>>	심장의 고동이 거세져 가는 것을, 나는 마이의 얼굴을 보며 느끼고 있었다‥‥.
L9559	［舞］：かわいそう、宏治サン‥‥思い出せないんですね。
>>	［마이］：가엾어라, 코지 상‥‥떠올리지 못하는군요.
L9562	［舞］：私にできること、ありませんか？
>>	［마이］：제가 할 수 있는 일, 없을까요?
L9566	［宏治］：ま、舞さんに‥‥？
>>	［코지］：마, 마이 씨가‥‥?
L9569	［舞］：さんを付けるの、やめて下さい。
>>	［마이］：씨를 붙이는 거, 그만해 주세요.
L9572	［舞］：私が、慰めてあげられたら‥‥。
>>	［마이］：제가, 위로해 드릴 수 있다면‥‥.
L9576	［宏治］：えっ‥‥？
>>	［코지］：엇‥‥?
L9579	舞は僕に体重を預けてきた。意外にふくよかで柔らかい身体を抱きしめると、そのまま後ろへと倒れ込む。
>>	마이는 나에게 체중을 실어 왔다. 의외로 풍만하고 부드러운 몸을 끌어안자, 그대로 뒤로 쓰러진다.
L9582	そっと身体の位置を入れ替えると、僕は彼女の身体を抱きしめた。
>>	살며시 몸의 위치를 바꾸고서, 나는 그녀의 몸을 끌어안았다.
L9586	［舞］：あっ‥‥宏治サン‥‥。
>>	［마이］：앗‥‥코지 상‥‥.
L9589	舞は少しだけ驚いた表情をしたが、すぐに身体の力を抜く。僕の意図を理解し、理解してなおも、その通りになるという意志表示だった。
>>	마이는 조금 놀란 표정을 지었지만, 곧 몸에서 힘을 뺀다. 내 의도를 이해하고, 이해하고서도 그대로 따르겠다는 의사 표시였다.
L9592	僕は彼女の衣服を、ゆっくりと脱がしていく‥‥。
>>	나는 그녀의 옷을 천천히 벗겨 나간다‥‥.
L9596	［宏治］：ずいぶん、たくさん着ているね。
>>	［코지］：꽤나 많이 껴입었네.
L9599	［舞］：フフ、今は冬ですもの‥‥。
>>	［마이］：후후, 지금은 겨울인걸요‥‥.
L9602	まるで１枚１枚はいでいかれるのを楽しむかのように、舞は妖しい笑みを顔に残していた。
>>	마치 한 겹 한 겹 벗겨지는 것을 즐기기라도 하듯, 마이는 요염한 미소를 얼굴에 남기고 있었다.
L9605	壊れやすい人形、という形容があてはまる女性だった、舞は。僕は慎重に、かつ丁寧に１枚ずつ、彼女から衣服を脱がしていった‥‥。
>>	부서지기 쉬운 인형이라는 형용이 들어맞는 여성이었다, 마이는. 나는 신중하고도 정성스럽게 한 겹씩 그녀에게서 옷을 벗겨 나갔다‥‥.
L9608	透き通るような、淡いピンク色の下着がまぶしいそれは光沢を放っていて、触ると気持ちがとっても良かった。
>>	비칠 듯한 연분홍색 속옷이 눈부신 광택을 뿜어내고 있어, 만지면 감촉이 무척 좋았다.
L9611	僕は軽くうなずくと、舞にそっと身体を重ねていった‥‥。
>>	나는 가볍게 고개를 끄덕이고, 마이에게 살며시 몸을 포개어 갔다‥‥.
L9614	［舞］：ん‥‥んん‥‥。
>>	［마이］：응‥‥으응‥‥.
L9617	キスをすると、舞は少し身体を固くする。舌をそっと差し込んでみると、意外に大胆に吸われていく。
>>	입을 맞추자 마이는 조금 몸을 굳힌다. 혀를 살며시 밀어 넣어 보니, 의외로 대담하게 빨려 들어간다.
L9620	僕らはお互いの舌をむさぼり合い、激しく抱き合い、互いの衣服を脱がし合った‥‥。
>>	우리는 서로의 혀를 탐하고, 격렬하게 끌어안고, 서로의 옷을 벗겨 냈다‥‥.
L9623	素肌をさらす舞は、とっても綺麗だった。
>>	맨살을 드러낸 마이는 무척 아름다웠다.
