# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L12842	歌舞伎のような格好をやめると、私は襟元をただして周りを見る。
>>	［료코］：아아아, 거, 거칠게‥‥해 줘‥‥.
L13619	［コウジ］：言ったな‥‥クックック‥‥。
>>	［코우지］：말했겠다‥‥크큭큭‥‥.
L13622	ずぷぷぷぷぷぷぷぷっっ‥‥‥‥。
>>	쭈뿌뿌뿌뿌뿌뿌뿌뿍‥‥‥‥.
L13625	［涼子］：あぁ、いやぁぁぁぁぁぁっ！
>>	［료코］：아아, 싫어어어어어어!
L13628	涼子の花弁は、太股を濡らすほどグッショリと濡れていた。出し入れするたびに、肉ヒダは私のモノに絡み付いてくる。
>>	료코의 꽃잎은 허벅지를 적실 만큼 흠뻑 젖어 있었다. 드나들 때마다 살주름이 내 물건에 휘감겨 온다.
L13632	［涼子］：あっ、だめっ、そんなっ、んっ、宏治‥‥あっ、あぁぁぁっ！！
>>	［료코］：앗, 안 돼, 그런, 응, 코지‥‥앗, 아아아앗!!
L13636	［コウジ］：フン、メス犬め！
>>	［코우지］：흥, 암캐 같으니!
L13639	［涼子］：あぁぁ、そうよっ！　涼子は淫乱なメス犬ぅっ！
>>	［료코］：아아아, 그래!　료코는 음란한 암캐야!
L13643	［コウジ］：もっともっと、しめてみろっ！
>>	［코우지］：더, 더 조여 봐라!
L13646	［涼子］：あぁぁぁ、こう？　こうっ！？
>>	［료코］：아아아아, 이렇게?　이렇게!?
L13650	［コウジ］：もっとだ、もっと！
>>	［코우지］：더, 더 세게!
L13653	［涼子］：んんーーっ、あはぁっ、もう、これ以上しまらないっ！
>>	［료코］：으응――, 아하앙, 이제, 더는 조여지지 않아!
L13656	ずりゅっ、ずちゅっ、ぐちゅっ、むちゅぅ‥‥。
>>	쭈욱, 질컥, 철퍽, 쭈우웁‥‥.
L13659	涼子の花弁は、どん欲に私のモノを捉えて放さない‥‥。
>>	료코의 꽃잎은 탐욕스럽게 내 물건을 붙든 채 놓지 않는다‥‥.
L13662	挿入する時は押し返すように、抜く時は放さないように、心地よい感覚をもたらしていた。
>>	밀어 넣을 땐 밀어내듯, 빼낼 땐 놓지 않으려는 듯, 기분 좋은 감각을 안겨 주었다.
L13665	［涼子］：あぅ、もっと足を持ち上げて‥‥あぁぁ、そうよっ！
>>	［료코］：아웅, 다리를 더 들어 올려‥‥아아아, 그래!
L13668	私は両脚をかつぎ上げるようにすると、より彼女の奥深くへと挿入する。腰を密着させ、根本まで突き入れた！
>>	나는 두 다리를 둘러메듯 들어 올려, 그녀의 더 깊은 곳까지 삽입한다. 허리를 밀착시켜, 뿌리까지 박아 넣었다!
L13671	ずりゅぅぅっ！！！
>>	쭈우우욱!!!
L13674	［涼子］：あひぃぃ！　もう、ダメ‥‥あぁぁぁぁぁぁっ！！
>>	［료코］：아히이이!　이제, 안 돼‥‥아아아아아아앗!!
L13677	［涼子］：あぅ、んんっ、もう、何人の女の子を泣かせてきたのよっ！
>>	［료코］：아웅, 으응, 정말, 여자애를 몇 명이나 울려 온 거야!
L13681	［コウジ］：そうだな、数えきれんな。
>>	［코우지］：글쎄, 셀 수 없군.
