# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L11246	［沙夜香］：よかったわ、間にあって‥‥大丈夫だった？
L11861	［トレイシー］：まだ、記憶が混乱しているのですか？
>>	［트레이시］：아직, 기억이 혼란스러우신가요?
L11864	トレイシー？　なぜ、彼女が‥‥。
>>	트레이시?　어째서, 그녀가‥‥.
L11867	［男］：記憶は混乱はしていない。状況に混乱しているんだ。
>>	［남자］：기억이 혼란스러운 게 아니야. 상황에 혼란스러운 거지.
L11870	［トレイシー］：ジェネレータの副作用なのかしら‥‥。
>>	［트레이시］：제너레이터의 부작용인 걸까요‥‥.
L11873	［男］：ジェネレータ‥‥？
>>	［남자］：제너레이터‥‥?
L11877	［トレイシー］：大丈夫ですか、コウジ様。
>>	［트레이시］：괜찮으신가요, 코우지 님.
L11880	さっきから話している、この雄々しい声‥‥私の？
>>	아까부터 말하고 있는 이 늠름한 목소리‥‥내 것인가?
L11883	いや、違う。私ではない‥‥。
>>	아니, 틀렸다. 나는 아니다‥‥.
L11886	［男］：あの、トレイシー‥‥だったよね？
>>	［남자］：저기, 트레이시‥‥였지?
L11889	［男］：君って、どういう人なの？
>>	［남자］：너는, 어떤 사람이야?
L11892	［トレイシー］：質問の意味が、よくわからないのですが‥‥。
>>	［트레이시］：질문의 뜻을, 잘 모르겠는데요‥‥.
L11895	トレイシーは、少なくとも私に対して話しかけている。だが、この受け答えをしているのは誰なのだ‥‥。
>>	트레이시는 적어도 나를 향해 말을 걸고 있다. 하지만 이 대답을 하고 있는 건 누구란 말인가‥‥.
L11898	声は少なくとも私のモノだ。だがしかし、私ではない‥‥。
>>	목소리는 적어도 내 것이다. 하지만 그럼에도, 나는 아니다‥‥.
L11901	［男］：んと、じゃあね、ここで何をしているの？
>>	［남자］：음, 그럼 말이야, 여기서 뭘 하고 있는 거야?
L11904	［トレイシー］：ここで、いま？
>>	［트레이시］：여기서, 지금요?
L11907	［男］：そう。
>>	［남자］：그래.
L11911	［トレイシー］：混乱をされているコウジ様に、状況の説明をして差し上げています。
>>	［트레이시］：혼란스러워하시는 코우지 님께, 상황을 설명해 드리고 있어요.
L11914	むぅ‥‥自由に声が出せぬ‥‥。トレイシー、私に気付け‥‥くそ、どうしたことだ。
>>	으음‥‥마음대로 목소리를 낼 수 없다‥‥. 트레이시, 나를 알아차려라‥‥젠장, 어찌 된 일이냐.
L11917	目の前にいて、話も聞こえ、それを理解し認識しているのに、なぜ自発的に行動ができないのか‥‥。
>>	눈앞에 있고 말도 들리며 그것을 이해하고 인식하는데, 어째서 스스로 행동할 수 없는가‥‥.
L11920	ひょっとすると、これは夢というものか‥‥。
>>	어쩌면, 이것이 꿈이라는 것인가‥‥.
L11923	いや、夢を見ているという夢なのかもしれない。マイナスのマイナスは、プラスという訳だ。つまり、現実‥‥？
>>	아니, 꿈을 꾸고 있다는 꿈일지도 모른다. 마이너스의 마이너스는 플러스라는 얘기다. 즉, 현실‥‥?
L11926	私は、消えゆく意識の中で、さらにその夢の可能性も考えていた‥‥。
>>	나는 사라져 가는 의식 속에서, 그 꿈의 가능성마저 생각하고 있었다‥‥.
L11929	‥‥‥‥いったいあれは‥‥‥‥。
>>	‥‥‥‥대체 저것은‥‥‥‥.
L11932	‥‥‥‥ん？
>>	‥‥‥‥응?
L11935	そういえば、ここは‥‥‥‥。
>>	그러고 보니, 여기는‥‥‥‥.
L11938	ここはどこだろうか‥‥‥‥。
>>	여기는 어디인가‥‥‥‥.
L11941	これではまるで、モルモットみたいではないか‥‥。
>>	이래서는 마치, 실험용 쥐 같지 않은가‥‥.
L11944	以前にもこんなことがなかったか‥‥？　どうも、記憶がはっきりとしない‥‥。
>>	전에도 이런 일이 없었던가‥‥?　아무래도, 기억이 뚜렷하지 않다‥‥.
L11947	ここは、《クワドラ》ではないようだが‥‥。
>>	여기는 《콰드라》가 아닌 것 같지만‥‥.
L11950	　◆ とりあえず、この狭苦しい病室を出るとしよう。
>>	　◆ 일단, 이 비좁은 병실을 나가 보자.
L11953	　◆ 室内フォンを利用して、誰かを呼び出せないだろうか‥‥
>>	　◆ 실내 전화를 이용해서, 누군가를 불러낼 수 없을까‥‥
L11956	とりあえず、この狭苦しい病室を出るとしよう。
>>	일단, 이 비좁은 병실을 나가 보자.
L11959	狭苦しい部屋、か‥‥。
>>	비좁은 방인가‥‥.
L11962	室内フォンを利用して、誰かを呼び出せないだろうか‥‥。
>>	실내 전화를 이용해서, 누군가를 불러낼 수 없을까‥‥.
L11966	［コウジ］：室内フォンか‥‥。
>>	［코우지］：실내 전화인가‥‥.
L11969	ピポピポパピポ‥‥。
>>	삐뽀삐뽀빠삐뽀‥‥.
L11973	［コウジ］：‥‥‥‥‥。
>>	［코우지］：‥‥‥‥‥.
L11977	［コウジ］：早く出るのだ。大海賊を待たせるとは、何たることよ。
>>	［코우지］：어서 받아라. 대해적을 기다리게 하다니, 이 무슨 짓이냐.
L11980	何回目かの呼び出し音を聞き、受話器を握りつぶそうとしたとき‥‥。
>>	몇 번째인지 모를 신호음을 듣고, 수화기를 으스러뜨리려던 그때‥‥.
L11983	カチャッ。
>>	찰칵.
L11987	［コウジ］：私は宇宙海賊のコウジである。
>>	［코우지］：나는 우주 해적 코우지다.
L11990	［女の声］：あらあら、２０１号の患者さんね。
>>	［여자 목소리］：어머어머, ２０１호 환자분이시네.
L11994	［コウジ］：いや、患者ではない。コウジだ。
>>	［코우지］：아니, 환자가 아니다. 코우지다.
L11997	［女の声］：はいはい、しょうがないわね、涼子先生に言っておかなくちゃ‥‥ブツブツ。
>>	［여자 목소리］：네네, 어쩔 수 없네, 료코 선생님께 말해 둬야지‥‥투덜투덜.
L12000	ブチッ。
>>	뚝.
L12004	［コウジ］：フン、まぁいい。さてと‥‥。
>>	［코우지］：흥, 뭐 됐다. 자 그럼‥‥.
L12007	私は、さっと部屋を見回してみた。
>>	나는 재빨리 방을 둘러보았다.
L12010	太陽光線が淡く差し込んでいる。どこからか、鳥のさえずりも聞こえてくるようだった。
>>	햇살이 옅게 비쳐 들고 있다. 어딘가에서 새 지저귀는 소리도 들려오는 듯했다.
L12013	どうやら、ここはどこぞの惑星上らしい。しかも、ひどく開発途上にある古代文明だ。
>>	아무래도 여기는 어느 행성 위인 모양이다. 게다가 지독하게 개발 도상에 있는 고대 문명이다.
L12016	空調設備はろくに整備もしていないらしい。耳障りなファンの音を部屋中に響かせ、不快指数を上昇させている。
>>	공조 설비는 제대로 정비도 안 된 모양이다. 거슬리는 팬 소리를 방 안에 울리며 불쾌지수를 높이고 있다.
L12020	［コウジ］：まぁ、いいだろう‥‥。
>>	［코우지］：뭐, 됐다 치자‥‥.
L12023	私はベッドから立ち上がると、安っぽいスリッパに足を通した。ふむ、履き心地は悪くない。
>>	나는 침대에서 일어나, 싸구려 슬리퍼에 발을 꿰었다. 흠, 신는 느낌은 나쁘지 않다.
L12026	しかし身体の調子がやけにおかしい。身体の節々が痛み、しかも間接を折り曲げると筋肉が痛い。
>>	그런데 몸 상태가 몹시 이상하다. 마디마디가 쑤시고, 게다가 관절을 굽히면 근육이 아프다.
L12029	どうやら、かなり脆弱な肉体らしい。このような肉体を保持する精神も、脆弱であることが用意に想像がつく。
>>	아무래도 꽤 취약한 육체인 모양이다. 이런 육체를 지닌 정신도 취약하리란 건 쉽게 상상이 간다.
L12033	［コウジ］：宇宙海賊には、ほど遠い肉体だな‥‥。
>>	［코우지］：우주 해적과는 거리가 먼 육체로군‥‥.
L12037	［コウジ］：フン、まぁいい。さて、ドアは‥‥ここか。
>>	［코우지］：흥, 뭐 됐다. 자, 문은‥‥여기인가.
L12040	バコッ！
>>	쿵!
L12043	ふむ、ドアは自動ではなく、手動と。
>>	흠, 문은 자동이 아니라 수동이로군.
