# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L10436	［ファル］：このシップは単層構造だから、下のブロックというのは存在しないわ。
L11012	［恵］：バカよ、あなた何故ここを出なかったの！？
>>	［메구미］：바보 맞아, 너 어째서 여기를 나가지 않았어!?
L11016	［宏治］：そ、そんなこと言ったって‥‥‥‥。
>>	［코지］：그, 그런 말을 들어도‥‥‥‥.
L11019	［恵］：バカ！　涼子先生は、あなたをマインドコントロールで洗脳しようとしていたのよ、バカ！
>>	［메구미］：바보!　료코 선생님은, 널 마인드 컨트롤로 세뇌하려 했던 거야, 바보!
L11023	［宏治］：あ、あまりバカバカ言わないでくれよ‥‥。
>>	［코지］：너, 너무 바보바보 하지 말아 줘‥‥.
L11026	［恵］：このままだと、あなたは‥‥あなたは死んでしまうのよ！
>>	［메구미］：이대로면, 너는‥‥너는 죽어 버리는 거야!
L11030	［宏治］：し、死ぬ‥‥！？
>>	［코지］：죽, 죽는다‥‥!?
L11033	［恵］：そして‥‥そして、私も‥‥。
>>	［메구미］：그리고‥‥그리고, 나도‥‥.
L11037	［宏治］：と、とにかく‥‥早く縄をとかなくちゃ。
>>	［코지］：어, 어쨌든‥‥빨리 밧줄을 풀어야지.
L11041	［恵］：あ、ありがとう‥‥宏治。
>>	［메구미］：고, 고마워‥‥코지.
L11045	［宏治］：結構色っぽいんだなぁ、恵ってさ。
>>	［코지］：꽤 색기 있구나, 메구미 너 말이야.
L11048	［恵］：ばーか。もう、こんなホノボノしている時じゃないのに。
>>	［메구미］：바-보. 정말, 이렇게 한가로울 때가 아닌데.
L11052	［宏治］：そういえば、さっき涼子先生がどうとか‥‥。
>>	［코지］：그러고 보니, 아까 료코 선생님이 어쨌다고‥‥.
L11056	［恵］：そうよ、彼女は宏治のことを‥‥‥‥きゃっ！
>>	［메구미］：맞아, 그녀는 코지를‥‥‥‥꺅!
L11060	［宏治］：ど、どうした‥‥‥‥。
>>	［코지］：무, 무슨 일이야‥‥‥‥.
L11064	［涼子］：宏治クン‥‥。
>>	［료코］：코지 군‥‥.
L11068	［涼子］：宏治クン、あなたの意識は‥‥そして思念は、もうすぐ完全に投影される。
>>	［료코］：코지 군, 너의 의식은‥‥그리고 사념은, 이제 곧 완전히 투영돼.
L11072	［宏治］：な、何を言っているんですか‥‥？
>>	［코지］：무, 무슨 말을 하시는 거예요‥‥?
L11075	［涼子］：この、人類史上もっとも重要でかつ意義のあるサンプルに、あなたはなることができるの。
>>	［료코］：너는, 이 인류 역사상 가장 중요하고도 의의 있는 샘플이 될 수 있는 거야.
L11079	［宏治］：りょ、涼子先生‥‥いったい、何を‥‥‥‥。
>>	［코지］：료, 료코 선생님‥‥대체, 무슨‥‥‥‥.
L11082	［涼子］：恵さんは、事が済み次第、ちゃんと帰してあげる。
>>	［료코］：메구미 씨는, 일이 끝나는 대로, 제대로 돌려보내 줄게.
L11086	［宏治］：ぼ、僕は死ぬのか‥‥？
>>	［코지］：저, 저는 죽는 건가요‥‥?
L11089	［涼子］：死ぬ、という形容は正しくないわね。
>>	［료코］：죽는다는 표현은 옳지 않네.
L11093	［宏治］：どういう‥‥ことです？
>>	［코지］：무슨‥‥뜻이에요?
L11097	［涼子］：確かに宏治クン、あなたの肉体は滅びるわ。
>>	［료코］：분명 코지 군, 너의 육체는 소멸해.
L11101	［宏治］：そ、それは死ぬってことじゃ‥‥。
>>	［코지］：그, 그건 죽는다는 거잖아요‥‥.
L11104	［涼子］：違うわ。肉体の死は、本当の死ではないの。
>>	［료코］：아니야. 육체의 죽음은, 진짜 죽음이 아니야.
L11108	［宏治］：まさか魂は生き続けるとか、そういう理屈じゃないでしょうね‥‥。
>>	［코지］：설마 영혼은 계속 산다든가, 그런 논리는 아니겠죠‥‥.
L11111	［涼子］：フフ、それでは怪しい宗教よ。でも、それに限りなく近いとも言えるわね。
>>	［료코］：후후, 그러면 수상한 종교지. 하지만, 거기에 한없이 가깝다고도 할 수 있어.
L11115	［宏治］：そ、それって‥‥‥。
>>	［코지］：그, 그건‥‥‥.
L11119	［涼子］：いい？　宏治クン。人間の意識というのは、実体がない。だけど、それ故にメモリーすることも可能なの。
>>	［료코］：알겠어?　코지 군. 인간의 의식이라는 건, 실체가 없어. 하지만, 그렇기에 기억할 수도 있는 거야.
L11123	［宏治］：実体の無いモノを、記憶？
>>	［코지］：실체 없는 것을, 기억?
L11126	［涼子］：実体が無いというのも、語弊があるわね。個体として存在しないというだけよ。
>>	［료코］：실체가 없다는 것도, 어폐가 있네. 개체로서 존재하지 않는다는 것뿐이야.
L11129	［涼子］：わからない？　じゃあ例えば、磁気情報などはどうかしら。
>>	［료코］：모르겠어?　그럼 예를 들어, 자기 정보 같은 건 어떨까.
L11133	［宏治］：磁気‥‥情報？
>>	［코지］：자기‥‥정보?
L11136	［涼子］：あれは磁性体表面に、磁気の方向でデータをメモリーするだけ‥‥実体が無いと言えるんじゃないかしら。
>>	［료코］：그건 자성체 표면에, 자기 방향으로 데이터를 기억시킬 뿐‥‥실체가 없다고 할 수 있지 않을까.
L11139	［涼子］：人間の意識もね、そうしたベクトル的な情報へと収束させることができたとしたら？
>>	［료코］：인간의 의식도 말이야, 그런 벡터적인 정보로 수렴시킬 수 있다면?
L11143	［宏治］：ど、どういうことです。
>>	［코지］：무, 무슨 뜻이에요.
L11146	［涼子］：人間の意識を、３２次元マトリクスの構造配列論に収束させる、１６次変換の公式が、ついに妹の手によって発見されたのよ。
>>	［료코］：인간의 의식을 ３２차원 매트릭스의 구조 배열론으로 수렴시키는, １６차 변환 공식이, 마침내 여동생의 손으로 발견된 거야.
L11150	［宏治］：い、妹‥‥？
>>	［코지］：여, 여동생‥‥?
L11153	［涼子］：そこにいるわ、あなたの後ろにね‥‥。
>>	［료코］：거기 있어, 네 뒤에 말이야‥‥.
L11156	後ろを振り向いた僕の目の前にいた女性は‥‥‥‥。
>>	뒤를 돌아본 내 눈앞에 있던 여성은‥‥‥‥.
L11159	ガン！！！
>>	쾅!!!
L11162	後頭部に鈍い衝撃を感じながらも、僕は目に映った像を認識した‥‥。
>>	뒤통수에 둔한 충격을 느끼면서도, 나는 눈에 비친 상을 인식했다‥‥.
L11165	消えていく意識の中で、僕は彼女の名前を呼ぶ‥‥。
>>	사라져 가는 의식 속에서, 나는 그녀의 이름을 부른다‥‥.
L11169	宏治サン‥‥‥‥。
>>	코지 상‥‥‥‥.
L11173	宏治サン、目を覚まして‥‥‥‥。
>>	코지 상, 정신 차려요‥‥‥‥.
L11176	目を覚まして‥‥‥‥。
>>	정신 차려요‥‥‥‥.
L11180	［宏治］：‥‥僕は‥‥‥‥。
>>	［코지］：‥‥나는‥‥‥‥.
L11184	［宏治］：身体が‥‥‥‥。
>>	［코지］：몸이‥‥‥‥.
L11188	［宏治］：ここは‥‥‥‥‥‥。
>>	［코지］：여기는‥‥‥‥‥‥.
L11192	［宏治］：ま、舞さん！？
>>	［코지］：마, 마이 씨!?
L11196	［宏治］：ま、舞さん‥‥その格好は‥‥‥‥。
>>	［코지］：마, 마이 씨‥‥그 차림은‥‥‥‥.
L11200	［舞］：ご免なさい、宏治サン‥‥。
>>	［마이］：미안해요, 코지 상‥‥.
L11204	［宏治］：ど、どういうことだよ！？　舞さん、いったいこれは‥‥。
>>	［코지］：무, 무슨 소리야!?　마이 씨, 대체 이건‥‥.
L11207	［舞］：このプロフェクタによって、私たちは人類の文明をも記憶することになる。
>>	［마이］：이 프로젝터로, 우리는 인류의 문명마저 기억하게 돼요.
L11211	［宏治］：ぷ、プロジェクタ？　人類の文明？
>>	［코지］：프, 프로젝터?　인류의 문명?
L11214	［舞］：もうすぐ、私たちは人間という壁を１つ越えることになるわ。人間の定義自体が無意味な世界へ‥‥
>>	［마이］：이제 곧, 우리는 인간이라는 벽을 하나 넘게 돼요. 인간의 정의 자체가 무의미한 세계로‥‥
L11218	［宏治］：な、何を言ってるんだよ！？
>>	［코지］：무, 무슨 말을 하는 거야!?
L11222	［舞］：宏治サン、私は‥‥‥‥。
>>	［마이］：코지 상, 저는‥‥‥‥.
L11225	［涼子］：舞、おしゃべりはそのくらいにしておきなさい。これから、時間はたっぷりあるのよ‥‥。
>>	［료코］：마이, 수다는 그쯤 해 두렴. 앞으로, 시간은 충분히 있으니까‥‥.
L11228	［舞］：はい、お姉さん‥‥。
>>	［마이］：네, 언니‥‥.
L11232	［宏治］：ぼ、僕をどうする気だ？　殺すのか。
>>	［코지］：나, 나를 어쩔 셈이야?　죽이려는 건가.
L11235	［舞］：違うわ、私たちは‥‥‥‥。
>>	［마이］：아니에요, 우리는‥‥‥‥.
L11239	［沙夜香］：宏治クン！！
>>	［사야카］：코지 군!!
L11243	［宏治］：さ、沙夜香さん！？
>>	［코지］：사, 사야카 씨!?
