# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L30950	［コウジ］：ときに、さっきの女性は誰だ？
L31610	［ランファ］：ハイ‥‥あぁぁぁぁ、何だか‥‥んっ、突かれるたびに頭がボーっとしてきますぅぅっ！
>>	［란파］：네에‥‥아아아아아, 왠지‥‥응, 찔릴 때마다 머리가 멍해져 와요오오!
L31613	［トレイシー］：（あぁぁ、それは‥‥私のモノよっ！）
>>	［트레이시］：（아아아, 그건‥‥내 거야앗!）
L31616	［トレイシー］：（いつもなら‥‥いつもなら、私の膣内に‥‥私の肛門に、入っているモノよっ！）
>>	［트레이시］：（평소라면‥‥평소라면, 내 질 안에‥‥내 항문에, 들어가 있는 거야앗!）
L31619	［トレイシー］：（ここで、こうして見ているだけなんて‥‥。）
>>	［트레이시］：（여기서, 이렇게 보고만 있다니‥‥.）
L31622	［トレイシー］：（耐えられないわ‥‥。）
>>	［트레이시］：（견딜 수 없어‥‥.）
L31625	［トレイシー］：（浣腸を１０リットルされた方が、はるかにましよ。）
>>	［트레이시］：（관장을 １０리터 당하는 편이, 훨씬 낫겠어.）
L31629	［トレイシー］：（コウジ様、なぜ、私の方を見て下さらないのですか？）
>>	［트레이시］：（코우지 님, 어째서, 제 쪽을 봐 주시지 않는 건가요?）
L31632	［トレイシー］：（なぜ‥‥私にこんな仕打ちを‥‥。）
>>	［트레이시］：（어째서‥‥저에게 이런 처사를‥‥.）
L31635	［トレイシー］：（あなたの為なら、何でもします‥‥何をしろと言っても、絶対に逆らったりしません。）
>>	［트레이시］：（당신을 위해서라면, 뭐든 하겠어요‥‥무엇을 하라 하셔도, 절대 거스르지 않아요.）
L31638	［トレイシー］：（艦内を裸で歩けと言ったら、そうします。）
>>	［트레이시］：（함내를 알몸으로 걸으라고 하시면, 그렇게 할게요.）
L31641	［トレイシー］：（皆のいるブリッジでオナニーをしろといったら、そうします。）
>>	［트레이시］：（모두가 있는 브리지에서 자위를 하라고 하시면, 그렇게 할게요.）
L31644	［トレイシー］：（いつでもどこでも、膣とお尻と、どちらでもお使いになって構いません。）
>>	［트레이시］：（언제든 어디서든, 질과 엉덩이, 어느 쪽이든 쓰셔도 상관없어요.）
L31647	［トレイシー］：（あなたの便器になれと言ったら、そうなります。）
>>	［트레이시］：（당신의 변기가 되라고 하시면, 그렇게 될게요.）
L31650	［トレイシー］：（ですから‥‥ですから‥‥‥‥。）
>>	［트레이시］：（그러니까‥‥그러니까‥‥‥‥.）
L31654	［コウジ］：トレイシー、イクぞ！　口で受けとめるんだ。
>>	［코우지］：트레이시, 싼다!　입으로 받아내는 거다.
L31657	［トレイシー］：は、はいっ！
>>	［트레이시］：네, 네엣!
L31660	カポッ。
>>	카폿.
L31663	［トレイシー］：（あぁぁぁ‥‥ちょっと苦みがある‥‥。）
>>	［트레이시］：（아아아아‥‥조금 쓴맛이 나‥‥.）
L31666	［トレイシー］：（ランファの膣内に入っていたせいね‥‥。）
>>	［트레이시］：（란파의 질 안에 들어가 있던 탓이겠지‥‥.）
L31669	［トレイシー］：（あぁぁ、ビクビクしてる‥‥もう射精しそうなんだわ‥‥。）
>>	［트레이시］：（아아아, 펄떡이고 있어‥‥이제 사정할 것 같아‥‥.）
L31672	ドクドクドクドク‥‥どくっ、どくっ。
>>	울컥울컥울컥울컥‥‥울컥, 울컥.
L31675	［トレイシー］：んぐっ、んんんん‥‥。
>>	［트레이시］：응긋, 응응응응‥‥.
L31679	［トレイシー］：（コウジ様の精液が‥‥沢山流れ込んでくる‥‥。）
>>	［트레이시］：（코우지 님의 정액이‥‥많이 흘러들어와‥‥.）
L31682	［トレイシー］：（凄い勢い‥‥飲みきれないかも‥‥。）
>>	［트레이시］：（굉장한 기세‥‥다 못 마실지도‥‥.）
L31685	［トレイシー］：（ううん、ダメよ‥‥そんなもったいないこと、絶対にできないわ。）
>>	［트레이시］：（아니, 안 돼‥‥그런 아까운 일, 절대 할 수 없어.）
L31688	［トレイシー］：ごくっ、ごくっ、ごくっ‥‥。
>>	［트레이시］：꿀꺽, 꿀꺽, 꿀꺽‥‥.
L31691	［トレイシー］：（ネバネバして、喉を通る感じが素敵よ‥‥。）
>>	［트레이시］：（끈적끈적해서, 목을 넘어가는 느낌이 황홀해‥‥.）
L31694	［トレイシー］：（こんなにおいしいモノを飲ませて戴けるなんて‥‥。）
>>	［트레이시］：（이렇게 맛있는 걸 마시게 해 주시다니‥‥.）
L31697	［トレイシー］：（あぁぁぁ、私のこと、まだ愛して下さっているんですねっ。）
>>	［트레이시］：（아아아아, 저를, 아직 사랑해 주고 계시는군요.）
L31701	［コウジ］：フッ、トレイシー。
>>	［코우지］：훗, 트레이시.
L31705	［コウジ］：トレイシー、聞こえないか？
>>	［코우지］：트레이시, 안 들리나?
L31708	［トレイシー］：は、はい！
>>	［트레이시］：네, 네!
L31712	［コウジ］：どうした、何故泣く。
>>	［코우지］：무슨 일이냐, 왜 우는 거지.
L31715	［トレイシー］：わ、わかりません‥‥理由は、ありません‥‥。
>>	［트레이시］：모, 모르겠어요‥‥이유는, 없어요‥‥.
L31719	［コウジ］：明後日だな。
>>	［코우지］：모레군.
