# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L12046	私の状況分析は的確だ。どうやら、かなり原始文明らしいな、ここは‥‥。
L12675	そう考えると、私は重い足取りで、屋上へと向かっていった。
>>	그렇게 생각하며, 나는 무거운 발걸음으로 옥상으로 향했다.
L12678	エレベータから降りると、暗く静かな場が眼前に広がっていた。閑散とした様相が、私の体温までも引き下げていく。
>>	엘리베이터에서 내리자, 어둡고 고요한 공간이 눈앞에 펼쳐져 있었다. 한산한 모습이 내 체온까지 끌어내린다.
L12682	［コウジ］：ぶ、ぶへぇぇ～っくしょん！！！
>>	［코우지］：에, 에에에～취!!!
L12685	いかに最強の宇宙海賊とはいえ、根絶不能とまで言われる風邪ウィルスにだけは、なかなか手間取るのである。
>>	아무리 최강의 우주 해적이라 해도, 근절 불가능하다는 감기 바이러스에만은 꽤나 애를 먹는 법이다.
L12688	早いところ、この私の卓越的な頭脳と行動力をもって、風邪ウィルスに対処するワクチンを作らねばな。
>>	어서 이 탁월한 두뇌와 행동력으로 감기 바이러스에 대처할 백신을 만들어야겠군.
L12692	［コウジ］：しかし、私はなぜ屋上へやって来たのだ‥‥？
>>	［코우지］：그런데, 나는 어째서 옥상에 온 것이지‥‥?
L12695	魔がさすという事は、誰にでもあることだ。今度こそ、私らしい合理的かつ能率的な行動をしよう。
>>	마가 끼는 일은 누구에게나 있는 법이다. 이번에야말로 나다운 합리적이고 능률적인 행동을 하자.
L12698	そう、私にはやることがあった。それは‥‥‥‥。
>>	그래, 내게는 할 일이 있었다. 그것은‥‥‥‥.
L12701	そうだ、コンピュータ・ルームへ行くことだ。
>>	그렇다, 컴퓨터 룸으로 가는 것이다.
L12704	昼間見た、ドリームプログラムとやらの機構、あれはジェネレータのそれに極めて近いコンセプトだ。
>>	낮에 본 ONEIROS 프로그램인지 뭔지의 기구, 그것은 제너레이터의 그것과 지극히 가까운 콘셉트다.
L12707	確か、コンピュータ・ルームとやらは、２階だったか‥‥‥‥。
>>	분명, 컴퓨터 룸인지 뭔지는 ２층이었던가‥‥‥‥.
L12710	ロビーへ行くことだ。
>>	로비로 가는 것이다.
L12713	誰もいないロビーの、安っぽくも硬いソファにデロンと横たわり、原住民ご用達のスポーツ新聞を読みふける。
>>	아무도 없는 로비의, 싸구려에 딱딱한 소파에 축 늘어져 누워, 원주민 애용 스포츠 신문을 탐독한다.
L12716	どうやら、これが大宇宙海賊に相応しい、合理的かつ論理的な行動に思えた。
>>	아무래도 이것이 대우주 해적에게 어울리는, 합리적이고 논리적인 행동으로 여겨졌다.
L12720	［コウジ］：フン、原住民どもは、誰もいないようだな。
>>	［코우지］：흥, 원주민 놈들은 아무도 없는 모양이군.
L12723	私は近くにある情報誌を片手に、案の定硬いソファの上にゴロリと横になった。
>>	나는 근처에 있는 정보지를 한 손에 들고, 예상대로 딱딱한 소파 위에 벌렁 드러누웠다.
L12727	［コウジ］：どこもかしこも、低俗に相応しい出来だ。意外に文明レベルは低くはないようだな。
>>	［코우지］：어디나 다 저속함에 어울리는 완성도군. 의외로 문명 레벨은 낮지 않은 모양이다.
L12730	速読を利用し、ものの５秒ほどで読破した私は、満悦にうなずいた。
>>	속독을 이용해 불과 ５초 만에 다 읽어 치운 나는 흡족하게 고개를 끄덕였다.
L12733	文明レベルの高低は、低俗度の高低に比例する。レベルが上がれば、内容が洗練されるという訳ではない。
>>	문명 레벨의 높낮이는 저속함의 높낮이에 비례한다. 레벨이 오른다고 내용이 세련되어지는 것은 아니다.
L12736	低俗な風俗紙こそが、庶民どもの生きる糧なのだ。これが多く氾濫しているときは、庶民どもの管理が行き届いているということだ。
>>	저속한 풍속지야말로 서민 놈들이 살아가는 양식이다. 이것이 잔뜩 범람할 때는, 서민 놈들의 관리가 잘되고 있다는 뜻이다.
L12739	逆ではない。庶民が低レベルな風俗に接することができるのは、そう管理されているからだ。
>>	반대가 아니다. 서민이 저급한 풍속을 접할 수 있는 것은, 그렇게 관리되고 있기 때문이다.
L12742	ささやかな生きる喜びを与え、つまらない仕事に目的を見いださせ、低賃金で労働力を酷使する。
>>	소소한 삶의 기쁨을 주고, 시시한 일에서 목적을 찾게 하고, 저임금으로 노동력을 혹사한다.
L12745	文明レベルが高ければ高いほど、人権などという反吐がでそうな思想を利用して、厳然と存在する階級社会を、巧みに隠蔽するのだ。
>>	문명 레벨이 높으면 높을수록, 인권 따위 구역질 나는 사상을 이용해 엄연히 존재하는 계급 사회를 교묘히 은폐하는 것이다.
L12749	［コウジ］：フン、シビリアン・コントロールの初歩の初歩だな。
>>	［코우지］：흥, 시빌리언 컨트롤의 초보 중의 초보군.
L12752	意外に、支配しやすそうな社会だった。恐らく、強力な指導者が現れたとたん、シッポを振って迎合するに違いない。
>>	의외로 지배하기 쉬워 보이는 사회였다. 아마 강력한 지도자가 나타나는 순간, 꼬리를 흔들며 영합할 게 틀림없다.
L12755	その指導者が、私である可能性も、十分にあり得るではないか。
>>	그 지도자가 나일 가능성도 충분히 있을 수 있지 않은가.
L12759	［コウジ］：フフン、まぁいい‥‥。
>>	［코우지］：후훙, 뭐 됐다‥‥.
L12762	ふと、紙面の右上を見る。宇宙歴ではないな‥‥‥‥西暦？
>>	문득 지면 오른쪽 위를 본다. 우주력은 아니군‥‥‥‥서기?
L12765	西暦というと、ずいぶん前に廃止された年号だ。
>>	서기라면 아주 오래전에 폐지된 연호다.
L12769	［コウジ］：どうやら、思っていた通りだな‥‥かなり、太古の地球という訳か。
>>	［코우지］：아무래도 생각한 대로군‥‥꽤나 태고의 지구라는 건가.
L12772	意外な収穫があるものだ。収穫はあったが、無論ここにいることは、私の本来の目的から外れている。
>>	뜻밖의 수확이 있는 법이다. 수확은 있었지만, 물론 여기 있는 것은 내 본래 목적에서 벗어나 있다.
L12775	私にはやることがあるのだ。それは‥‥‥‥。
>>	내게는 할 일이 있는 것이다. 그것은‥‥‥‥.
L12778	ここで寝ることだ。
>>	여기서 자는 것이다.
L12781	私らしからぬ、非論理的なことを考えてしまった。何のために起きたのか、これではわからないではないか。
>>	나답지 않은 비논리적인 생각을 하고 말았다. 무엇을 위해 일어났는지, 이래서야 알 수 없잖은가.
L12784	寝るのは、目的を達成してからでも遅くはない。
>>	자는 것은 목적을 달성한 뒤라도 늦지 않다.
L12787	そう、私にはこれからやることがあるのだ。それは‥‥‥‥。
>>	그래, 내게는 이제부터 할 일이 있는 것이다. 그것은‥‥‥‥.
L12790	シンと静まった廊下に、靴音だけが響きわたっていた。無論、私のだ。
>>	쥐 죽은 듯 고요한 복도에 구둣소리만이 울려 퍼지고 있었다. 물론, 내 것이다.
L12793	あたりには人影も見えず、ただ無機質な廊下が、眼前に伸びているだけだった。
>>	주위에는 인적도 보이지 않고, 그저 삭막한 복도가 눈앞에 뻗어 있을 뿐이었다.
L12797	［コウジ］：フン、魚の腐ったような奴等でも、いないとそれなりに閑散とするものだ。
>>	［코우지］：흥, 썩은 생선 같은 놈들이라도, 없으면 나름대로 한산해지는 법이군.
L12800	私は、コンピュータ・ルームへ、黙々と歩みを進めていた。センター内のマップは、既に頭にインプットしてある。
>>	나는 컴퓨터 룸으로 묵묵히 발걸음을 옮기고 있었다. 센터 내부의 지도는 이미 머리에 입력해 두었다.
L12803	あの、ドリームプログラムとやらいうマシンは、ぜひ見ておきたかったのだ。こんな太古の昔に、同コンセプトのマシンがあるとは‥‥。
>>	그 ONEIROS 프로그램인지 뭔지 하는 머신은 꼭 봐 두고 싶었다. 이런 태고의 옛날에 같은 콘셉트의 머신이 있다니‥‥.
L12806	ふと、傍らのソファの上に、捨てられるように置かれている数枚の紙を見つける。
>>	문득, 옆 소파 위에 버려지듯 놓여 있는 종이 몇 장을 발견한다.
L12809	びっしりと活字と写真で埋められたそれは、どうやら原住民たちの情報源らしい。
>>	활자와 사진으로 빼곡히 채워진 그것은, 아무래도 원주민들의 정보원인 듯하다.
L12812	電子メディアが発達する前は、新聞といって、紙資源を大いに浪費したということを聞き及んだことがある。
>>	전자 미디어가 발달하기 전에는 신문이라 하여 종이 자원을 크게 낭비했다고 들은 적이 있다.
L12815	その指導者が、私である可能性も、十分にあり得るのではないか‥‥。
>>	그 지도자가 나일 가능성도 충분히 있을 수 있지 않은가‥‥.
L12818	私は新聞を元の場所に戻すと、再び誰もいない廊下を歩きだした‥‥。
>>	나는 신문을 원래 자리에 돌려놓고, 다시 아무도 없는 복도를 걷기 시작했다‥‥.
L12822	［コウジ］：ここか‥‥。
>>	［코우지］：여기인가‥‥.
L12825	目の前には重厚なドアがそびえ立っている。いかにも、何かありますと言わんばかりだ。
>>	눈앞에는 육중한 문이 우뚝 솟아 있다. 딱 봐도 뭔가 있다고 말하는 듯하다.
L12829	［コウジ］：（フン、こんなドアは、大宇宙海賊のウルトラスーパーマグナム・キックの前には、紙クズ同然だ。）
>>	［코우지］：（흥, 이런 문 따위, 대우주 해적의 울트라 슈퍼 매그넘・킥 앞에서는 휴지 조각이나 다름없다.）
L12832	私が履いている脆弱な靴の底が、このぶしつけなドアをノックしかけた途端、ゴッという風の音と共に扉は左右に開かれた。
>>	내가 신은 부실한 신발 밑창이 이 무례한 문을 노크하려던 순간, 웅 하는 바람 소리와 함께 문이 좌우로 열렸다.
L12836	［コウジ］：むっ、くっ、なにを！
>>	［코우지］：윽, 큭, 무슨!
L12839	私は『おっとっと』をしながら、暗い室内へと入っていった。幸い、転ぶというハメには陥らずにすんだようだ。
>>	나는 『어어엇』 하고 비틀거리며 어두운 실내로 들어갔다. 다행히 넘어지는 꼴은 면한 모양이다.
