# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L4795	いきなり目の前にやってくるものだから、少し焦ってしまう。
>>	마이가 너무 심각한 얼굴을 하기에, 조금 익살을 떨어 보기로 했다.
L5495	［宏治］：というのは冗談で、手っ取り早くお金のため、かな。
>>	［코지］：라는 건 농담이고, 손쉽게 돈 벌려고, 랄까.
L5498	おちゃらけてはいたが、これは事実だ。恵の紹介で、手っ取り早く金になる仕事、という訳だった。
>>	익살을 떨긴 했지만, 이건 사실이다. 메구미의 소개로, 손쉽게 돈이 되는 일이라는 얘기였다.
L5501	［舞］：クスクスッ、正直ですね。
>>	［마이］：킥킥, 솔직하시네요.
L5504	舞の笑みを見て、少しホッとする。今度は僕が逆に尋ねてみた。
>>	마이의 미소를 보고, 조금 마음이 놓인다. 이번엔 내가 거꾸로 물어보았다.
L5508	［宏治］：舞さんは？
>>	［코지］：마이 씨는?
L5511	［舞］：えっ‥‥わ、私ですか？
>>	［마이］：엣‥‥저, 저 말인가요?
L5515	［宏治］：うん、何故ここにいるのか、前から興味あった。
>>	［코지］：응, 왜 여기 있는지, 전부터 궁금했어.
L5519	［宏治］：別に、差し支えがあるならいいよ。特に、知りたいということでもないし‥‥。
>>	［코지］：뭐, 곤란하면 됐어. 딱히, 꼭 알고 싶은 것도 아니고‥‥.
L5523	［舞］：‥‥ねぇ、宏治サン。
>>	［마이］：‥‥저기, 코지 상.
L5527	［宏治］：な、なんだい。
>>	［코지］：어, 왜 그래.
L5531	［舞］：宏治サンの夢のお話、聞かせて下さい。
>>	［마이］：코지 상의 꿈 이야기, 들려주세요.
L5535	［宏治］：ゆ、夢？
>>	［코지］：꾸, 꿈?
L5538	［舞］：はい‥‥以前、約束をして下さったでしょう？
>>	［마이］：네‥‥전에, 약속해 주셨잖아요?
L5541	舞はそう言うと、僕の傍らでニコリとチャーミングな笑みをもらす。思いきり、話をはぐらかされたのだが、別に気にはならなかった。
>>	마이는 그렇게 말하며, 내 곁에서 생긋 매력적인 미소를 흘린다. 보기 좋게 이야기를 돌려 버렸지만, 딱히 신경 쓰이진 않았다.
L5545	［宏治］：そうだな、何から話したら良いものか‥‥。
>>	［코지］：글쎄, 뭐부터 얘기하면 좋을까‥‥.
L5548	僕はそう言いながら記憶の糸を辿りだし、ゆっくりと話し始めた。
>>	나는 그렇게 말하며 기억의 실마리를 더듬어, 천천히 이야기하기 시작했다.
L5551	おおむね、涼子に話したのと同内容だったが、記憶の欠落している部分は、想像で補っていった。舞は黙って、耳を傾けている。
>>	대체로, 료코에게 한 것과 같은 내용이었지만, 기억이 빠진 부분은, 상상으로 메워 나갔다. 마이는 잠자코, 귀를 기울이고 있다.
L5555	［宏治］：どう？　妙な夢だと、思うだろう。
>>	［코지］：어때?　이상한 꿈이라고, 생각하겠지.
L5558	［舞］：いいえ‥‥でも。
>>	［마이］：아니요‥‥하지만.
L5562	［宏治］：ん？
>>	［코지］：응?
L5566	［舞］：でも宏治サンは、夢の中で「変な夢を見た」って思っていたんですか？
>>	［마이］：하지만 코지 상은, 꿈속에서 「이상한 꿈을 꿨다」고 생각했던 건가요?
L5570	［宏治］：うん、そう。
>>	［코지］：응, 그래.
L5573	我ながらおかしいとは思うが、実際そうである以上、仕方がなかった。
>>	나 자신도 이상하다고는 생각하지만, 실제로 그러니, 어쩔 수 없었다.
L5576	舞は人差し指を唇の前に当てて、しばらく何かを考えている。その仕草は、なかなか可愛らしい。
>>	마이는 검지를 입술 앞에 대고, 한동안 무언가를 생각하고 있다. 그 몸짓은, 제법 사랑스럽다.
L5579	［舞］：それって、荘子の考えた哲学に似てますね、すごく。
>>	［마이］：그거, 장자가 생각한 철학과 닮았네요, 굉장히.
L5583	［宏治］：荘子？
>>	［코지］：장자?
L5586	［舞］：中国の思想家の事です。
>>	［마이］：중국의 사상가를 말해요.
L5590	［宏治］：‥‥へぇ、どんな哲学だったんだい？
>>	［코지］：‥‥허, 어떤 철학인데?
L5593	［舞］：蝶になった夢を見た人が、こう考えるんです。『もしかしたら、自分は蝶が見てる夢じゃないか』って。
>>	［마이］：나비가 된 꿈을 꾼 사람이, 이렇게 생각하는 거예요. 『어쩌면, 나는 나비가 꾸는 꿈이 아닐까』 하고.
L5596	［舞］：我、夢に胡蝶になるか‥‥胡蝶、夢に我になるか‥‥。
>>	［마이］：나는, 꿈에 호접이 되었는가‥‥호접은, 꿈에 내가 되었는가‥‥.
L5600	［宏治］：はは、まさにそういう心境だよ。
>>	［코지］：하하, 딱 그런 심경이야.
L5603	笑いながら、僕は冷や汗が出ていたかもしれなかった‥‥。
>>	웃으면서, 나는 식은땀을 흘리고 있었는지도 모른다‥‥.
