# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L3997	この先に何があるのか‥‥期待と不安を抱きながら、私は黙々と通路を進んでいった。
>>	［코지］：정말로, 괜찮은 걸까‥‥‥‥.
L4708	大丈夫な訳がないのだが、沙夜香の好奇心に満ちた目を見ていると、なんだか非常に断りにくい。
>>	괜찮을 리가 없지만, 사야카의 호기심 가득한 눈을 보고 있으면, 어쩐지 무척 거절하기 힘들다.
L4711	実は彼女、僕がそう考えているのを見越して、ゴネているんじゃないかと思われる節もある。どうも、やりにくかった。
>>	실은 그녀가, 내가 그렇게 생각할 걸 내다보고, 떼를 쓰는 게 아닌가 싶은 구석도 있다. 아무래도, 상대하기 힘들었다.
L4714	［沙夜香］：ほら、早く行きましょうよ。
>>	［사야카］：자, 얼른 가자니까.
L4718	［宏治］：本当に知りませんよ‥‥。
>>	［코지］：정말 난 몰라요‥‥.
L4721	僕らは連れだって、あの場所へと向かっていった‥‥‥‥。
>>	우리는 나란히, 그 장소로 향해 갔다‥‥‥‥.
L4724	不思議と廊下には誰もおらず、すんなりと例の場所へやってくることができた。
>>	이상하게도 복도에는 아무도 없어, 순조롭게 그 장소까지 올 수 있었다.
L4727	隣の沙夜香はその間ずっと黙っていたが、一際大きなドアの前へやってくると、露骨に鼻を膨らませて、僕の腕をぎゅっとつかんでくる。
>>	옆의 사야카는 그동안 내내 잠자코 있었지만, 유난히 큰 문 앞에 오자, 대놓고 콧구멍을 벌름거리며, 내 팔을 꽉 붙잡는다.
L4730	まるで遊び道具を見つけた子供だ。
>>	마치 놀잇감을 찾아낸 아이다.
L4733	僕はゆっくりと、壁にあるスイッチを入れた。ドアが開いた瞬間、耳鳴りがするほどの気流を感じる。それほど、内外の温度差が激しいのだろう。
>>	나는 천천히, 벽에 있는 스위치를 켰다. 문이 열린 순간, 귀가 울릴 정도의 기류가 느껴진다. 그만큼, 안팎의 온도 차가 심한 것이리라.
L4736	僕ら２人は、室内へそっと入っていった。
>>	우리 두 사람은, 실내로 살며시 들어갔다.
L4739	［沙夜香］：これが‥‥‥‥。
>>	［사야카］：이게‥‥‥‥.
L4743	［宏治］：そう、これが例のあれ。
>>	［코지］：네, 이게 바로 그거예요.
L4746	［沙夜香］：ふーん、凄いわね‥‥。
>>	［사야카］：흐음, 대단하네‥‥.
L4749	沙夜香はしきりに、へぇーとか、ふーんと言いながら、あちこちを見て回っている。まるで子供のようだった。
>>	사야카는 연신, 와아, 흐음 하면서, 여기저기를 둘러보고 있다. 마치 아이 같았다.
L4752	［沙夜香］：ここが噂の、コンピュータ・ルームという訳ね。
>>	［사야카］：여기가 소문의, 컴퓨터 룸이란 거구나.
L4756	［宏治］：噂になってるんですか？
>>	［코지］：소문이 났나요?
L4759	［沙夜香］：フフ、風の噂ね‥‥。
>>	［사야카］：후후, 바람결에 들었지‥‥.
L4762	沙夜香は、相変わらずあちこちいじり回している。端から見ていて、非常に危なっかしい。
>>	사야카는, 여전히 여기저기 만지작거리고 있다. 옆에서 보기에, 몹시 위태롭다.
L4766	［宏治］：もういいだろう？　沙夜香さん‥‥早く出ないと‥‥。
>>	［코지］：이제 됐죠?　사야카 씨‥‥빨리 나가지 않으면‥‥.
L4769	［沙夜香］：もうちょっと待って‥‥。
>>	［사야카］：조금만 더 기다려‥‥.
L4773	［宏治］：ちょ、ちょっと、勝手に機器類を触ったら‥‥。
>>	［코지］：자, 잠깐, 함부로 기기를 만지면‥‥.
L4776	［沙夜香］：固いこと、言わないの。
>>	［사야카］：딱딱하게, 굴지 마.
L4779	沙夜香は、端末の１つを操作し出すと、鮮やかな手つきで、次々と何かのデータを打ち込んでいく。
>>	사야카는, 단말기 하나를 조작하기 시작하더니, 능란한 손놀림으로, 잇달아 무언가 데이터를 입력해 간다.
L4782	僕はしばしそれを、ボーッと見ているだけだった。
>>	나는 한동안 그것을, 멍하니 보고 있을 뿐이었다.
L4785	［沙夜香］：面白いわねぇ、これ。
>>	［사야카］：재미있네에, 이거.
L4789	［宏治］：さ、沙夜香さん、もう‥‥‥‥。
>>	［코지］：사, 사야카 씨, 정말‥‥‥‥.
L4792	［沙夜香］：いつも、このコンピュータ・ルームで？
>>	［사야카］：늘, 이 컴퓨터 룸에서?
