# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L28530	［ランファ］：もちろんですぅ、ずっと一緒に暮らしてきましたし。
L29221	［トレイシー］：お、おおおお願い‥‥は‥‥くっ、早く、早く叩いてぇぇぇぇぇっっ！！
>>	［트레이시］：부, 부부부부탁‥‥빠‥‥큭, 빨리, 빨리 때려 주세요오오오옷!!
L29225	［コウジ］：よーし、お望み通り、叩いてやるぞ！　ひとつ！！
>>	［코우지］：좋아, 원하는 대로, 때려 주마!　하나!!
L29228	ビシィィィッ！！
>>	철써어어억!!
L29231	［トレイシー］：きゃぅぅぅっ！！
>>	［트레이시］：꺄우우웃!!
L29234	［トレイシー］：あっ‥‥あっ‥‥あぁぁぁぁ‥‥‥‥。
>>	［트레이시］：앗‥‥앗‥‥아아아아‥‥‥‥.
L29238	［コウジ］：おい、ちょっとチビったぞ。
>>	［코우지］：이봐, 조금 지렸군.
L29241	［トレイシー］：（だ、ダメ‥‥。）
>>	［트레이시］：（아, 안 돼‥‥.）
L29244	［トレイシー］：（こ、こんなんじゃ、１０回なんて、とても‥‥。）
>>	［트레이시］：（이, 이래서는, １０번은, 도저히‥‥.）
L29248	［コウジ］：どうした、やめてもいいんだぞ。
>>	［코우지］：왜 그러나, 그만둬도 좋다만.
L29251	［トレイシー］：あくぅぅ‥‥んぐっ。
>>	［트레이시］：아쿠우우‥‥응극.
L29255	［コウジ］：どうする、ここで垂れ流すのか？
>>	［코우지］：어쩔 테냐, 여기서 싸지를 거냐?
L29258	［トレイシー］：い、イヤ‥‥お、お願い‥‥くっ‥‥です。は、早く続きを‥‥。
>>	［트레이시］：시, 싫어‥‥부, 부탁‥‥큭‥‥이에요. 빠, 빨리 다음을‥‥.
L29262	［コウジ］：よーし、よく言った。
>>	［코우지］：좋아, 잘 말했다.
L29266	［コウジ］：ふたーつっ！
>>	［코우지］：두우울!
L29269	びしぃぃぃぃぃぃっっ！！
>>	철써어어어어어억!!
L29272	［トレイシー］：んくぅぅぅぅぅぅぅっっ！！
>>	［트레이시］：응쿠우우우우우웃!!
L29275	［トレイシー］：（が、我慢するのよ、トレイシー‥‥あくっ。）
>>	［트레이시］：（차, 참는 거야, 트레이시‥‥아큭.）
L29278	［トレイシー］：（あ、あと‥‥あと８回‥‥。）
>>	［트레이시］：（아, 앞으로‥‥앞으로 ８번‥‥.）
L29281	［トレイシー］：（は、８回‥‥？）
>>	［트레이시］：（여, ８번‥‥?）
L29284	［トレイシー］：（あぁぁぁ‥‥だ、ダメ‥‥無理だわ‥‥。）
>>	［트레이시］：（아아아‥‥아, 안 돼‥‥무리야‥‥.）
L29287	［トレイシー］：（もう‥‥もう漏れそうなのよ‥‥‥。）
>>	［트레이시］：（이제‥‥이제 샐 것 같아‥‥‥.）
L29290	［トレイシー］：（出てしまいそうなのよ‥‥。）
>>	［트레이시］：（나와 버릴 것 같아‥‥.）
L29294	［コウジ］：つぎ、みーーーっつ！
>>	［코우지］：다음, 세에에엣!
L29297	びしぃぃぃぃぃぃぃぃぃぃぃぃぃっっ！！！！
>>	철써어어어어어억!!!!
L29300	［トレイシー］：‥‥んがぁぁっ！
>>	［트레이시］：‥‥응가아앗!
L29303	ぶりゅっ。
>>	뿌직.
L29306	［トレイシー］：だ、ダメ‥‥も、もう‥‥あがっ。
>>	［트레이시］：아, 안 돼‥‥이, 이제‥‥아각.
L29310	［コウジ］：どうした？　まだ３回だぞ。
>>	［코우지］：왜 그러나?　아직 ３번이다.
L29313	［トレイシー］：お、お願いです‥‥ど、どんな事でもさせて戴きます。だから‥‥だからぁぁぁぁ‥‥あくっ！
>>	［트레이시］：부, 부탁이에요‥‥어, 어떤 일이든 하겠어요. 그러니까‥‥그러니까아아아‥‥아큭!
L29317	［コウジ］：だから、なんだ？
>>	［코우지］：그러니까, 뭐냐?
L29320	［トレイシー］：だ、だから‥‥お、おトイレに‥‥くぅっ、もう限界ぃぃっ！！
>>	［트레이시］：그, 그러니까‥‥화, 화장실에‥‥크윽, 더는 못 참아아앗!!
L29324	［コウジ］：どんな事でも、と言ったな。
>>	［코우지］：어떤 일이든 하겠다고 했지.
L29327	［トレイシー］：あはぁぁぁ‥‥あが、あが‥‥‥‥。
>>	［트레이시］：아하아아아‥‥아가, 아가‥‥‥‥.
L29331	［コウジ］：フン、涎を垂れ流しやがって‥‥では、私は淫乱でメス犬の肉奴隷と、言ってみろ。
>>	［코우지］：흥, 침을 질질 흘리는군‥‥그럼, 저는 음란한 암캐 육노예라고 말해 봐.
