# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L23572	［宏治］：それくらい聞いていればわかるさ。で、エンコーダを奪いに来たんだろ？
L24292	［トレイシー］：フフ、ニワトリさんでもいるのですか？
>>	［트레이시］：후후, 닭이라도 있는 건가요?
L24296	［宏治］：‥‥触っていいかい？
>>	［코지］：‥‥만져도 될까?
L24299	オレは彼女の胸を指さしながら、祈るような気持ちでトレイシーを見た。
>>	나는 그녀의 가슴을 가리키며 비는 심정으로 트레이시를 보았다.
L24303	［トレイシー］：もちろんですわ‥‥これは、コウジ様のです。
>>	［트레이시］：물론이에요‥‥이건, 코우지 님의 것이에요.
L24306	鼻血が出そうになるセリフを聞きながら、オレは胸をそっと手で触ってみた。柔らかく、弾力がある。
>>	코피가 날 것 같은 대사를 들으며, 나는 가슴을 살며시 손으로 만져 보았다. 부드럽고 탄력이 있다.
L24309	もはや包み込むことが不可能なそれは、オレの掌の中で、思うように形を変えていった。
>>	이젠 감싸는 것조차 불가능한 그것은 내 손바닥 안에서 마음대로 모양을 바꿔 갔다.
L24312	［トレイシー］：あはぁぁ‥‥もっと‥‥もっと強く揉んでも、構わない‥‥。
>>	［트레이시］：아하아아‥‥더‥‥더 세게 주물러도, 괜찮아요‥‥.
L24315	目を潤ませながらも、にこやかに微笑みかけるトレイシーの身体をそっとベッドに横たえると、オレはゆっくりと、彼女の衣服の分離作業をし始めた。
>>	눈을 적시면서도 환하게 미소 짓는 트레이시의 몸을 살며시 침대에 눕히고, 나는 천천히 그녀의 의복 분리 작업을 시작했다.
L24318	透き通るような肌が、オレの目の前にあらわになっている。トレイシーは、少し切なそうな目をしながら、
>>	비칠 듯 투명한 살결이 내 눈앞에 드러나 있다. 트레이시는 조금 애타는 눈빛을 하며,
L24322	［宏治］：えっ、なんだい？
>>	［코지］：엇, 왜 그래?
L24325	［トレイシー］：もっともっと、乱暴になさっても、構わないのですよ。
>>	［트레이시］：더욱더 거칠게 하셔도, 괜찮아요.
L24329	［宏治］：どういうこと‥‥？
>>	［코지］：무슨 뜻이야‥‥?
L24333	［トレイシー］：好きになさって下さい‥‥私は、コウジ様の命じることであれば、何でもしますわ。
>>	［트레이시］：마음대로 하세요‥‥저는 코우지 님이 명하시는 거라면 뭐든 할게요.
L24337	［宏治］：な、何でも？
>>	［코지］：뭐, 뭐든?
L24340	［トレイシー］：はい、何でも‥‥。
>>	［트레이시］：네, 뭐든‥‥.
L24343	期待の眼差しをオレは一身に受け、鼻血が出そうになるのを辛うじて抑える。
>>	기대에 찬 눈빛을 온몸으로 받으며, 코피가 나려는 걸 가까스로 억눌렀다.
L24346	トレイシーの胸からは、今にも乳房がこぼれ落ちそうなほどだった。おまけに彼女が下半身に身につけていたのは、際どい角度と細さの超ビキニだけだった。
>>	트레이시의 가슴에선 지금이라도 젖가슴이 흘러넘칠 듯했다. 게다가 그녀가 하반신에 걸친 건 아슬아슬한 각도로 가늘게 파인 초비키니뿐이었다.
L24349	［トレイシー］：ウフフ、何をなさっても、構いませんのよ‥‥。
>>	［트레이시］：우후후, 무엇을 하셔도, 상관없어요‥‥.
L24352	しかも、濃厚な尻の肉の間には、一本の細いヒモが存在するだけだ。尻の間には、一本のヒモっ！
>>	게다가 풍만한 엉덩이 살 사이엔 가느다란 끈 한 줄이 있을 뿐이다. 엉덩이 사이에 끈 한 줄!
L24356	［宏治］：ぐわるるるるるっっ！！
>>	［코지］：그르르르르르윽!!
L24359	表記すると、このような雄叫びを上げて、俺はトレイシーに襲いかかった。もう我慢できんっ！！
>>	글로 옮기면 이런 포효를 지르며, 나는 트레이시를 덮쳤다. 더는 못 참겠다!!
L24363	［宏治］：トレイシー！！
>>	［코지］：트레이시!!
L24366	［トレイシー］：あはぁぁぁ、そうよ、無茶苦茶にしてっ！！
>>	［트레이시］：아하아아아, 그래요, 엉망으로 만들어 줘요!!
L24369	オレは下着を破るようにむしり取ると、彼女の身体にむしゃぶりついた。
>>	나는 속옷을 찢듯 벗겨 내곤 그녀의 몸에 달려들었다.
L24372	乳房を絞りあげ、小さくない乳首を捻り、量感あるヒップを鷲掴みにし、怒張した股間をさかんにこすりつけた。
>>	젖가슴을 쥐어짜고, 작지 않은 젖꼭지를 비틀고, 풍만한 엉덩이를 움켜쥐고, 팽창한 사타구니를 연신 비벼 댔다.
L24375	［トレイシー］：凄い‥‥あぁぁ、こんなに硬くなって‥‥あぁぁ、凄いわ、凄いわ‥‥。
>>	［트레이시］：굉장해요‥‥아아아, 이렇게 딱딱해져서‥‥아아아, 굉장해요, 굉장해요‥‥.
L24378	盛んにオレの股間のモノを手でしごき、鼻息を荒くするトレイシーをオレは抱きしめて、唇をむさぼり吸った。
>>	연신 내 사타구니의 것을 손으로 훑으며 거친 숨을 몰아쉬는 트레이시를 나는 끌어안고 입술을 탐하듯 빨았다.
L24381	たっぷりと唾液を流し込むと、トレイシーは音を立てて飲んだ。
>>	타액을 듬뿍 흘려 넣자, 트레이시는 소리를 내며 삼켰다.
L24385	［宏治］：トレイシー‥‥。
>>	［코지］：트레이시‥‥.
L24388	［トレイシー］：もうたまらない‥‥欲しい、アレが、欲しい‥‥。
>>	［트레이시］：더는 못 견디겠어요‥‥원해요, 그게, 갖고 싶어요‥‥.
L24391	怒張したモノを片手でしごきながら、切なそうな目で懇願するトレイシーは、ゾクゾクするほど色っぽかった。
>>	팽창한 것을 한 손으로 훑으며 애타는 눈으로 애원하는 트레이시는 오싹할 만큼 요염했다.
L24394	［トレイシー］：私が、上になります‥‥。
>>	［트레이시］：제가, 위로 올라갈게요‥‥.
L24397	そう言うと、トレイシーはオレのモノを握りながら、上に被さってきた‥‥。
>>	그렇게 말하곤, 트레이시는 내 것을 쥔 채 위로 올라탔다‥‥.
L24400	［トレイシー］：凄く太い‥‥あぁぁ、早く、早く入れたい‥‥。
>>	［트레이시］：굉장히 굵어요‥‥아아아, 빨리, 빨리 넣고 싶어요‥‥.
L24403	トレイシーはオレのモノを、盛んに自分の花弁へと擦り付けていた。ゆっくりと肉棒を前後に動かし、秘所の湿り具合を確かめる。
>>	트레이시는 내 것을 연신 자신의 꽃잎에 문질러 댔다. 천천히 육봉을 앞뒤로 움직이며 비처가 젖은 정도를 확인한다.
L24406	十分過ぎるほど潤っているそこは、オレのモノを今にも奥深くまで呑み込もうと蠢動していた。
>>	충분하고도 남을 만큼 젖은 그곳은 내 것을 당장이라도 깊숙이 삼키려는 듯 꿈틀거리고 있었다.
L24409	じゅぶぶぶぶぶぶっっ‥‥。
>>	쥬부부부부부북‥‥.
