# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L18609	［宏治］：あ、あのさ‥‥。
L19357	オレは、さきほどのファルネリアという女性のことが、少しだけ気になっていた‥‥。
>>	나는, 아까 그 파르네리아라는 여성이, 조금 신경이 쓰였다‥‥.
L19360	状況がわかるまで、ここにいた方がいいだろう。
>>	상황을 알 때까지, 여기 있는 편이 낫겠지.
L19363	オレは再びゴロっと横になった。天井を見上げて、何度めかになる溜息を吐く‥‥。
>>	나는 다시 벌렁 드러누웠다. 천장을 올려다보며, 몇 번째인지 모를 한숨을 내쉰다‥‥.
L19367	［宏治］：ふぅ‥‥どうなっちゃったのかな、オレ‥‥。
>>	［코지］：후우‥‥어떻게 돼 버린 걸까, 나‥‥.
L19370	シーツをかぶって、厳しい現実から逃避しようと思ったとき‥‥。
>>	시트를 뒤집어쓰고, 혹독한 현실에서 도피하려 했을 때‥‥.
L19374	［宏治］：何だ、誰だろう‥‥。
>>	［코지］：뭐야, 누구지‥‥.
L19378	［宏治］：ランファ‥‥かな？
>>	［코지］：란파‥‥인가?
L19381	［女］：ちょっと、早くここから出しなさい！
>>	［여자］：이봐요, 당장 여기서 내보내 줘요!
L19384	［トレイシー］：困ります、お願いです。
>>	［트레이시］：곤란합니다, 부탁드립니다.
L19387	［女］：私は、権力と暴力には、絶対に屈しませんからねっ！
>>	［여자］：난, 권력과 폭력에는, 절대 굴하지 않으니까요!
L19390	［トレイシー］：ファルネリア様、少しお静かに‥‥。
>>	［트레이시］：파르네리아 님, 조금만 조용히‥‥.
L19393	ファルネリア？
>>	파르네리아?
L19396	というと、ジェネレータとやらの触媒とかいう女性か‥‥確か、赤毛の‥‥。
>>	그렇다면, 제너레이터인지 뭔지의 촉매라던 여성인가‥‥분명, 빨간 머리의‥‥.
L19399	考え出すと、急速に会いたくなってきた。会いたくなってくると、居ても立ってもいられなくなる。
>>	생각하기 시작하니, 급격히 만나고 싶어졌다. 만나고 싶어지니, 가만히 있을 수가 없어진다.
L19402	さっそくオレはドアへと向かった。元来、ジッとしているのは性分じゃあない。
>>	당장 나는 문으로 향했다. 원래, 가만있는 건 내 성미가 아니다.
L19405	オレは、触媒という言葉が、少しだけ気になっていた‥‥。
>>	나는, 촉매라는 말이, 조금 신경이 쓰였다‥‥.
L19408	外に出た途端、少しムッとした暖気に襲われた。室内では、どうやら冷房が効いていたらしい。
>>	밖으로 나온 순간, 살짝 후텁지근한 온기가 덮쳐 왔다. 실내에는, 아무래도 냉방이 들어오고 있었던 모양이다.
L19411	廊下はシンと静まり返っていた。道なりに進むと、左右に分岐しているようだ。
>>	복도는 쥐 죽은 듯 조용했다. 길을 따라 나아가니, 좌우로 갈라져 있는 모양이다.
L19414	隣のドアから、やや異音が聞こえてくるようだが‥‥。
>>	옆 문에서, 뭔가 이상한 소리가 들려오는 것 같은데‥‥.
L19417	　◆ 右へ曲がってみよう。
>>	　◆ 오른쪽으로 꺾어 보자.
L19420	　◆ 左へ曲がってみよう。
>>	　◆ 왼쪽으로 꺾어 보자.
L19423	　◆ 隣のドアが気になる。中に入ってみよう。
>>	　◆ 옆 문이 신경 쓰인다. 안으로 들어가 보자.
L19426	右へ曲がってみよう。
>>	오른쪽으로 꺾어 보자.
L19429	そう考えると、オレは廊下を足早に進んでいった‥‥。
>>	그렇게 생각하자, 나는 복도를 빠른 걸음으로 나아갔다‥‥.
L19432	左へ曲がってみよう。
>>	왼쪽으로 꺾어 보자.
L19435	そう思うと、オレは廊下を足早に進んでいった‥‥。
>>	그렇게 생각하니, 나는 복도를 빠른 걸음으로 나아갔다‥‥.
