# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L16952	［女］：起きなさい、宏治クン。
L17599	沙夜香から時刻を聞き、私はほくそ笑む。ジャストだ！
>>	사야카에게서 시각을 듣고 나는 회심의 미소를 짓는다. 딱 맞다!
L17603	［コウジ］：さぁ、やれ！
>>	［코우지］：자, 해라!
L17606	［沙夜香］：お望み通り、恐ろしい苦しみに悶えなさい！
>>	［사야카］：원하는 대로, 무시무시한 고통에 몸부림쳐라!
L17610	［コウジ］：ムッ‥‥‥‥。
>>	［코우지］：윽‥‥‥‥.
L17613	［沙夜香］：ホーッホッホッホ！
>>	［사야카］：호―홋홋호!
L17617	［コウジ］：（意識が遠のいて‥‥いく‥‥。）
>>	［코우지］：（의식이 멀어져‥‥간다‥‥.）
L17621	［涼子］：宏治さまっ！！
>>	［료코］：코지 님!!
L17625	［コウジ］：（涼子か‥‥‥？）
>>	［코우지］：（료코인가‥‥‥?）
L17629	［コウジ］：（むぅ‥‥‥‥。）
>>	［코우지］：（으음‥‥‥‥.）
L17633	［コウジ］：（成功、する‥‥の‥‥だろう‥‥か‥‥‥‥。）
>>	［코우지］：（성공‥‥하는‥‥것‥‥일까‥‥‥‥.）
L17637	［涼子］：宏治さまっ！
>>	［료코］：코지 님!
L17640	［沙夜香］：りょ、涼子！　いったいいつのまに‥‥。
>>	［사야카］：료, 료코!　대체 어느 틈에‥‥.
L17644	［涼子］：こ、宏治様‥‥‥‥うそ‥‥‥‥。
>>	［료코］：코, 코지 님‥‥‥‥거짓말‥‥‥‥.
L17647	［沙夜香］：フン、どうやって抜け出してきたか知らないけど‥‥。
>>	［사야카］：흥, 어떻게 빠져나왔는지는 모르겠지만‥‥.
L17651	［涼子］：沙夜香ぁ～、役人だからって、許さないわよ！！　私の宏治様に‥‥。
>>	［료코］：사야카아～, 관리라고 봐줄 줄 알아!!　내 코지 님한테‥‥.
L17654	［沙夜香］：ほーっほっほ、もう遅いわ、彼の脳はもうペチャンコのパイ状態になっているわよ。
>>	［사야카］：호―홋홋호, 이미 늦었어, 그의 뇌는 벌써 납작한 파이 꼴이 되어 있다고.
L17657	［涼子］：な、な、な‥‥なんでえすってぇぇぇっ！！！
>>	［료코］：뭐, 뭐, 뭐‥‥뭐라고오오오!!!
L17660	［沙夜香］：あなたも、同じめに、あわせてあげるわっ！
>>	［사야카］：너도, 똑같은 꼴을, 당하게 해 주지!
L17663	［涼子］：三十路前にしてやっと伴侶を見つけたのにぃぃ‥‥。
>>	［료코］：서른 전에 겨우 반려를 찾았는데에에‥‥.
L17666	［沙夜香］：あら、それは残念ね。年増の恨み辛みは恐いこと。
>>	［사야카］：어머, 그거 안됐네. 나이 든 여자의 원한은 무서운 법이지.
L17669	［涼子］：くらえぇっ、悔しさ倍増ジェラシー・パーーーーッンチィィ！！
>>	［료코］：받아라앗, 분함 두 배 젤러시・펀――――치이이!!
L17673	［涼子］：このぉ～！　私の宏治様に、私のぉ！！
>>	［료코］：이것이이～!　내 코지 님한테, 내 사람한테!!
L17676	［沙夜香］：痛っ‥‥痛い、痛いわ、やめてぇっ！
>>	［사야카］：아파‥‥아파, 아프다고, 그만해애!
L17679	ゲシッ、ゲシッ、ゲシッ！
>>	퍼억, 퍼억, 퍼억!
L17682	［涼子］：くそっ、くそっ、このぉぉ～！！
>>	［료코］：젠장, 젠장, 이것이이～!!
L17686	［涼子］：宏治様はねっ、私のモノなのよ！　三十路を迎える前に、やっと、やっと見つけた伴侶だと思ったのにぃ！
>>	［료코］：코지 님은 말이야, 내 거란 말이야!　서른을 맞기 전에 겨우, 겨우 찾은 반려라고 생각했는데!
L17689	［涼子］：このっ、このっ！！
>>	［료코］：이것이, 이것이!!
L17692	［沙夜香］：きゃぁぁ、やめてぇぇ‥‥お願い‥‥痛っ、痛いわ‥‥もう堪忍してぇぇぇっ！！
>>	［사야카］：꺄아아, 그만해애‥‥부탁이야‥‥아파, 아프다고‥‥이제 그만 봐줘어어!!
L17695	［涼子］：こっちはねっ、堪忍袋の緒が切れてんのよっ！
>>	［료코］：이쪽은 말이야, 참을 만큼 참았다고!
L17698	［涼子］：資金ぐりの時も、いつもいつも私の邪魔をして、役人の権威を振りかざせばいいと思って‥‥。
>>	［료코］：자금 융통할 때도 늘 내 앞길을 막고, 관리 권위만 휘두르면 되는 줄 알고‥‥.
L17701	［沙夜香］：痛い、痛いよぉ～！
>>	［사야카］：아파, 아프다고오～!
L17704	［涼子］：それにあなた、ちょっと羽振りがいいからって、このあいだ若い男を連れて歩いてたじゃない！
>>	［료코］：게다가 너, 좀 잘나간다고 얼마 전에 젊은 남자 데리고 다녔잖아!
L17707	［沙夜香］：そ、それと何の関係が‥‥。
>>	［사야카］：그, 그게 무슨 상관이‥‥.
L17710	［涼子］：あるわよ、にくったらしいわねっ！
>>	［료코］：상관있어, 얄미워 죽겠네!
L17713	ゲシッ、ゲシッ、ゲシッ。
>>	퍼억, 퍼억, 퍼억.
L17716	［沙夜香］：あぅ、あぅ‥‥。
>>	［사야카］：아으, 아으‥‥.
L17719	［涼子］：アシカか、あんたは。くのぉ、くのぉぉっ！！
>>	［료코］：바다사자냐, 너는. 이게, 이게에!!
L17722	［涼子］：寝たふりをしたってね、ダメなのよね、もう！
>>	［료코］：자는 척해 봤자 소용없어, 정말!
L17726	［涼子］：ああ、涙が出てきちゃったわ‥‥あぁぁ、宏治様ぁぁ‥‥グスン。
>>	［료코］：아아, 눈물이 나 버렸잖아‥‥아아아, 코지 니임‥‥훌쩍.
L17729	［涼子］：沙夜香ぁ、年増の恨み辛みは、酷いわよぉ！
>>	［료코］：사야카아, 나이 든 여자의 원한은 지독하다고!
L17732	［舞］：りょ、涼子姉さん‥‥もう沙夜香さん、気を失ってます。
>>	［마이］：료, 료코 언니‥‥사야카 씨, 벌써 정신을 잃었어요.
L17735	［涼子］：ま、舞‥‥大丈夫だった？
>>	［료코］：마, 마이‥‥괜찮았어?
L17738	［舞］：私は‥‥私は大丈夫です。
>>	［마이］：저는‥‥저는 괜찮아요.
L17741	［涼子］：よかった、大切な妹になにかあったら、どうしようかって‥‥。
>>	［료코］：다행이야, 소중한 동생한테 무슨 일이라도 생기면 어쩌나 하고‥‥.
L17744	［舞］：んもおう、なによ、あんなひどい事をして‥‥。
>>	［마이］：정말이지, 뭐야, 저런 심한 짓을 하다니‥‥.
L17747	［恵］：サンキュッ、涼子先生。
>>	［메구미］：땡큐, 료코 선생님.
L17750	［涼子］：恵チャン、平気だった？
>>	［료코］：메구미 짱, 괜찮았어?
L17753	［恵］：うん、解いてくれて、ありがと‥‥。
>>	［메구미］：응, 풀어 줘서 고마워‥‥.
L17756	［涼子］：痕になっちゃってるわね‥‥。
>>	［료코］：자국이 남아 버렸네‥‥.
