# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L30167	［コウジ］：もっと、両側に開くんだ。
L30749	［トレイシー］：（バイブが稼働した時は、コウジ様が呼んでらっしゃるとき‥‥。）
>>	［트레이시］：（바이브가 작동했을 땐, 코우지 님이 부르고 계실 때‥‥.）
L30752	［トレイシー］：（遅れたら、どんなに酷いお仕置きが待っているか‥‥。）
>>	［트레이시］：（늦으면, 얼마나 지독한 벌이 기다리고 있을지‥‥.）
L30755	［トレイシー］：（で、でも‥‥んくっ。）
>>	［트레이시］：（하, 하지만‥‥응윽.）
L30758	［トレイシー］：（し、振動が‥‥は、激し過ぎる‥‥‥‥。）
>>	［트레이시］：（지, 진동이‥‥너, 너무 격렬해‥‥‥‥.）
L30761	［トレイシー］：あぐぅぅぅっ！
>>	［트레이시］：아그으으윽!
L30764	ぶちゅるっ！
>>	철퍼억!
L30767	［トレイシー］：あっ、お尻のバイブが‥‥！？
>>	［트레이시］：앗, 엉덩이의 바이브가‥‥!?
L30770	キィィン‥‥。
>>	끼이잉‥‥.
L30773	［トレイシー］：や、やだ‥‥お、落ちちゃったわ‥‥。
>>	［트레이시］：어, 어떡해‥‥떠, 떨어져 버렸어‥‥.
L30776	［トレイシー］：お尻の穴が、広がっちゃったのかしら‥‥。
>>	［트레이시］：엉덩이 구멍이 벌어져 버린 걸까‥‥.
L30779	［ランファ］：はい、トレイシー。
>>	［란파］：네, 트레이시.
L30782	［トレイシー］：（ドキィッ！）
>>	［트레이시］：（두근!）
L30785	［トレイシー］：ら、ランファ‥‥。
>>	［트레이시］：라, 란파‥‥.
L30788	［ランファ］：どうしたの、そんなに赤い顔をして。
>>	［란파］：무슨 일이야, 그렇게 얼굴이 빨개져서.
L30791	［トレイシー］：ううん、何でも‥‥何でもないのよ。
>>	［트레이시］：아니, 아무것도‥‥아무것도 아니야.
L30794	［ランファ］：ふーん‥‥。
>>	［란파］：흐응‥‥.
L30797	［トレイシー］：（ゆ、床に落ちたバイブを見られたら‥‥。）
>>	［트레이시］：（바, 바닥에 떨어진 바이브를 들키면‥‥.）
L30800	［トレイシー］：（あぁぁぁ、お、終わりだわ‥‥か、神様‥‥。）
>>	［트레이시］：（아아아, 끄, 끝장이야‥‥시, 신이시여‥‥.）
L30803	［ランファ］：もうすぐ、プロフェッサたちが、遺跡調査から帰ってくるね。
>>	［란파］：이제 곧, 프로페서 일행이 유적 조사에서 돌아오겠네.
L30806	［トレイシー］：（お願いよランファ‥‥床を見ないで頂戴‥‥。）
>>	［트레이시］：（제발 란파‥‥바닥을 보지 말아 줘‥‥.）
L30809	［ランファ］：いま、船内にいるのって、私たちのほかに、ビアンカさんくらいだもんね。
>>	［란파］：지금 배 안에 있는 건, 우리 말고는 비앙카 씨 정도지.
L30812	［トレイシー］：（と、とにかく足の後ろにでも‥‥‥‥。）
>>	［트레이시］：（이, 일단 다리 뒤에라도‥‥‥‥.）
L30816	［ランファ］：あっ、あとコウジって人が、いたよね。
>>	［란파］：앗, 그리고 코우지라는 사람이 있었지.
L30820	［トレイシー］：（ドキッ！）　こ、コウジ様が、なにか？
>>	［트레이시］：（두근!）　코, 코우지 님이, 무슨 일이라도?
L30824	［ランファ］：えーっ、コウジさまぁ？
>>	［란파］：에에엣, 코우지 니임?
L30828	［トレイシー］：こ、コウジさんよ。コウジさん。
>>	［트레이시］：코, 코우지 씨 말이야. 코우지 씨.
L30831	［ランファ］：ねー、トレイシー。
>>	［란파］：저기, 트레이시.
L30834	［トレイシー］：な、なにかしら。
>>	［트레이시］：무, 무슨 일이니.
L30837	［ランファ］：さっきから、なにモゾモゾしているの？
>>	［란파］：아까부터 뭘 꼼지락거리는 거야?
L30840	［トレイシー］：えっ？　べ、別に何でも‥‥ないのよ。
>>	［트레이시］：어?　벼, 별로 아무것도‥‥아니야.
L30843	［ランファ］：あー、何か、隠してるぅ。
>>	［란파］：아하, 뭔가 숨기고 있네.
L30846	［トレイシー］：ち、違うのよ‥‥本当に‥‥。
>>	［트레이시］：아, 아니야‥‥정말로‥‥.
L30849	［ランファ］：ほんと？
>>	［란파］：정말?
L30852	［トレイシー］：ほ、本当よ。ウフフ、私があなたに、何を隠すというのよ。
>>	［트레이시］：저, 정말이야. 우후후, 내가 너한테 뭘 숨긴다는 거니.
L30855	［ランファ］：ふーん、じゃあその足の後ろに隠したのは？
>>	［란파］：흐응, 그럼 그 다리 뒤에 숨긴 건?
L30858	［トレイシー］：えっ！？　ち、違うわ、これは‥‥。
>>	［트레이시］：어!?　아, 아니야, 이건‥‥.
L30861	［ランファ］：ねっ、見せてよぉ、ねぇ見せてっ！
>>	［란파］：자, 보여 줘어, 응 보여 줘!
L30864	［トレイシー］：だ、ダメ！
>>	［트레이시］：아, 안 돼!
L30867	［ランファ］：な、なんですか‥‥と、トレイシー‥‥？
>>	［란파］：무, 뭐예요‥‥트, 트레이시‥‥?
L30870	［トレイシー］：ら、ランファ‥‥ごめんなさい。
>>	［트레이시］：라, 란파‥‥미안해.
L30873	［ランファ］：トレイシー、いったいなにを‥‥んっ！？
>>	［란파］：트레이시, 대체 뭘‥‥응!?
L30876	［トレイシー］：（あぁぁ、私ったら‥‥やるに事欠いて‥‥。）
>>	［트레이시］：（아아, 나도 참‥‥하필이면‥‥.）
L30879	［トレイシー］：（ランファにキスをしてしまうなんて‥‥‥‥。）
>>	［트레이시］：（란파에게 키스를 해 버리다니‥‥‥‥.）
L30882	［ランファ］：んんっ‥‥‥‥んんん‥‥‥‥。
>>	［란파］：응응‥‥‥‥으응응‥‥‥‥.
L30885	［トレイシー］：（でも、柔らかい唇だわ‥‥身体も、まるでマシュマロみたい‥‥。）
>>	［트레이시］：（하지만, 부드러운 입술이야‥‥몸도 마치 마시멜로 같아‥‥.）
L30888	［トレイシー］：（可愛いわ、この子‥‥‥‥。）
>>	［트레이시］：（귀여워, 이 아이‥‥‥‥.）
L30891	［トレイシー］：（舌を入れてみたい‥‥。）
>>	［트레이시］：（혀를 넣어 보고 싶어‥‥.）
L30894	チロッ。
>>	낼름.
L30897	［トレイシー］：（震えているの‥‥？）
>>	［트레이시］：（떨고 있는 걸까‥‥?）
L30900	［トレイシー］：ランファ‥‥。
>>	［트레이시］：란파‥‥.
L30903	［ランファ］：と、トレイシー‥‥‥。
>>	［란파］：트, 트레이시‥‥‥.
L30906	［トレイシー］：泣いているの？　あなた‥‥。
>>	［트레이시］：울고 있는 거니?　너‥‥.
L30909	［ランファ］：イヤだよ‥‥トレイシー、こんなのぉ‥‥なんでよぉ！
>>	［란파］：싫어‥‥트레이시, 이런 건‥‥어째서야!
L30912	［トレイシー］：あっ、待って！　ランファ！？
>>	［트레이시］：앗, 기다려!　란파!?
L30915	［トレイシー］：あぁぁ、何てことをしてしまったのかしら‥‥。
>>	［트레이시］：아아, 무슨 짓을 해 버린 걸까‥‥.
L30918	［トレイシー］：お尻から落としたバイブを、見られたくないからって‥‥。
>>	［트레이시］：엉덩이에서 떨어뜨린 바이브를 들키기 싫다고‥‥.
L30921	［トレイシー］：ランファ、ごめんなさい‥‥。
>>	［트레이시］：란파, 미안해‥‥.
L30925	［トレイシー］：あっ、コウジ様！？
>>	［트레이시］：앗, 코우지 님!?
L30928	［トレイシー］：（いけない！　すっかり忘れてしまっていたわ‥‥。）
>>	［트레이시］：（큰일이야!　까맣게 잊고 있었어‥‥.）
L30932	［トレイシー］：（あぁぁ、どうしましょう‥‥コウジ様に嫌われでもしたら‥‥。）
>>	［트레이시］：（아아, 어쩌지‥‥코우지 님께 미움이라도 받으면‥‥.）
L30935	［トレイシー］：す、すみませんでした。あの‥‥。
>>	［트레이시］：죄, 죄송했습니다. 저기‥‥.
L30939	［コウジ］：遅れたことか？
>>	［코우지］：늦은 것 말이냐?
L30942	［トレイシー］：申し訳ありません。どのようなお仕置きも、覚悟しています‥‥。
>>	［트레이시］：죄송합니다. 어떤 벌이든 각오하고 있습니다‥‥.
L30946	［コウジ］：フン、殊勝ではないか。
>>	［코우지］：흥, 기특하군.
