# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L19438	隣のドアが気になる。中に入ってみよう。確か、この辺はみんな自動ドアだよな‥‥。
L20064	　◆ ランファは、ここで何を‥‥‥‥。
>>	　◆ 란파는, 여기서 무얼‥‥‥‥.
L20067	　◆ ファルネリアって女性は‥‥‥‥。
>>	　◆ 파르네리아라는 여성은‥‥‥‥.
L20071	［宏治］：そういえば、ファルネリアって女性は？
>>	［코지］：그러고 보니, 파르네리아라는 여성은?
L20074	［ランファ］：ＶＩＰルームですけど‥‥でも、気を付けて下さい。
>>	［란파］：ＶＩＰ룸인데요‥‥하지만, 조심하세요.
L20078	［宏治］：なにを？
>>	［코지］：뭘?
L20081	［ランファ］：すっっっごく凶暴ですから。
>>	［란파］：엄―청 흉폭하시거든요.
L20085	［宏治］：は？
>>	［코지］：엥?
L20088	［ランファ］：私なんてホラっ、こんなアザが‥‥。
>>	［란파］：저 좀 보세요, 이런 멍이‥‥.
L20092	［宏治］：そ、そんな胸をはだけなくてもいいよ。
>>	［코지］：그, 그렇게 가슴을 풀어헤치지 않아도 돼.
L20095	［ランファ］：あの部屋に行かれるのなら、気を付けてくださいね。
>>	［란파］：그 방에 가실 거라면, 조심하셔야 해요.
L20099	［宏治］：そ、そんなに凶暴なの？
>>	［코지］：그, 그렇게 흉폭해?
L20102	［ランファ］：もうプリプリですぅ。お尻にもアザがあるんですよ、ホラ‥‥。
>>	［란파］：정말 화나요오. 엉덩이에도 멍이 있다구요, 보세요‥‥.
L20106	［宏治］：み、見せなくていいってば。
>>	［코지］：보, 보여주지 않아도 된다니까.
L20109	［ランファ］：酷いんですよファルネリア様ったら‥‥寝心地が悪いとか、食事がマズいとか、もう大変なんですぅ。
>>	［란파］：파르네리아 님도 너무하세요‥‥잠자리가 불편하다, 식사가 맛없다, 정말 힘들어요오.
L20113	［宏治］：ふーん、とりあえず、会ってみたいな。
>>	［코지］：흐음, 일단 만나 보고 싶은데.
L20116	［ランファ］：もう、ガツーンと思い知らせてやって下さいっ。
>>	［란파］：정말이지, 따끔하게 본때를 보여 주세요.
L20120	［宏治］：が、ガツーンってね‥‥んま、とにかくわかったよ。
>>	［코지］：따, 따끔하게라니‥‥음, 아무튼 알았어.
L20123	［ランファ］：あっ、もう行ってしまうんでうすか？
>>	［란파］：앗, 벌써 가시는 건가요?
L20127	［宏治］：うん、君は君の仕事をがんばって。
>>	［코지］：응, 너는 네 일을 열심히 해.
L20131	［ランファ］：はい！　コウジ様の為に、がんばっちゃいます！！
>>	［란파］：네!　코우지 님을 위해, 힘낼게요!!
L20135	［宏治］：（ファルネリアか‥‥どんな人なんだろ。）
>>	［코지］：（파르네리아라‥‥어떤 사람일까.）
L20139	［宏治］：さてと、ＶＩＰルーム、だったよな。
>>	［코지］：자 그럼, ＶＩＰ룸이었지.
L20143	［宏治］：このデカブツは、一体何だ？
>>	［코지］：이 거대한 물건은, 대체 뭐지?
L20146	［ランファ］：エンジンですが。
>>	［란파］：엔진인데요.
L20150	［宏治］：んなこたぁ、見ればわかるよ。問題は、これがどういうシロモノかってこと。
>>	［코지］：그런 건 보면 알아. 문제는, 이게 어떤 물건이냐는 거지.
L20153	［ランファ］：エンジンというのは、燃料を機械的エネルギーに変換して、活動させる装置のことです。
>>	［란파］：엔진이란, 연료를 기계적 에너지로 변환해 작동시키는 장치를 말해요.
L20157	［宏治］：誰がエンジンの定義を言えっていったの。こんな馬鹿でかいシロモノが、なぜここにあるかってことだよ。
>>	［코지］：누가 엔진의 정의를 말하래. 이렇게 엄청나게 큰 물건이, 왜 여기 있냐는 거야.
L20161	［ランファ］：‥‥でも、コウジ様が設計・製作されたんですよ。
>>	［란파］：‥‥하지만, 코우지 님이 설계·제작하신 거예요.
L20164	［宏治］：ふーん‥‥<$0C>えっ？　オレが？
>>	［코지］：흐음‥‥<$0C>엇?　내가?
L20167	［ランファ］：はい。エーテル光子動力を利用し、ほぼ永久機関に等しい動力により、ハイパードライブ機能も備えた‥‥。
>>	［란파］：네. 에테르 광자 동력을 이용해, 거의 영구기관과 다름없는 동력으로, 하이퍼드라이브 기능도 갖춘‥‥.
L20171	［宏治］：あー、小難しい説明は無しね。トレイシーに散々聞いたから。
>>	［코지］：아, 어려운 설명은 됐어. 트레이시한테 실컷 들었으니까.
L20174	［ランファ］：トレイシーに、ですか？
>>	［란파］：트레이시한테, 말인가요?
L20178	［宏治］：そうだけど‥‥。
>>	［코지］：그렇긴 한데‥‥.
L20181	［ランファ］：トレイシーの言ってることは、全部私のウケウリですぅ。彼女はメカのことなんて‥‥。
>>	［란파］：트레이시가 하는 말은, 전부 제 말을 옮긴 거예요. 그 애는 기계 같은 건‥‥.
L20184	［ランファ］：これっっっっっっぽっちも、わからないんですからっ！
>>	［란파］：요―만큼도, 모른다구요!
L20188	［宏治］：そんなにリキまなくても‥‥。
>>	［코지］：그렇게 힘주지 않아도‥‥.
L20191	［ランファ］：このエンジンはですねっ。
>>	［란파］：이 엔진은 말이죠.
L20195	［ランファ］：コウジ様が設計・製作され、そしてランファが愛情をたーっぷりとそそいで手塩に育て上げた‥‥。
>>	［란파］：코우지 님이 설계·제작하시고, 란파가 애정을 듬―뿍 쏟아 정성껏 키워낸‥‥.
L20199	［宏治］：て、手塩‥‥？
>>	［코지］：정, 정성‥‥?
L20203	［ランファ］：言うなれば、ランファとコウジ様の、愛の結晶と言えるかもしれませんね。
>>	［란파］：말하자면, 란파와 코우지 님의, 사랑의 결정체라고 할 수 있겠네요.
L20206	［トレイシー］：何が愛の結晶ですか！
>>	［트레이시］：뭐가 사랑의 결정체입니까!
L20209	［ランファ］：‥‥‥あっ、回線がオンになってるぅ。トレイシー、盗み聞きするなんて、フェアじゃないわっ！
>>	［란파］：‥‥‥앗, 회선이 켜져 있잖아. 트레이시, 엿듣다니 반칙이야!
L20212	［トレイシー］：不可抗力は盗み聞きとは申しません。それよりも、人のいないところで散々‥‥。
>>	［트레이시］：불가항력은 엿듣기라고 하지 않습니다. 그보다도, 사람 없는 곳에서 실컷‥‥.
L20215	［ランファ］：さて、雑音は消しちゃってと。
>>	［란파］：자, 잡음은 지워 버리고.
L20219	［ランファ］：コウジ様、どうしました？
>>	［란파］：코우지 님, 무슨 일이세요?
L20223	［宏治］：似てるかも、君たち。
>>	［코지］：닮았을지도, 너희들.
L20227	［宏治］：ランファは、ここで何をしていたんだい？
>>	［코지］：란파는, 여기서 뭘 하고 있었어?
L20230	［ランファ］：エンジンの整備とチェックですけど‥‥。
>>	［란파］：엔진 정비와 점검인데요‥‥.
L20234	［宏治］：そういえば、メカをいじらせたら右に出る者無しなんだって？
>>	［코지］：그러고 보니, 기계 다루는 데는 따를 자가 없다며?
L20238	［ランファ］：そんな‥‥コウジ様の足下にも及びません、私なんか‥‥。
>>	［란파］：그런‥‥코우지 님 발끝에도 못 미쳐요, 저 같은 건‥‥.
L20242	［ランファ］：コウジ様、お体の具合はもうよろしいのですか？
>>	［란파］：코우지 님, 몸 상태는 이제 괜찮으신가요?
L20246	［宏治］：オレはもともと、具合なんて悪くはないぞ。
>>	［코지］：난 원래, 몸 상태 같은 건 나쁘지 않아.
L20249	［ランファ］：さっすがですね。
>>	［란파］：역시 대단하세요.
L20253	［宏治］：なぁ、ランファ‥‥。
>>	［코지］：있잖아, 란파‥‥.
L20257	［宏治］：目の前に見えるあれ、ホンモノ？
>>	［코지］：눈앞에 보이는 저거, 진짜야?
L20260	［ランファ］：‥‥言っている意味が、よくわからないんですけどぉ。
>>	［란파］：‥‥무슨 말씀이신지, 잘 모르겠는데요오.
L20264	［宏治］：んー、ゴメン。何でもない。
>>	［코지］：음, 미안. 아무것도 아냐.
